Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112043721,adhesive plaque matrix protein-like isoform X1,CG13643,142569.2071,-11.82167443,0,11.82167443
LOC112043847,transcription factor SOX-11 isoform X1,CG32694,37152.13866,-9.044552733,0,9.044552733
LOC112043849,uncharacterized protein LOC112043849,CG43386,16578.31272,-10.43328996,0,10.43328996
LOC112046830,RNA-binding protein MEX3B,CG11360,3653.744651,7.740945165,0,-7.740945165
LOC112046971,cadherin-89D isoform X2,Cad89D,21444.41324,-8.729730205,0,8.729730205
LOC112047849,probable cytochrome P450 303a1,CYP303A1,14891.04764,-9.91310981,0,9.91310981
LOC112047937,Transforming growth factor-beta-induced protein ig-h3,CG43333,25906.28968,-11.40546313,0,11.40546313
LOC112049245,neurofilament medium polypeptide,LOC112049245,82669.83949,9.32553751,0,-9.32553751
LOC112050296,ABC transporter G family member 23 isoform X1,snu,15789.99516,-5.483864818,0,5.483864818
LOC112052551,pollen-specific leucine-rich repeat extensin-like protein 1,TwdlE,3135.225781,-8.298663146,0,8.298663146
LOC112054561,apolipoprotein D-like,GLaz,716158.6651,12.89465203,0,-12.89465203
LOC112054660,LOW QUALITY PROTEIN: uncharacterized protein LOC112054660,CAP,3080.238022,-5.422599007,0,5.422599007
LOC112052902,putative cuticle protein,LOC112052902,65239.0972,-13.82496484,1.03E-303,13.82496484
LOC112055790,Pancreatic lipase-related protein 1,CG6847,74739.8079,-8.96987968,1.19E-303,8.96987968
LOC112045643,interleukin-1 receptor accessory protein-like,LOC112045643,5951.580097,-3.627281661,1.33E-303,3.627281661
LOC112053011,uncharacterized protein LOC112053011,Hasp,15279.46934,-9.520261966,8.88E-280,9.520261966
LOC112047647,golgin subfamily A member 6-like protein 22,CG12164,267245.0492,-15.53472198,9.25E-274,15.53472198
LOC112055895,fatty-acid amide hydrolase 2-B-like isoform X2,CG5191,23508.47291,-12.91249252,2.93E-266,12.91249252
LOC112042894,basement membrane-specific heparan sulfate proteoglycan core protein isoform X1,trol-,3199.026723,4.462494033,1.06E-259,-4.462494033
LOC112043848,serine/arginine repetitive matrix protein 1-like,LOC112043848,7127.772715,-9.123485419,8.13E-258,9.123485419
LOC112051927,flocculation protein FLO11,CG15080,37040.74679,-9.049797422,4.76E-257,9.049797422
LOC112056919,probable nuclear hormone receptor HR3 isoform X2,Hr46,7757.532844,-8.114041253,1.22E-248,8.114041253
LOC112045222,cuticle protein 19.8 isoform X2,Cpr66D,54993.22946,-14.88419917,8.35E-244,14.88419917
LOC112050169,nose resistant to fluoxetine protein 6-like,CG17707,19224.55831,-12.34251958,1.13E-241,12.34251958
LOC112047983,fatty acid-binding protein-like,LOC112047983,1429.401421,-5.151528188,1.77E-237,5.151528188
LOC112052778,hillarin,Hil,9187.253284,-5.08523601,7.65E-234,5.08523601
LOC112054299,chromatin complexes subunit BAP18 isoform X2,Osi21,480639.5475,-12.10680868,2.16E-233,12.10680868
LOC112057867,general odorant-binding protein 56a-like,Obp56d,14026.89955,7.331177001,6.97E-233,-7.331177001
LOC112052443,ejaculatory bulb-specific protein 3-like,LOC112052443,4164.802672,-5.743556074,5.66E-229,5.743556074
LOC112056218,23 kDa integral membrane protein-like,LOC112056218,1130.355379,-6.191829263,4.93E-228,6.191829263
LOC112047975,OWR53088.1 putative cuticle protein,CG12540,8591.112827,7.820522546,3.11E-226,-7.820522546
LOC112045770,probable serine/threonine-protein kinase dyrk2,Tie,27838.3442,-6.639413337,7.29E-224,6.639413337
LOC112055924,organic solute transporter alpha-like protein,CG6836,9370.944866,-7.57678705,3.24E-217,7.57678705
LOC112045504,hepatic leukemia factor isoform X3,Pdp1,35299.1448,-9.941521523,2.11E-212,9.941521523
LOC112055481,Ig-like and fibronectin type-III domain-containing protein 2 isoform X1,CG17839,28167.17602,-8.968256491,6.89E-210,8.968256491
LOC112052502,G-protein coupled receptor moody-like isoform X1,moody,2611.08341,-7.522650613,3.80E-209,7.522650613
LOC112044055,probable nuclear hormone receptor HR3 isoform X1,Hr46,6772.612676,-7.82458169,1.99E-207,7.82458169
LOC112054673,protein lethal(2)essential for life-like,LOC112054673,25432.00535,-8.11609992,4.13E-207,8.11609992
LOC112044436,transducin beta-like protein 2 isoform X2,LOC112044436,6867.362933,-3.189653862,3.67E-204,3.189653862
LOC112046219,DNA repair protein RAD50,rad50,4530.678358,2.705855174,1.52E-202,-2.705855174
LOC112049962,SUMO-activating enzyme subunit 2,Uba2,1536.671993,2.814007412,1.17E-193,-2.814007412
LOC112051535,A disintegrin and metalloproteinase with thrombospondin motifs 1 isoform X2,sona,24253.90746,-7.769737173,2.75E-193,7.769737173
LOC112048767,glycine-rich cell wall structural protein,TwdlT,5261.555108,-9.993872115,6.01E-192,9.993872115
LOC112054114,alpha-N-acetylgalactosaminidase isoform X2,CG5731,51976.98912,-7.62551345,6.61E-188,7.62551345
LOC112054971,tetra-peptide repeat homeobox protein 1-like,LOC112054971,566706.0087,-19.88602855,1.01E-186,19.88602855
LOC112043986,retinol dehydrogenase 14,CG7675,3120.84689,-10.00803795,3.90E-186,10.00803795
LOC112043163,protein TMEPAI isoform X3,LOC112043163,1066.114379,4.261904696,6.57E-186,-4.261904696
LOC112054990,"keratin, type I cytoskeletal 9-like",LOC112054990,68671.80228,-13.15765883,8.28E-186,13.15765883
LOC112046692,amyloid-beta-like protein isoform X2,Appl,1420.777595,4.339692828,4.44E-185,-4.339692828
LOC112048923,alpha-tocopherol transfer protein-like,CG2663,107405.43,-10.25092947,1.32E-184,10.25092947
LOC112045378,repetitive proline-rich cell wall protein,LOC112045378,81887.24497,-15.4279678,3.28E-182,15.4279678
LOC112057754,trypsin-1-like isoform X1,CG11836,20496.18173,-12.32567264,2.05E-178,12.32567264
LOC112055762,zinc finger protein 629-like isoform X1,mamo,1239.876782,4.630560787,1.00E-177,-4.630560787
LOC112046898,homeotic protein female sterile-like,LOC112046898,1179.201401,5.617701656,1.49E-177,-5.617701656
LOC112057117,kielin/chordin-like protein isoform X1,CG5639,44303.80429,-7.282965516,1.97E-177,7.282965516
LOC112055319,hormone receptor 4 isoform X2,Hr4,16507.81861,-10.90563495,1.94E-175,10.90563495
LOC112048190,angiopoietin-related protein 2,CG41520,23153.33656,-6.958208479,1.71E-174,6.958208479
LOC112058361,putative epidermal cell surface receptor isoform X1,sas,24000.13138,-5.916978886,8.14E-174,5.916978886
LOC112051193,protein outspread isoform X4,osp,17411.72172,-5.291395025,1.41E-172,5.291395025
LOC112055077,uncharacterized protein LOC112055077,Osi9,286838.9529,-17.81013667,2.47E-172,17.81013667
LOC112048035,WD repeat-containing protein 47 isoform X3,CG2812,7721.192754,-3.83890574,3.41E-172,3.83890574
LOC112050060,fez family zinc finger protein erm-like,sens,2428.848514,8.433515473,1.62E-171,-8.433515473
LOC112057822,CKLF-like MARVEL transmembrane domain-containing protein 4,LOC112057822,1624.212403,-3.871329974,8.46E-171,3.871329974
LOC112054528,class A basic helix-loop-helix protein 15-like,dimm,7595.487404,-9.733147749,5.74E-170,9.733147749
LOC112049978,protein Fe65 homolog isoform X1,LOC112049978,2864.263007,-4.520753859,1.75E-167,4.520753859
LOC112056283,"glucose dehydrogenase [FAD, quinone]",Gld,15576.48892,-10.66308912,3.55E-164,10.66308912
LOC112047195,senecionine N-oxygenase-like,Fmo-2,4694.650052,-10.67960461,7.77E-163,10.67960461
LOC112048150,serine-rich adhesin for platelets-like,Mur89F,30548.34461,14.58180851,1.29E-161,-14.58180851
LOC112058335,cadherin-86C,Cad86C,13587.16334,-3.748588128,3.64E-161,3.748588128
LOC112053991,estrogen sulfotransferase,St2,220131.667,-18.53500482,1.18E-160,18.53500482
LOC112043618,uncharacterized LOC106122463 precursor,neo,13089.95699,6.622927318,1.68E-160,-6.622927318
LOC112050132,AP2/ERF domain-containing protein PFD0985w-like isoform X2,cher,33872.43692,-15.15101603,1.38E-158,15.15101603
LOC112053606,uncharacterized LOC106121975 precursor,CG32816,6771.887485,-9.212563958,3.75E-158,9.212563958
LOC112049146,NA,NA,21991.13663,13.35226955,5.69E-158,-13.35226955
LOC112054908,methenyltetrahydrofolate synthase domain-containing protein,lost,3212.591118,-4.87109214,3.51E-157,4.87109214
LOC112043233,CCAAT/enhancer-binding protein-like,slbo,2780.46448,-10.12007832,7.70E-157,10.12007832
LOC112046215,protein couch potato-like,cpo,17946.17912,-3.592874571,1.23E-156,3.592874571
LOC112045319,uncharacterized protein LOC112045319,ChLD3,23602.88528,-11.19434265,1.82E-156,11.19434265
LOC112049616,very long-chain-fatty-acid--CoA ligase bubblegum isoform X1,bgm,1570.209418,-5.128586302,1.37E-155,5.128586302
LOC112049941,"glucose dehydrogenase [FAD, quinone]",CG45065,10215.62198,-8.297733839,9.49E-155,8.297733839
LOC112054473,bromodomain-containing protein DDB_G0280777-like,LOC112054473,59982.03649,-15.2664051,3.31E-154,15.2664051
LOC112057850,B-cell lymphoma/leukemia 11A isoform X1,CG9650,1736.405302,-8.259860089,2.08E-153,8.259860089
LOC112048340,esterase FE4-like,CG10175,13448.21754,-12.14965914,5.03E-151,12.14965914
LOC112046614,high affinity copper uptake protein 1-like,Ctr1A,1470.614177,-2.542133194,6.04E-150,2.542133194
LOC112052632,skin secretory protein xP2-like,Vajk3,215225.2554,-10.32739995,2.46E-147,10.32739995
LOC112051619,protein ELYS isoform X2,Elys,1456.788525,2.977021698,2.68E-146,-2.977021698
LOC112049058,protein yellow-like,yel-x,117527.1611,-9.651012297,1.17E-144,9.651012297
LOC112046332,alpha-tocopherol transfer protein-like,Cralbp,2444.895072,-9.066438533,1.23E-143,9.066438533
LOC112046503,unconventional myosin-XV,Myo15,6488.13304,-2.613876622,6.69E-141,2.613876622
LOC112054188,guanine nucleotide-binding protein subunit gamma-e,Ggamma30A,15731.01143,-5.371646436,7.53E-139,5.371646436
LOC112055330,protein obstructor-E,Cpap3-d1,4124.983242,-9.29384789,1.36E-137,9.29384789
LOC112052990,proclotting enzyme-like,CG8172,15672.45516,-11.41642067,2.64E-136,11.41642067
LOC112048174,uncharacterized protein LOC112048174 isoform X1,CG4702,69629.12224,-13.62755581,8.01E-136,13.62755581
LOC112056815,histone-binding protein N1/N2,LOC112056815,1620.663038,3.130280322,2.63E-135,-3.130280322
LOC112044883,probable nuclear hormone receptor HR38 isoform X1,Hr38,1648.403558,4.816971099,1.39E-134,-4.816971099
LOC112043179,putative leucine-rich repeat-containing protein DDB_G0290503,LOC112043179,997.6165832,5.160576104,1.41E-134,-5.160576104
LOC112044629,pancreatic triacylglycerol lipase-like isoform X1,CG6847,23443.35956,-8.840276289,1.75E-134,8.840276289
LOC112050130,uncharacterized protein LOC112050130,LOC112050130,8687.268347,-12.61584178,6.65E-134,12.61584178
LOC112045972,cuticle protein 1-like,LOC112045972,36853.03036,10.35818111,6.67E-134,-10.35818111
LOC112048290,eukaryotic translation initiation factor 4E-binding protein Mextli isoform X1,mxt,7161.648166,-4.914665016,1.07E-131,4.914665016
LOC112058195,paternally-expressed gene 3 protein-like,Cpr76Bd,5562.578384,-10.09965775,5.25E-131,10.09965775
LOC112046927,anosmin-1,LOC112046927,89314.61377,-9.497541566,7.15E-131,9.497541566
LOC112052706,uncharacterized protein LOC112052706,LOC112052706,1308.477611,6.176838599,2.51E-130,-6.176838599
LOC112047161,cyclin-dependent kinases regulatory subunit,Cks30A,1204.860094,6.380482324,8.98E-130,-6.380482324
LOC112044157,uncharacterized protein LOC112044157,CG14880,12733.58552,-6.966716782,2.07E-127,6.966716782
LOC112047415,venom dipeptidyl peptidase 4-like,CG11034,4997.098902,-5.675415469,1.06E-125,5.675415469
LOC112046259,uncharacterized protein LOC112046259,LOC112046259,8474.069249,-10.52362571,1.30E-125,10.52362571
LOC112056193,heme peroxidase 2,DBLOX,19367.19116,-10.09062676,1.49E-125,10.09062676
LOC112048072,probable chitinase 10,Cht7,111917.9345,-8.321663717,2.70E-125,8.321663717
LOC112050031,coagulation factor VII isoform X2,CG8170,21849.95875,-11.73734578,4.24E-125,11.73734578
LOC112055727,dipeptidyl peptidase 3 isoform X1,DppIII,2828.524062,2.178692341,5.80E-125,-2.178692341
LOC112047582,uncharacterized protein LOC112047582,CG14636,102620.5497,-9.513615733,1.37E-124,9.513615733
LOC112043738,patched domain-containing protein 3,Ptr,10777.67237,-8.736140488,2.55E-124,8.736140488
LOC112052967,uncharacterized protein LOC112052967,CG15594,305265.765,-18.34462419,1.04E-123,18.34462419
LOC112052052,cadherin-86C,Cad86C,2306.195107,-3.80444151,1.12E-123,3.80444151
LOC112046304,rap1 GTPase-activating protein 1 isoform X4,Rapgap1,5441.924195,-6.040351971,1.17E-123,6.040351971
LOC112054986,histidine-rich glycoprotein,CG14770,180696.7119,-18.59433092,2.63E-122,18.59433092
LOC112049942,uncharacterized protein LOC112049942,LOC112049942,2371.761973,-8.511450859,2.93E-121,8.511450859
LOC112044206,uncharacterized protein LOC112044206 isoform X2,exp,9614.614027,-7.160534873,7.21E-121,7.160534873
LOC112043015,uncharacterized protein LOC112043015 isoform X1,LOC112043015,522694.1594,-17.25874018,1.10E-120,17.25874018
LOC112052571,collagen alpha chain CG42342 isoform X1,CG42342,523.7276037,4.52587694,5.33E-120,-4.52587694
LOC112049117,uncharacterized protein LOC112049117 isoform X1,qtc,4717.615592,-5.939744709,3.32E-119,5.939744709
LOC112048946,protein enabled,CTL9,11276.91512,-7.851250133,1.11E-118,7.851250133
LOC112057294,"aldehyde dehydrogenase, dimeric NADP-preferring isoform X2",Aldh-III,14340.38817,-4.884447153,4.68E-118,4.884447153
LOC112047158,bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase isoform X1,Papss,8564.076209,-5.718840015,3.48E-117,5.718840015
LOC112057884,CBP80/20-dependent translation initiation factor isoform X1,CG13124,3249.789182,-7.463300649,5.05E-117,7.463300649
LOC112053042,uncharacterized protein LOC112053042,LOC112053042,3059.802525,-6.5906746,1.16E-116,6.5906746
LOC112054662,putative sodium-dependent multivitamin transporter,CG32669,1057.621006,-4.77424823,1.19E-116,4.77424823
LOC112047959,serine protease easter-like,SPE,616.3647831,6.683694517,2.56E-116,-6.683694517
LOC112054829,mucin-5AC,CG10936,14124.1406,-3.549981997,3.78E-115,3.549981997
LOC112058089,putative cuticle protein CPH35,LOC112058089,32954.71075,-11.61912966,6.38E-114,11.61912966
LOC112051695,protein RFT1 homolog,CG3149,1083.82442,-2.206045462,1.26E-113,2.206045462
LOC112043300,multidrug resistance-associated protein 4-like isoform X2,CG5789,8380.512394,7.599774654,1.39E-113,-7.599774654
LOC112058087,tyrosine-protein kinase-like otk,otk,1067.233212,5.837406271,1.65E-113,-5.837406271
LOC112047476,low-density lipoprotein receptor-related protein 2,mgl,68209.07721,-4.764398676,3.13E-113,4.764398676
LOC112044043,latent-transforming growth factor beta-binding protein 4-like isoform X2,CG31999,8074.81833,-11.00102026,7.64E-113,11.00102026
LOC112046669,neural-cadherin-like isoform X1,CadN,891.156149,5.552540928,9.98E-113,-5.552540928
LOC112053673,uncharacterized protein LOC112053673,LOC112053673,1048.552815,-5.36719422,5.60E-112,5.36719422
LOC112045149,ubiquitin-conjugating enzyme E2 R2,CG7656,7127.834557,-4.327531727,5.64E-112,4.327531727
LOC112044333,venom carboxylesterase-6,CG10175,2837.439771,-6.896327808,4.48E-111,6.896327808
LOC112054741,serine/arginine repetitive matrix protein 2-like,LOC112054741,2371.819379,3.564452789,1.30E-110,-3.564452789
LOC112057709,kinesin-like protein Klp61F,Klp61F,1344.472093,3.814084254,1.68E-109,-3.814084254
LOC112048614,small nuclear ribonucleoprotein Sm D3,SmD3,2629.357905,2.652688611,2.01E-109,-2.652688611
LOC112051183,tyrosine-protein phosphatase 10D,Ptp10D,8536.092251,-1.980292744,2.30E-109,1.980292744
LOC112052044,peptide transporter family 1,CG2930,2058.278959,-10.18595443,1.16E-108,10.18595443
LOC112043844,EH domain-containing protein 3,Past1,10174.71611,-5.018205019,3.06E-108,5.018205019
LOC112044986,seminal fluid protein CSSFP033,CLIPA10,25316.22214,-11.65694828,5.34E-107,11.65694828
LOC112044620,eukaryotic translation initiation factor 5A,eEF5,17722.16722,2.208851739,7.65E-107,-2.208851739
LOC112050417,RNA-binding protein squid isoform X1,sqd,19909.86349,1.880962774,3.38E-106,-1.880962774
LOC112046750,nose resistant to fluoxetine protein 6-like,CG32645,1260.963117,-7.722701102,1.01E-105,7.722701102
LOC112053729,UDP-N-acetylhexosamine pyrophosphorylase,mmy,1874.523861,-4.588588548,3.78E-105,4.588588548
LOC112042963,angiotensin-converting enzyme-like isoform X1,Ance-3,3717.396692,-8.869231455,1.15E-104,8.869231455
LOC112058578,uncharacterized protein LOC112058578,LOC112058578,9460.455142,-13.49341017,2.73E-104,13.49341017
LOC112050593,cyclin-dependent kinase 1,Cdk1,2247.606864,4.229328534,8.36E-103,-4.229328534
LOC112050403,uncharacterized protein LOC112050403,LOC112050403,1055.151082,6.301421321,2.44E-102,-6.301421321
LOC112058397,phospholipase A2 like protein,LOC112058397,2606.187403,-8.43784707,2.82E-102,8.43784707
LOC112043945,glutamyl aminopeptidase-like isoform X1,CG8773,2412.072022,-2.123064582,4.19E-102,2.123064582
LOC112055296,unconventional myosin-XV,Myo10A,17992.12948,-5.313873712,6.88E-102,5.313873712
LOC112044719,esterase FE4-like,CG10175,1082.840635,-3.286704347,9.75E-102,3.286704347
LOC112057698,proclotting enzyme-like,CLIPD3,9606.453479,-11.9397303,1.01E-101,11.9397303
LOC112050049,profilin,chic,7442.083054,2.255146752,6.52E-101,-2.255146752
LOC112054507,probable serine/threonine-protein kinase DDB_G0282963 isoform X1,Svil-,1921.154372,-5.042329649,8.84E-101,5.042329649
LOC112055179,"D-2-hydroxyglutarate dehydrogenase, mitochondrial",D2hgdh,1430.20089,-7.308526697,2.04E-100,7.308526697
LOC112055056,maternal protein tudor-like isoform X1,tud,27265.27238,-4.90290756,2.89E-100,4.90290756
LOC112053335,uncharacterized protein LOC112053335,sha,8330.726528,-12.57152482,8.34E-100,12.57152482
LOC112052606,uncharacterized protein LOC112052606 isoform X2,LOC112052606,6651.084349,-13.02570781,1.38E-99,13.02570781
LOC112051487,transcription factor Sox-5,Sox102F,2323.461333,-2.853071467,1.41E-99,2.853071467
LOC112044491,thymosin beta isoform X3,cib,60698.29576,-3.774089707,4.36E-98,3.774089707
LOC112053675,putative cuticle protein CPH41,LOC112053675,272389.6336,-19.19197787,5.73E-98,19.19197787
LOC112050906,general transcriptional corepressor trfA-like,LOC112050906,3461.976646,6.053652712,6.15E-97,-6.053652712
LOC112047903,UDP-galactose 4-epimerase isoform X1,CG5854,1359.162006,2.718623199,6.43E-97,-2.718623199
LOC112046967,cuticular protein RR-2,Cpr64Aa,4663.64131,-9.277913659,1.99E-96,9.277913659
LOC112051460,uncharacterized protein LOC112051460,LOC112051460,6594.188657,-8.237761465,8.14E-96,8.237761465
LOC112046508,uncharacterized LOC106121074 precursor,CG12880,1450.005236,5.575133633,2.31E-95,-5.575133633
LOC112046564,chorion peroxidase-like isoform X2,CG42331,34063.25575,-6.95275009,2.71E-95,6.95275009
LOC112044889,phospholipase A1 member A-like,CG18641,2799.270069,-9.398795155,7.84E-95,9.398795155
LOC112051410,nose resistant to fluoxetine protein 6-like,CG32645,3287.708516,-8.131146806,1.19E-94,8.131146806
