Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112042807,protein takeout-like,CG10407,25023.22744,-13.32601069,0,13.32601069
LOC112042926,glutamine synthetase 2 cytoplasmic-like,Gs2,2510.330064,-5.396761449,0,5.396761449
LOC112043038,serine protease P54,CG7432,3724.569381,7.93112749,0,-7.93112749
LOC112043098,organic cation transporter protein isoform X2,CG6126,13207.95299,-4.54173112,0,4.54173112
LOC112043295,uncharacterized protein LOC112043295,LOC112043295,13102.98637,9.900707408,0,-9.900707408
LOC112043821,LIM domain only protein 7 isoform X3,smash,3502.964014,-3.007373859,0,3.007373859
LOC112043832,jupiter microtubule associated homolog 1-like isoform X2,CG1943,11716.65175,2.086980429,0,-2.086980429
LOC112044157,uncharacterized protein LOC112044157,CG14880,4440.828057,-7.89009056,0,7.89009056
LOC112045751,basic proline-rich protein isoform X2,LOC112045751,16857.07205,-12.45926675,0,12.45926675
LOC112046155,atrophin-1-like isoform X1,LOC112046155,14260.28947,-6.663855941,0,6.663855941
LOC112046332,alpha-tocopherol transfer protein-like,Cralbp,20161.48749,-12.13524849,0,12.13524849
LOC112046512,putative K06A9.1b,LOC112046512,39008.17225,-13.17157332,0,13.17157332
LOC112046887,uncharacterized protein LOC112046887,LOC112046887,4559.152092,-9.403919143,0,9.403919143
LOC112046927,anosmin-1,LOC112046927,3249.411653,5.207027256,0,-5.207027256
LOC112046992,uncharacterized protein LOC112046992,LOC112046992,116798.256,-15.33386535,0,15.33386535
LOC112046993,larval/pupal cuticle protein H1C-like,LOC112046993,115922.1331,-15.13508973,0,15.13508973
LOC112047618,serine-rich adhesin for platelets-like isoform X1,LOC112047618,13013.89897,-8.382327827,0,8.382327827
LOC112047647,golgin subfamily A member 6-like protein 22,CG12164,12953.72422,-7.956492629,0,7.956492629
LOC112047929,synaptic vesicle glycoprotein 2B-like,CG3168,2192.568662,6.780054848,0,-6.780054848
LOC112048039,UNC93-like protein,CG4928,1858.941926,-2.378375958,0,2.378375958
LOC112048072,probable chitinase 10,Cht7,15644.95698,-5.158852201,0,5.158852201
LOC112048323,pupal cuticle protein C1B-like,LOC112048323,185932.9563,-14.25501868,0,14.25501868
LOC112048342,esterase FE4-like,CG10175,3103.239874,-8.749951523,0,8.749951523
LOC112048355,thioredoxin domain-containing protein 3 homolog isoform X1,LOC112048355,11374.25395,-8.615641014,0,8.615641014
LOC112048759,uncharacterized LOC106124634 precursor,CG31997,53493.43623,-11.76804392,0,11.76804392
LOC112048767,glycine-rich cell wall structural protein,TwdlT,56815.94895,-12.12432816,0,12.12432816
LOC112048921,alpha-tocopherol transfer protein-like,CG2663,11844.33761,-10.58616432,0,10.58616432
LOC112049016,ejaculatory bulb-specific protein 3-like,CSP6,49108.375,-9.567057871,0,9.567057871
LOC112049503,tropomyosin-2 isoform X12,Tm1,140772.18,-3.826882954,0,3.826882954
LOC112049614,endocuticle structural glycoprotein SgAbd-8-like,Cpr49Ah,259497.2536,-16.15193495,0,16.15193495
LOC112049644,OWR43864.1 Serine protease H164,scaf,36124.23543,-7.271338378,0,7.271338378
LOC112049779,endocuticle structural glycoprotein SgAbd-2-like,CPR32,79458.13836,-7.966341416,0,7.966341416
LOC112049888,zinc finger protein 84-like isoform X1,LOC112049888,2927.766109,-3.619480918,0,3.619480918
LOC112050022,probable chitinase 2,Cht2,4219.632455,-2.378957163,0,2.378957163
LOC112050169,nose resistant to fluoxetine protein 6-like,CG17707,2434.252718,-8.11932834,0,8.11932834
LOC112051403,ecdysone-induced protein 74EF isoform X3,Eip74EF,10014.17614,-3.561707057,0,3.561707057
LOC112051535,A disintegrin and metalloproteinase with thrombospondin motifs 1 isoform X2,sona,9752.402538,-4.674073668,0,4.674073668
LOC112051693,dual oxidase isoform X1,DUOX,1896.753437,-7.013159914,0,7.013159914
LOC112051954,shootin-1-like,LOC112051954,3162.950445,-4.564417365,0,4.564417365
LOC112052060,protein yellow-like,yel-e,2894.957724,-8.499819958,0,8.499819958
LOC112052591,mucin-5AC-like isoform X1,CG17211,8804.881016,6.008753702,0,-6.008753702
LOC112052777,versican core protein,tnc,18393.95504,6.966903561,0,-6.966903561
LOC112052908,titin,sls,15737.3913,-2.334667242,0,2.334667242
LOC112053886,titin isoform X4,CG34417,270344.7008,-3.862547813,0,3.862547813
LOC112055112,decaprenyl-diphosphate synthase subunit 1,qless,5116.218966,-5.85143667,0,5.85143667
LOC112055327,protein obstructor-E isoform X2,Gasp,131291.9468,-5.144765048,0,5.144765048
LOC112055330,protein obstructor-E,Cpap3-d1,5004.491919,-8.897640732,0,8.897640732
LOC112055730,mediator of DNA damage checkpoint protein 1-like isoform X3,zye,62023.49104,-9.282918472,0,9.282918472
LOC112056445,transcriptional regulator ovo-like isoform X2,ovo,8889.690628,5.702089023,0,-5.702089023
