Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112042915,alpha-tocopherol transfer protein-like,Cralbp,15042.27959,11.41929431,0,-11.41929431
LOC112043098,organic cation transporter protein isoform X2,CG6126,12738.78723,4.488339783,0,-4.488339783
LOC112043295,uncharacterized protein LOC112043295,LOC112043295,19425.13253,-10.81734363,0,10.81734363
LOC112043682,myosin-2 essential light chain isoform X1,Mlc-c,56443.77718,3.929623709,0,-3.929623709
LOC112043847,transcription factor SOX-11 isoform X1,CG32694,27598.63751,8.216074676,0,-8.216074676
LOC112043849,uncharacterized protein LOC112043849,CG43386,14439.55593,9.82899236,0,-9.82899236
LOC112044491,thymosin beta isoform X3,cib,53272.47086,3.136139188,0,-3.136139188
LOC112044986,seminal fluid protein CSSFP033,CLIPA10,17272.835,10.66738837,0,-10.66738837
LOC112044991,cuticle protein 16.5-like,LOC112044991,13887.08067,8.405384372,0,-8.405384372
LOC112046332,alpha-tocopherol transfer protein-like,Cralbp,20802.38375,11.72989691,0,-11.72989691
LOC112046462,broad-complex core protein isoforms 1/2/3/4/5 isoform X1,Br-c,6879.456004,7.153961406,0,-7.153961406
LOC112046562,"myosin heavy chain, non-muscle isoform X1",Mhc2,103092.8754,3.822689364,0,-3.822689364
LOC112046992,uncharacterized protein LOC112046992,LOC112046992,126826.0965,12.46018338,0,-12.46018338
LOC112046993,larval/pupal cuticle protein H1C-like,LOC112046993,131589.5733,13.46878788,0,-13.46878788
LOC112046994,repetitive proline-rich cell wall protein 1-like,LOC112046994,4419.407918,8.142451446,0,-8.142451446
LOC112047647,golgin subfamily A member 6-like protein 22,CG12164,13308.40117,10.7968506,0,-10.7968506
LOC112047818,larval cuticle protein LCP-17-like,Cpr49Aa,221030.673,14.31028937,0,-14.31028937
LOC112048323,pupal cuticle protein C1B-like,LOC112048323,205623.3715,11.80475196,0,-11.80475196
LOC112048355,thioredoxin domain-containing protein 3 homolog isoform X1,LOC112048355,12656.31454,5.270760505,0,-5.270760505
LOC112048643,proton-coupled amino acid transporter-like protein pathetic,CG8785,4574.800966,7.101640694,0,-7.101640694
LOC112048759,uncharacterized LOC106124634 precursor,CG31997,56162.75195,8.57809012,0,-8.57809012
LOC112048921,alpha-tocopherol transfer protein-like,CG2663,12215.89332,7.45877191,0,-7.45877191
LOC112049146,NA,NA,29566.75137,-10.84329724,0,10.84329724
LOC112049203,endocuticle structural glycoprotein SgAbd-8-like,Cpr49Aa,45759.76967,11.94389823,0,-11.94389823
LOC112049284,larval cuticle protein LCP-17-like,Cpr49Aa,35758.05889,11.36973116,0,-11.36973116
LOC112049503,tropomyosin-2 isoform X12,Tm1,148865.9213,4.017344772,0,-4.017344772
LOC112049614,endocuticle structural glycoprotein SgAbd-8-like,Cpr49Ah,272336.0603,15.35810097,0,-15.35810097
LOC112049779,endocuticle structural glycoprotein SgAbd-2-like,CPR32,86184.97736,10.81091196,0,-10.81091196
LOC112050065,skin secretory protein xP2-like,LOC112050065,68181.22321,13.52974399,0,-13.52974399
LOC112051535,A disintegrin and metalloproteinase with thrombospondin motifs 1 isoform X2,sona,9923.408857,6.042888603,0,-6.042888603
LOC112051954,shootin-1-like,LOC112051954,3497.981305,3.776816062,0,-3.776816062
LOC112052777,versican core protein,tnc,78061.15853,-9.421663426,0,9.421663426
LOC112053886,titin isoform X4,CG34417,269094.6553,5.243780669,0,-5.243780669
LOC112054167,alpha-tocopherol transfer protein-like,CG3823,3614.967792,8.725138096,0,-8.725138096
LOC112055327,protein obstructor-E isoform X2,Gasp,137566.2481,5.915483106,0,-5.915483106
