Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112048883,serine-enriched protein isoform X1,gprs,1324.459265,-8.214496142,7.50E-94,8.214496142
LOC112047311,extracellular sulfatase SULF-1 homolog,Sulf1,8251.847142,2.418282796,1.96E-70,-2.418282796
LOC112045714,venom protease-like,CLIPC1,1245.119338,-1.695978688,4.78E-44,1.695978688
LOC112055862,conserved oligomeric Golgi complex subunit 1,LOC112055862,422.0822501,2.025642388,5.45E-36,-2.025642388
LOC112047434,ATP-dependent RNA helicase p62,Rm62,33058.84971,0.930686413,2.25E-33,-0.930686413
LOC112054063,"translation factor GUF1 homolog, mitochondrial",waw,790.2117115,1.992772424,2.97E-30,-1.992772424
LOC112052216,pyrimidodiazepine synthase-like,GstO2,463.4047941,4.369542015,1.11E-28,-4.369542015
LOC112046655,allergen Api m 6-like,LOC112046655,193.985296,-3.638427124,1.22E-26,3.638427124
LOC112052241,venom serine carboxypeptidase-like,CG4572,20702.65449,2.411060677,3.73E-25,-2.411060677
LOC112047321,cryptochrome-1-like isoform X1,cry2,1612.413818,-0.830229334,5.81E-24,0.830229334
LOC112045348,"1,4-alpha-glucan-branching enzyme",AGBE,1484.572753,-0.82763079,1.64E-23,0.82763079
LOC112052100,cystathionine gamma-lyase,Eip55E,510.3159825,2.394533225,3.27E-22,-2.394533225
LOC112057139,NA,NA,24594.41388,-0.657543273,1.02E-21,0.657543273
LOC112050956,carboxypeptidase N subunit 2-like,LOC112050956,8231.559966,-0.775602107,1.16E-19,0.775602107
LOC112057119,sec1 family domain-containing protein 2-like,LOC112057119,105.2818339,-10.56411313,3.05E-19,10.56411313
LOC112049084,protein tyrosine phosphatase domain-containing protein 1-like,PTPDC1,519.4703901,-2.016373311,2.49E-18,2.016373311
LOC112044967,chitin deacetylase 4,Cda4,10373.72075,-0.775650586,7.25E-18,0.775650586
LOC112055104,ER degradation-enhancing alpha-mannosidase-like protein 3,Edem2,1116.901526,-0.710329629,8.63E-18,0.710329629
LOC112057944,CAAX prenyl protease 1 homolog,ste24a,2183.371379,-0.629867219,1.07E-17,0.629867219
LOC112053488,arylsulfatase I-like,CG8646,301.2464735,2.507074585,1.11E-17,-2.507074585
LOC112045725,death-associated inhibitor of apoptosis 1-like isoform X1,IAP1,7158.981637,0.551780326,2.58E-17,-0.551780326
LOC112052493,alpha-tocopherol transfer protein-like,LOC112052493,342.0267227,-2.548397909,2.58E-17,2.548397909
LOC112045750,uncharacterized protein LOC112045750,LOC112045750,2538.716657,-1.406707333,4.78E-17,1.406707333
LOC112048538,protein deadpan,dpn,236.8418002,2.488642545,5.12E-17,-2.488642545
LOC112046435,bilin-binding protein-like,LOC112046435,321684.2805,-0.697683497,8.84E-17,0.697683497
LOC112053274,CTL-like protein 2 isoform X1,Ctl2,986.5959241,-1.194685185,1.64E-16,1.194685185
LOC112053308,cadherin-87A-like isoform X1,Cad87A,2873.013602,0.739495532,1.78E-16,-0.739495532
LOC112050060,fez family zinc finger protein erm-like,sens,7016.325465,-1.354111207,4.51E-16,1.354111207
LOC112044465,sodium channel protein Nach-like,ppk13,71.86498397,-10.02380826,6.45E-16,10.02380826
LOC112047455,"C-1-tetrahydrofolate synthase, cytoplasmic isoform X1",pug,2595.85481,-1.232691929,6.94E-16,1.232691929
LOC112048245,protein lethal(2)essential for life-like,l(2)efl,657.5059335,2.807585577,1.08E-15,-2.807585577
LOC112046213,carboxypeptidase M isoform X1,CG4678,481.2156169,-2.105747852,4.53E-15,2.105747852
LOC112057877,venom carboxylesterase-6-like,Est-6,227.965029,4.393999129,5.53E-15,-4.393999129
LOC112051544,focal adhesion kinase 1 isoform X1,Fak,6516.026758,-1.163915231,7.43E-15,1.163915231
LOC112057142,NADH dehydrogenase subunit 5,mt:ND5,1652.652356,-1.291949031,8.53E-15,1.291949031
LOC112054350,tenascin-like isoform X1,LOC112054350,1009.111694,1.414465212,9.25E-15,-1.414465212
LOC112044682,conserved oligomeric Golgi complex subunit 1,LOC112044682,864.128524,-0.857015993,1.37E-14,0.857015993
LOC112043141,uncharacterized protein LOC112043141 isoform X1,LOC112043141,150.5841026,2.523389405,1.67E-14,-2.523389405
LOC112053443,proteoglycan 4-like,CG13676,14085.13168,-1.320141513,2.56E-14,1.320141513
LOC112052237,peritrophin-48-like,LOC112052237,642.1605825,1.949181861,3.29E-14,-1.949181861
LOC112053036,uncharacterized protein LOC112053036 isoform X2,ec,7408.630583,-0.776535018,3.50E-14,0.776535018
LOC112043606,microtubule-associated protein tau isoform X4,tau,1270.865763,1.976049928,5.32E-14,-1.976049928
LOC112058517,"solute carrier family 2, facilitated glucose transporter member 1-like",Glut1-,2772.674482,1.831150299,5.32E-14,-1.831150299
LOC112058283,sodium-coupled monocarboxylate transporter 1-like,SLC5A11,323.0205482,-1.316284005,7.07E-14,1.316284005
LOC112057897,KPI95745.1 Hermansky-Pudlak syndrome 4 protein,HPS4,567.2537226,-1.542976328,7.50E-14,1.542976328
LOC112056105,nuclear factor interleukin-3-regulated protein,vri,1401.281111,-1.738638049,7.56E-14,1.738638049
LOC112052921,bax inhibitor 1,BI-1,5842.336026,-0.489150482,9.35E-14,0.489150482
LOC112057691,kinetochore protein NDC80 homolog,LOC112057691,1645.751648,0.818783348,1.18E-13,-0.818783348
LOC112045473,cuticle protein-like,CPR59,130.553975,-3.06152571,2.42E-13,3.06152571
LOC112051410,nose resistant to fluoxetine protein 6-like,CG32645,265.3177011,3.468100442,2.89E-13,-3.468100442
LOC112044787,facilitated trehalose transporter Tret1-like,CG10960,85.29990934,2.598004571,4.59E-13,-2.598004571
LOC112042803,protein spinster homolog 1,CG14439,2635.189367,-1.307203327,4.69E-13,1.307203327
LOC112055574,tyrosine-protein phosphatase non-receptor type 23,mop,3745.416508,-0.592898938,5.08E-13,0.592898938
LOC112045333,uncharacterized protein LOC112045333,LOC112045333,775.2090536,-1.269329408,6.52E-13,1.269329408
LOC112044971,ATP-dependent RNA helicase dbp2-like isoform X1,CG10077,28595.4402,0.478667802,9.02E-13,-0.478667802
LOC112046025,protein nessun dorma,nesd,2289.364469,0.859018404,1.09E-12,-0.859018404
LOC112052504,sequestosome-1-like isoform X2,LOC112052504,2472.15704,-0.560899314,1.21E-12,0.560899314
LOC112058377,sodium/potassium-transporting ATPase subunit alpha isoform X5,Atpalpha,14317.01692,0.309391676,1.84E-12,-0.309391676
