Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112044206,uncharacterized protein LOC112044206 isoform X2,exp,10692.48774,-7.362697335,0,7.362697335
LOC112044333,venom carboxylesterase-6,CG10175,4902.854019,-8.085658568,0,8.085658568
LOC112046058,centromere protein F,LOC112046058,3048.253131,5.673728735,0,-5.673728735
LOC112046483,NA,NA,4141.214315,-4.064700132,0,4.064700132
LOC112047849,probable cytochrome P450 303a1,CYP303A1,20441.77103,-10.95455203,0,10.95455203
LOC112048923,alpha-tocopherol transfer protein-like,CG2663,116219.6719,-9.353299637,0,9.353299637
LOC112050130,uncharacterized protein LOC112050130,LOC112050130,10366.75219,-10.95053597,0,10.95053597
LOC112050132,AP2/ERF domain-containing protein PFD0985w-like isoform X2,cher,35753.5578,-12.97686765,0,12.97686765
LOC112052988,RNA-binding protein cabeza-like isoform X1,caz,8061.37706,1.933086206,0,-1.933086206
LOC112053106,protein claret segregational,kinesin-14,3101.590971,7.5928212,0,-7.5928212
LOC112054188,guanine nucleotide-binding protein subunit gamma-e,Ggamma30A,11262.99929,-5.521533725,0,5.521533725
LOC112054660,LOW QUALITY PROTEIN: uncharacterized protein LOC112054660,CAP,4193.796012,-6.033059243,0,6.033059243
LOC112056218,23 kDa integral membrane protein-like,LOC112056218,962.029321,-6.168832886,0,6.168832886
LOC112047161,cyclin-dependent kinases regulatory subunit,Cks30A,2896.235099,6.553959042,2.10E-300,-6.553959042
LOC112054473,bromodomain-containing protein DDB_G0280777-like,LOC112054473,60172.5472,-14.14258654,3.41E-297,14.14258654
LOC112055731,probable cytochrome P450 49a1,CYP301B1,7738.811365,-10.20481909,1.84E-296,10.20481909
LOC112050296,ABC transporter G family member 23 isoform X1,snu,13448.57781,-4.937351952,7.05E-290,4.937351952
LOC112045770,probable serine/threonine-protein kinase dyrk2,Tie,25514.80618,-5.990599958,1.05E-289,5.990599958
LOC112047975,OWR53088.1 putative cuticle protein,CG12540,9811.252441,8.530172778,1.44E-283,-8.530172778
LOC112042900,Neuronal pentraxin-2,b6,19424.90581,-9.468522437,2.44E-283,9.468522437
LOC112052706,uncharacterized protein LOC112052706,LOC112052706,2459.372434,6.757083969,5.23E-282,-6.757083969
LOC112049064,targeting protein for Xklp2-like,Hrs,2307.36923,6.958620276,3.54E-276,-6.958620276
LOC112047206,transforming acidic coiled-coil-containing protein 3-like,LOC112047206,2003.336916,6.732225676,4.79E-272,-6.732225676
LOC112045222,cuticle protein 19.8 isoform X2,Cpr66D,81856.80333,-14.54428377,3.72E-271,14.54428377
LOC112055826,uncharacterized protein LOC112055826 isoform X3,nw,42140.17759,5.928061496,1.35E-265,-5.928061496
LOC112049537,protein abnormal spindle,asp,2596.911551,6.386610342,7.75E-262,-6.386610342
LOC112045452,cell division cycle protein 20 homolog,fzy,1579.334465,6.372656254,1.17E-261,-6.372656254
LOC112046692,amyloid-beta-like protein isoform X2,Appl,2052.591462,4.198654213,3.43E-260,-4.198654213
LOC112051175,serine/threonine-protein kinase Aurora-2-like,aurA,1441.778727,6.332968773,4.85E-256,-6.332968773
LOC112048559,high mobility group protein HMGI-C-like,LOC112048559,14125.95692,2.957368466,1.34E-246,-2.957368466
LOC112044665,protein fem-1 homolog CG6966 isoform X2,CG6966,5023.171525,-2.782519497,4.38E-245,2.782519497
LOC112049245,neurofilament medium polypeptide,LOC112049245,88278.10651,8.163009759,2.13E-244,-8.163009759
LOC112058337,63 kDa sperm flagellar membrane protein,CG33978,27923.4841,-6.270990582,2.57E-242,6.270990582
