Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC,eyespot
LOC112051874,transcription factor SPT20 homolog isoform X2,CG8192,365.9661077,-4.24128405,1.39E-86,4.24128405,NA
LOC112047321,cryptochrome-1-like isoform X1,cry2,1310.183583,-1.140996502,1.22E-63,1.140996502,NA
LOC112051116,ferritin subunit,Fer1HCH,5453.426141,-1.07407263,9.84E-48,1.07407263,NA
LOC112051201,rRNA 2'-O-methyltransferase fibrillarin,Fib,9370.219208,-0.476619092,1.08E-37,0.476619092,NA
LOC112058093,poly(A) polymerase type 3,hrg,1388.201605,1.256555734,2.01E-33,-1.256555734,NA
LOC112050923,"arginine--tRNA ligase, cytoplasmic",Aats-arg,4241.671028,-0.56695606,2.13E-33,0.56695606,NA
LOC112044346,protein UBASH3A homolog isoform X1,CG13604,1373.198782,-0.681616112,5.19E-32,0.681616112,NA
LOC112045357,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase-like isoform X1",Pfrx,9490.214428,0.703314619,5.95E-31,-0.703314619,NA
LOC112053513,laminin subunit beta-1,LanB1,9024.564141,0.618873271,1.11E-28,-0.618873271,NA
LOC112058257,glycerophosphocholine phosphodiesterase GPCPD1 isoform X1,CG2818,561.5243708,-0.874388872,1.25E-27,0.874388872,NA
LOC112051401,protein lethal(2)essential for life-like,l(2)efl,506.4592146,1.940148076,2.04E-25,-1.940148076,NA
LOC112052180,46 kDa FK506-binding nuclear protein,FK506-bp1,27122.10036,-0.48053826,1.05E-24,0.48053826,NA
LOC112052020,nucleolar GTP-binding protein 2,Ns2,3773.339803,-0.481486287,2.24E-24,0.481486287,NA
LOC112044461,RNA-binding protein with serine-rich domain 1-A-like isoform X2,RnpS1,4183.310313,-0.691400798,3.76E-24,0.691400798,NA
LOC112045235,probable ATP-dependent RNA helicase DDX46,CG6227,4169.780655,-0.48842738,4.46E-24,0.48842738,NA
LOC112043866,CLIP-associating protein isoform X1,chb,2981.110751,-0.553086387,5.48E-24,0.553086387,NA
LOC112046732,nucleolin-like isoform X1,LOC112046732,20177.57174,-0.50333235,6.50E-24,0.50333235,NA
LOC112055838,facilitated trehalose transporter Tret1-like,CG10960,7731.66148,0.551893361,7.24E-24,-0.551893361,NA
LOC112051979,breast cancer anti-estrogen resistance protein 1 isoform X1,p130CAS,680.4466074,-1.022644415,2.94E-23,1.022644415,NA
LOC112046256,methionine aminopeptidase 1 isoform X2,CG13630,2722.817641,-0.532192653,8.48E-23,0.532192653,NA
LOC112058339,plasma membrane calcium-transporting ATPase 2 isoform X1,PMCA,3524.631418,0.556318943,2.84E-22,-0.556318943,NA
LOC112058438,peptidyl-prolyl cis-trans isomerase NIMA-interacting 4,CG11858,1702.115825,0.673758071,2.99E-22,-0.673758071,NA
LOC112048897,RNA pseudouridylate synthase domain-containing protein 2-like isoform X3,RluA-1,5844.517361,-0.586381253,2.99E-22,0.586381253,eyespot_up
LOC112054344,putative gamma-glutamylcyclotransferase CG2811 isoform X1,CG2811,881.0376913,0.792437534,4.43E-22,-0.792437534,NA
LOC112044297,uncharacterized protein LOC112044297,LOC112044297,871.5360063,0.632716428,8.98E-22,-0.632716428,NA
LOC112045359,MOXD1 homolog 1-like,CG5235,2211.353732,-0.461104573,8.98E-22,0.461104573,NA
LOC112045348,"1,4-alpha-glucan-branching enzyme",AGBE,5003.622222,-0.745947618,1.80E-21,0.745947618,NA
LOC112049660,transmembrane and ubiquitin-like domain-containing protein 1 isoform X1,LOC112049660,495.6313326,0.859578124,2.95E-21,-0.859578124,NA
LOC112046720,serine/arginine repetitive matrix protein 1 isoform X1,Srrm1,13839.04189,-0.498514055,2.96E-21,0.498514055,NA
LOC112046081,ribosomal protein S6 kinase alpha-5-like isoform X1,JIL-1,1780.558899,0.835496027,4.09E-21,-0.835496027,NA
LOC112052706,uncharacterized protein LOC112052706,LOC112052706,1758.455418,-1.138709824,7.76E-21,1.138709824,eyespot_down
LOC112050692,cyclin G,CycG,1458.748935,0.886606068,7.84E-21,-0.886606068,NA
LOC112048360,protein lethal(2)essential for life-like,l(2)efl,586.1293097,3.294696534,9.35E-21,-3.294696534,NA
LOC112058370,beclin-1-like protein A,LOC112058370,392.2784006,1.909576436,9.75E-21,-1.909576436,NA
