Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112042807,protein takeout-like,CG10407,23443.6605,-12.84109784,0,12.84109784
LOC112043015,uncharacterized protein LOC112043015 isoform X1,LOC112043015,7747.042267,-9.725382642,0,9.725382642
LOC112043038,serine protease P54,CG7432,3677.685095,7.634765862,0,-7.634765862
LOC112044055,probable nuclear hormone receptor HR3 isoform X1,Hr46,12897.34982,4.801192623,0,-4.801192623
LOC112045232,estradiol 17-beta-dehydrogenase 11-like,CG9265,8760.143565,-5.023177144,0,5.023177144
LOC112045751,basic proline-rich protein isoform X2,LOC112045751,13609.93095,-11.26415406,0,11.26415406
LOC112045972,cuticle protein 1-like,LOC112045972,37493.1738,-12.34605522,0,12.34605522
LOC112046232,ABC transporter G family member 20,osy,4511.84845,-5.987466171,0,5.987466171
LOC112046512,putative K06A9.1b,LOC112046512,43584.35532,-12.37613048,0,12.37613048
LOC112046927,anosmin-1,LOC112046927,4705.783837,4.755758909,0,-4.755758909
LOC112047559,uncharacterized protein LOC112047559,CG13024,2558.836603,-8.837187471,0,8.837187471
LOC112047647,golgin subfamily A member 6-like protein 22,CG12164,15615.82489,-7.876919177,0,7.876919177
LOC112047998,uncharacterized protein LOC112047998,CG17786,12233.51384,-4.460236513,0,4.460236513
LOC112048062,putative mediator of RNA polymerase II transcription subunit 29,Cpr49Aa,13897.07202,8.380040336,0,-8.380040336
LOC112048323,pupal cuticle protein C1B-like,LOC112048323,215838.3655,-11.70918546,0,11.70918546
LOC112048330,uncharacterized protein LOC112048330,LOC112048330,33922.96102,-13.08748437,0,13.08748437
LOC112048767,glycine-rich cell wall structural protein,TwdlT,19507.87133,-9.736443815,0,9.736443815
LOC112049016,ejaculatory bulb-specific protein 3-like,CSP6,41776.01395,-10.70529117,0,10.70529117
LOC112049503,tropomyosin-2 isoform X12,Tm1,157463.0521,-3.952720719,0,3.952720719
LOC112049614,endocuticle structural glycoprotein SgAbd-8-like,Cpr49Ah,166130.5147,-13.62765357,0,13.62765357
LOC112049644,OWR43864.1 Serine protease H164,scaf,36062.488,-7.308856619,0,7.308856619
LOC112049779,endocuticle structural glycoprotein SgAbd-2-like,CPR32,60184.66632,-7.150228309,0,7.150228309
LOC112049888,zinc finger protein 84-like isoform X1,LOC112049888,2734.73792,-3.568673791,0,3.568673791
LOC112049944,"glucose dehydrogenase [FAD, quinone]-like",CG6142,7010.484617,7.982753311,0,-7.982753311
LOC112050877,uncharacterized protein LOC112050877,rau,1279.989879,-3.836494464,0,3.836494464
LOC112051359,prisilkin-39-like,LOC112051359,13930.32908,-8.915421428,0,8.915421428
LOC112051693,dual oxidase isoform X1,DUOX,1633.762994,-7.521012395,0,7.521012395
LOC112051874,transcription factor SPT20 homolog isoform X2,CG8192,18466.94013,-10.30736712,0,10.30736712
LOC112052908,titin,sls,18849.69291,-2.300607349,0,2.300607349
LOC112053498,supervillin-like isoform X1,Svil,22200.9558,-3.157980274,0,3.157980274
LOC112053751,ecdysone-induced protein 78C-like,Eip78C,2346.629534,4.871040699,0,-4.871040699
LOC112053886,titin isoform X4,CG34417,331186.7644,-3.787281698,0,3.787281698
LOC112054138,proton channel OtopLc isoform X1,OtopLa,5300.296409,-2.763902357,0,2.763902357
LOC112054167,alpha-tocopherol transfer protein-like,CG3823,3700.795939,-5.697096128,0,5.697096128
LOC112054273,activating signal cointegrator 1 complex subunit 2 homolog,Cpr97Eb,9643.972893,-7.662189729,0,7.662189729
LOC112054278,pollen-specific leucine-rich repeat extensin-like protein 2,CG8927,12229.30288,-9.006001807,0,9.006001807
LOC112055330,protein obstructor-E,Cpap3-d1,5254.32591,-8.988716281,0,8.988716281
LOC112055423,alpha-tocopherol transfer protein-like,CG3823,2830.577103,-5.768438136,0,5.768438136
LOC112056919,probable nuclear hormone receptor HR3 isoform X2,Hr46,16099.67296,3.831408144,0,-3.831408144
LOC112058174,cuticle protein 8-like,CG34461,413417.5074,-14.20954147,0,14.20954147
LOC112058209,cuticle protein-like,Cpr62Bc,21056.79332,-12.57565859,0,12.57565859
LOC112058270,AIR96004.1 lectin3,CTLGA3,33927.46509,-9.411397041,0,9.411397041
LOC112058337,63 kDa sperm flagellar membrane protein,CG33978,14388.8425,-4.748268944,0,4.748268944
LOC112044902,chitin synthase A,kkv,17507.04282,-2.993863603,1.61E-303,2.993863603
LOC112047582,uncharacterized protein LOC112047582,CG14636,6782.735351,-10.4505474,9.00E-302,10.4505474
LOC112052777,versican core protein,tnc,29343.01911,8.47880232,4.11E-291,-8.47880232
LOC112043295,uncharacterized protein LOC112043295,LOC112043295,12014.06575,9.072204034,6.50E-284,-9.072204034
LOC112053778,3-hydroxy-3-methylglutaryl-coenzyme A reductase,Hmgcr,7424.762796,-4.384761318,1.17E-282,4.384761318
LOC112048072,probable chitinase 10,Cht7,16572.22626,-4.33123243,1.90E-282,4.33123243
LOC112043098,organic cation transporter protein isoform X2,CG6126,11020.43801,-5.04830261,1.33E-280,5.04830261
LOC112052551,pollen-specific leucine-rich repeat extensin-like protein 1,TwdlE,4179.557519,-9.399714384,4.69E-274,9.399714384
LOC112052549,histidine-rich glycoprotein-like,LOC112052549,5064.306158,-11.03290237,1.55E-273,11.03290237
LOC112052591,mucin-5AC-like isoform X1,CG17211,8422.185593,5.672119045,1.72E-270,-5.672119045
LOC112046993,larval/pupal cuticle protein H1C-like,LOC112046993,137467.3754,-11.80818639,4.51E-267,11.80818639
LOC112052438,TKX27960.1 cuticular protein RR-2,Cpr50Ca,1793.748631,-5.127883202,8.48E-267,5.127883202
LOC112055730,mediator of DNA damage checkpoint protein 1-like isoform X3,zye,56923.18671,-8.365698176,5.61E-264,8.365698176
LOC112044206,uncharacterized protein LOC112044206 isoform X2,exp,6201.449348,-4.909101651,2.52E-263,4.909101651
LOC112046119,microtubule-associated protein futsch-like,futsch,4014.883371,-3.580774399,2.53E-261,3.580774399
LOC112053661,differentially expressed in FDCP 6-like,LOC112053661,1112.964029,-5.480685905,2.62E-259,5.480685905
LOC112048342,esterase FE4-like,CG10175,1239.426812,-7.559688527,1.02E-257,7.559688527
LOC112055112,decaprenyl-diphosphate synthase subunit 1,qless,4133.881289,-5.809224696,1.43E-256,5.809224696
LOC112042926,glutamine synthetase 2 cytoplasmic-like,Gs2,3343.538411,-4.702566885,2.98E-256,4.702566885
LOC112042857,protein takeout,CG2016,10497.31983,7.486687698,1.76E-252,-7.486687698
LOC112048631,GAS2-like protein pickled eggs,pigs,4258.964742,-2.480638541,1.61E-249,2.480638541
LOC112057758,peroxidase,HPX5,2191.697933,-9.122817222,3.91E-249,9.122817222
LOC112048398,myosin regulatory light chain sqh,sqh,24594.98457,-2.452954347,1.80E-248,2.452954347
LOC112048559,high mobility group protein HMGI-C-like,LOC112048559,14768.7309,2.199227041,3.93E-248,-2.199227041
LOC112050060,fez family zinc finger protein erm-like,sens,981.133684,-6.393076724,3.13E-242,6.393076724
LOC112047846,ileal sodium/bile acid cotransporter-like isoform X1,CG11655,3245.774506,-2.414629542,9.53E-240,2.414629542
LOC112051954,shootin-1-like,LOC112051954,3309.98894,-4.688555772,1.11E-239,4.688555772
LOC112058551,chitin deacetylase 1,serp,73876.69463,-3.760070739,2.45E-239,3.760070739
LOC112050169,nose resistant to fluoxetine protein 6-like,CG17707,1579.27254,-7.446542063,3.11E-237,7.446542063
LOC112049720,tyrosine 3-monooxygenase,Th,11992.07418,-9.857817007,3.71E-236,9.857817007
LOC112056445,transcriptional regulator ovo-like isoform X2,ovo,11403.37207,5.909446041,2.74E-232,-5.909446041
LOC112054554,glycine-rich cell wall structural protein-like,TwdlT,17370.3631,-13.93603065,5.14E-231,13.93603065
LOC112044986,seminal fluid protein CSSFP033,CLIPA10,10876.34922,-10.44326093,1.83E-229,10.44326093
LOC112052060,protein yellow-like,yel-e,2744.610847,-8.816528131,1.09E-228,8.816528131
LOC112047512,CD63 antigen-like isoform X1,Tsp42Ee,11526.84229,-1.627464822,2.41E-224,1.627464822
LOC112048445,UDP-glucuronosyltransferase 2B30-like,Ugt36D1,921.2452746,5.023952897,7.43E-223,-5.023952897
LOC112050296,ABC transporter G family member 23 isoform X1,snu,5126.220046,-4.056619437,7.46E-223,4.056619437
LOC112057899,mucin-5AC isoform X1,Cht6,12210.50079,-4.468562847,7.37E-222,4.468562847
LOC112051013,"glucose dehydrogenase [FAD, quinone]",CG9514,3037.737416,-9.362506118,1.74E-217,9.362506118
LOC112046155,atrophin-1-like isoform X1,LOC112046155,18245.37318,-6.111210698,2.45E-217,6.111210698
LOC112048461,connectin-like,Con,3815.128931,-6.513140857,9.69E-217,6.513140857
LOC112045240,carboxypeptidase B-like,CG3108,10608.25324,7.590620052,2.10E-210,-7.590620052
LOC112055381,teneurin-m isoform X4,Ten-m,13806.74234,-2.041314853,2.89E-209,2.041314853
LOC112051506,OWR48679.1 Secreted protein member of chemokine factor super family,CG15449,8385.167969,-2.598283606,1.63E-207,2.598283606
LOC112052632,skin secretory protein xP2-like,Vajk3,53394.45179,-16.0651103,1.59E-202,16.0651103
LOC112047614,fatty acyl-CoA reductase wat-like,wat,1899.939563,-7.940846796,1.30E-201,7.940846796
LOC112043675,reticulon-3-B isoform X4,Rtnl1,21407.9445,-2.861817229,6.32E-198,2.861817229
LOC112054507,probable serine/threonine-protein kinase DDB_G0282963 isoform X1,Svil-,1450.876161,-3.141183076,1.19E-197,3.141183076
LOC112055826,uncharacterized protein LOC112055826 isoform X3,nw,5967.620879,5.92951849,1.70E-196,-5.92951849
LOC112043738,patched domain-containing protein 3,Ptr,1667.763641,-6.50851325,1.47E-195,6.50851325
LOC112052810,putative fatty acyl-CoA reductase CG5065,CG5065,10791.70628,-12.64391289,2.10E-195,12.64391289
LOC112049905,"uncharacterized protein LOC112049905, partial",LOC112049905,2434.765663,-5.7898156,6.10E-195,5.7898156
LOC112045155,titin isoform X1,LOC112045155,146725.5285,-2.399080348,2.73E-194,2.399080348
LOC112048921,alpha-tocopherol transfer protein-like,CG2663,7614.584722,-10.18139604,1.17E-191,10.18139604
LOC112051649,putative Phosphatidylinositol 3-and 4-kinase,LOC112051649,4056.437213,9.604310527,2.50E-189,-9.604310527
LOC112056101,---NA---,LOC112056101,13158.15625,-13.26407529,3.79E-189,13.26407529
LOC112051976,uncharacterized protein LOC112051976,LOC112051976,603.1408964,-5.562761738,1.62E-186,5.562761738
LOC112052756,"high affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8 isoform X4",Pde8,1272.571032,-4.220514452,1.69E-186,4.220514452
LOC112051403,ecdysone-induced protein 74EF isoform X3,Eip74EF,9759.355736,-3.230651752,6.96E-185,3.230651752
LOC112043300,multidrug resistance-associated protein 4-like isoform X2,CG5789,1393.181991,8.068162358,1.96E-180,-8.068162358
LOC112053130,apyrase-like,CG42249,747.3103256,-6.888657342,2.88E-180,6.888657342
LOC112046887,uncharacterized protein LOC112046887,LOC112046887,6141.995696,-8.102244727,5.09E-180,8.102244727
LOC112055115,transcription factor SPT20 homolog,LOC112055115,5448.177845,-9.73424248,1.78E-179,9.73424248
LOC112051535,A disintegrin and metalloproteinase with thrombospondin motifs 1 isoform X2,sona,10176.20397,-4.554300882,2.99E-178,4.554300882
LOC112056668,"nascent polypeptide-associated complex subunit alpha, muscle-specific form-like isoform X1",LOC112056668,1657.542158,-4.47555474,1.75E-177,4.47555474
LOC112045359,MOXD1 homolog 1-like,CG5235,864.0599175,2.305139807,2.53E-177,-2.305139807
LOC112050355,transmembrane protease serine 9-like,CG11836,1028.953999,-8.3789676,3.20E-176,8.3789676
LOC112046332,alpha-tocopherol transfer protein-like,Cralbp,14064.33154,-11.52707113,2.28E-175,11.52707113
LOC112050022,probable chitinase 2,Cht2,3565.097255,-2.438300453,1.57E-173,2.438300453
LOC112047618,serine-rich adhesin for platelets-like isoform X1,LOC112047618,11359.49465,-8.593071411,2.64E-173,8.593071411
LOC112055566,uncharacterized protein LOC112055566 isoform X1,LOC112055566,2300.655772,-5.07804116,2.77E-173,5.07804116
LOC112058397,phospholipase A2 like protein,LOC112058397,5664.442133,-12.14096085,8.21E-172,12.14096085
LOC112048355,thioredoxin domain-containing protein 3 homolog isoform X1,LOC112048355,12823.72649,-10.06568322,1.46E-170,10.06568322
LOC112049937,"glucose dehydrogenase [FAD, quinone]",CG9518,849.4587098,-6.790238657,9.11E-170,6.790238657
LOC112051145,scavenger receptor class B member 1,SCRB3,1120.240028,-8.768875584,8.76E-167,8.768875584
LOC112043832,jupiter microtubule associated homolog 1-like isoform X2,CG1943,12358.24351,1.843466322,1.50E-166,-1.843466322
LOC112054537,putative cuticle protein CPR149,CG1136,468.0231703,-5.140625853,4.93E-164,5.140625853
LOC112048341,esterase FE4-like,CG10175,592.8143373,-7.506018761,5.34E-163,7.506018761
LOC112057310,cuticle protein 16.5-like,LOC112057310,11642.99248,-13.47843765,1.09E-161,13.47843765
LOC112043847,transcription factor SOX-11 isoform X1,CG32694,21607.84134,-9.73364041,1.43E-161,9.73364041
LOC112053312,scavenger receptor class B member 1-like,SCRB6,4107.681524,-4.722557507,3.16E-161,4.722557507
LOC112048759,uncharacterized LOC106124634 precursor,CG31997,50362.97669,-10.25295294,3.83E-160,10.25295294
LOC112051076,KPJ09368.1 putative phosphoenolpyruvate synthase,LOC112051076,1504.031765,-6.953319198,4.65E-160,6.953319198
LOC112056193,heme peroxidase 2,DBLOX,2044.236908,-7.682849484,4.11E-159,7.682849484
LOC112043433,probable E3 ubiquitin-protein ligase sinah isoform X2,LOC112043433,822.0607314,-3.178749556,7.94E-157,3.178749556
LOC112045643,interleukin-1 receptor accessory protein-like,LOC112045643,4990.524538,2.628032956,1.29E-155,-2.628032956
LOC112058339,plasma membrane calcium-transporting ATPase 2 isoform X1,PMCA,6571.441043,-1.560385064,1.32E-150,1.560385064
LOC112049651,multidrug resistance protein homolog 49-like,Mdr49,1857.05454,5.888607938,5.39E-150,-5.888607938
LOC112043917,formin-like protein 6 isoform X1,capu,1198.135294,2.0959045,5.63E-150,-2.0959045
LOC112051806,glutamine synthetase 2 cytoplasmic,Gs2,11048.20187,-4.717129207,6.25E-150,4.717129207
LOC112058354,unc-112-related protein-like,Fit1,5379.351279,-1.357573402,6.31E-149,1.357573402
LOC112054280,skin secretory protein xP2-like,Cpr97Ea,1989.285676,-7.592900164,3.85E-148,7.592900164
LOC112051791,laccase-2-like,stw,3410.655226,-7.941480248,3.31E-147,7.941480248
LOC112047875,la-related protein 6,Achl,58270.43817,-11.10101137,1.69E-146,11.10101137
LOC112056243,larval/pupal cuticle protein H1C-like,LOC112056243,5498.932794,-11.95222952,4.52E-146,11.95222952
