Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112043690,THUMP domain-containing protein 1 homolog,CG15014,2986.786117,-2.491363627,2.37E-47,2.491363627
LOC112050391,protein lethal(2)essential for life-like,l(2)efl,483.3880998,4.307547805,6.31E-29,-4.307547805
LOC112048342,esterase FE4-like,CG10175,3316.957905,-1.352279811,4.21E-25,1.352279811
LOC112054335,tubulin alpha-1A chain,alphaTub84B,14654.72205,1.150228299,7.52E-25,-1.150228299
LOC112048360,protein lethal(2)essential for life-like,l(2)efl,408.6226697,3.987231795,2.12E-24,-3.987231795
LOC112050392,protein lethal(2)essential for life-like,l(2)efl,1484.993561,3.626787962,2.12E-24,-3.626787962
LOC112050729,two pore calcium channel protein 1-like isoform X3,LOC112050729,396.9040276,2.163489034,2.74E-22,-2.163489034
LOC112047434,ATP-dependent RNA helicase p62,Rm62,11800.62929,1.250440773,9.28E-22,-1.250440773
LOC112054545,endocuticle structural glycoprotein ABD-5-like,Lcp65Ad,1299.264505,-2.327420675,2.98E-20,2.327420675
LOC112058308,"L-threonine 3-dehydrogenase, mitochondrial",CG5955,71.57357498,3.295237792,1.18E-18,-3.295237792
LOC112051976,uncharacterized protein LOC112051976,LOC112051976,626.2673417,1.284253698,2.19E-18,-1.284253698
LOC112058572,protein timeless,tim,1401.92849,1.223289409,5.19E-17,-1.223289409
LOC112053480,protein yippee-like 5,Yippee,499.7262245,0.820520157,8.23E-16,-0.820520157
LOC112055574,tyrosine-protein phosphatase non-receptor type 23,mop,1907.537792,-0.743311931,1.56E-15,0.743311931
LOC112045263,enhancer of split malpha protein-like,Ocho,1721.895123,0.749211069,1.82E-15,-0.749211069
LOC112047022,facilitated trehalose transporter Tret1-like,CG6484,426.4677306,3.115200156,5.45E-15,-3.115200156
LOC112047665,zinc finger SWIM domain-containing protein 4-like,CG34401,748.2097993,-0.78901374,1.12E-14,0.78901374
LOC112058370,beclin-1-like protein A,LOC112058370,102.6755722,2.118882247,2.05E-14,-2.118882247
LOC112044346,protein UBASH3A homolog isoform X1,CG13604,1182.181133,-0.832938267,3.34E-14,0.832938267
LOC112045264,enhancer of split mbeta protein-like,HLHmgamma,1140.481404,1.020102945,3.92E-14,-1.020102945
LOC112043916,NA,NA,547.0625374,0.803337351,5.47E-14,-0.803337351
LOC112049322,laminin subunit alpha-2-like,trol-,480.0917095,-0.838027007,8.90E-14,0.838027007
LOC112053746,phytanoyl-CoA dioxygenase domain-containing protein 1,CG14688,797.0774228,-1.849654262,9.18E-14,1.849654262
LOC112044105,THAP domain-containing protein 2-like,MBD-R2,161.8648247,1.356352917,9.37E-14,-1.356352917
LOC112048457,mitochondrial genome maintenance exonuclease 1-like,LOC112048457,1119.314211,-0.736319922,1.89E-13,0.736319922
LOC112052780,"probable methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",Mccc2,326.5029082,-1.528606563,5.53E-13,1.528606563
LOC112044154,bacilysin biosynthesis oxidoreductase BacC-like,CG31548,425.8289409,0.908987324,7.57E-13,-0.908987324
