Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112042807,protein takeout-like,CG10407,24100.05856,10.74411659,0,-10.74411659
LOC112042900,Neuronal pentraxin-2,b6,12316.1006,8.425818176,0,-8.425818176
LOC112042904,uncharacterized protein LOC112042904,LOC112042904,3349.765402,3.340303041,0,-3.340303041
LOC112042915,alpha-tocopherol transfer protein-like,Cralbp,14201.24032,12.08356865,0,-12.08356865
LOC112043038,serine protease P54,CG7432,5121.59515,-8.042665565,0,8.042665565
LOC112043295,uncharacterized protein LOC112043295,LOC112043295,28942.77275,-10.28376215,0,10.28376215
LOC112043682,myosin-2 essential light chain isoform X1,Mlc-c,73778.5542,4.424178365,0,-4.424178365
LOC112043738,patched domain-containing protein 3,Ptr,1702.791062,6.277476942,0,-6.277476942
LOC112043832,jupiter microtubule associated homolog 1-like isoform X2,CG1943,17803.37131,-2.488617699,0,2.488617699
LOC112044206,uncharacterized protein LOC112044206 isoform X2,exp,6347.231481,6.206926783,0,-6.206926783
LOC112044333,venom carboxylesterase-6,CG10175,9209.908362,8.611725696,0,-8.611725696
LOC112044991,cuticle protein 16.5-like,LOC112044991,21140.20969,9.679691259,0,-9.679691259
LOC112045155,titin isoform X1,LOC112045155,133417.7371,5.675359822,0,-5.675359822
LOC112045359,MOXD1 homolog 1-like,CG5235,3704.039939,-4.569473371,0,4.569473371
LOC112045452,cell division cycle protein 20 homolog,fzy,2121.59536,-4.872272482,0,4.872272482
LOC112046049,neurotactin,Nrt,3064.942032,-4.306604229,0,4.306604229
LOC112046058,centromere protein F,LOC112046058,4217.646484,-4.793409548,0,4.793409548
LOC112046155,atrophin-1-like isoform X1,LOC112046155,19419.87092,9.942522978,0,-9.942522978
LOC112046512,putative K06A9.1b,LOC112046512,45715.47165,15.0373615,0,-15.0373615
LOC112046887,uncharacterized protein LOC112046887,LOC112046887,6272.077223,5.636774849,0,-5.636774849
LOC112046992,uncharacterized protein LOC112046992,LOC112046992,101284.1117,14.06437959,0,-14.06437959
LOC112046993,larval/pupal cuticle protein H1C-like,LOC112046993,151509.8213,13.07902954,0,-13.07902954
LOC112047582,uncharacterized protein LOC112047582,CG14636,7212.027995,5.40026474,0,-5.40026474
LOC112047750,structural maintenance of chromosomes protein 2,SMC2,2421.392772,-4.396470924,0,4.396470924
LOC112047818,larval cuticle protein LCP-17-like,Cpr49Aa,250738.2101,15.50292615,0,-15.50292615
LOC112047875,la-related protein 6,Achl,60942.09435,11.08565997,0,-11.08565997
LOC112047998,uncharacterized protein LOC112047998,CG17786,12340.00999,4.25657218,0,-4.25657218
LOC112048072,probable chitinase 10,Cht7,16672.15737,5.573647503,0,-5.573647503
LOC112048323,pupal cuticle protein C1B-like,LOC112048323,232580.8715,13.26160566,0,-13.26160566
LOC112048631,GAS2-like protein pickled eggs,pigs,3981.047125,4.995371443,0,-4.995371443
LOC112048759,uncharacterized LOC106124634 precursor,CG31997,51949.00313,8.337285936,0,-8.337285936
LOC112049064,targeting protein for Xklp2-like,Hrs,3121.446851,-5.746352653,0,5.746352653
LOC112049146,NA,NA,23412.68991,-8.144421807,0,8.144421807
LOC112049203,endocuticle structural glycoprotein SgAbd-8-like,Cpr49Aa,51042.91836,13.96442157,0,-13.96442157
LOC112049284,larval cuticle protein LCP-17-like,Cpr49Aa,62072.7155,11.4454302,0,-11.4454302
LOC112049403,kinesin-like protein KIF20B,kinesin-A,3165.988125,-4.092249372,0,4.092249372
LOC112049503,tropomyosin-2 isoform X12,Tm1,165302.9908,4.212852431,0,-4.212852431
LOC112049537,protein abnormal spindle,asp,3481.554832,-5.438460606,0,5.438460606
LOC112049614,endocuticle structural glycoprotein SgAbd-8-like,Cpr49Ah,173598.8158,14.53440996,0,-14.53440996
LOC112049779,endocuticle structural glycoprotein SgAbd-2-like,CPR32,64395.67464,11.27470701,0,-11.27470701
LOC112049999,citron Rho-interacting kinase-like,LOC112049999,2898.947911,-4.705526912,0,4.705526912
LOC112050065,skin secretory protein xP2-like,LOC112050065,41103.2772,11.56240202,0,-11.56240202
LOC112051226,ras-responsive element-binding protein 1,peb,5020.510453,-6.39828851,0,6.39828851
LOC112051359,prisilkin-39-like,LOC112051359,14976.16834,11.88060987,0,-11.88060987
LOC112051648,gametogenetin isoform X1,Msr-110,43054.18757,2.88076534,0,-2.88076534
LOC112051777,uncharacterized protein LOC112051777,tyn,10708.6045,-10.16544106,0,10.16544106
LOC112051954,shootin-1-like,LOC112051954,3645.409586,4.296399907,0,-4.296399907
LOC112052382,lutropin-choriogonadotropic hormone receptor-like,rk,4806.875518,3.733390085,0,-3.733390085
LOC112052601,Kielin/chordin-like protein,CG31869,41052.86167,-5.495715571,0,5.495715571
LOC112052632,skin secretory protein xP2-like,Vajk3,58184.77053,9.858156749,0,-9.858156749
LOC112052706,uncharacterized protein LOC112052706,LOC112052706,3348.421764,-5.277457889,0,5.277457889
LOC112052777,versican core protein,tnc,85794.01225,-9.980525939,0,9.980525939
LOC112053106,protein claret segregational,kinesin-14,4162.972732,-7.072020133,0,7.072020133
LOC112053886,titin isoform X4,CG34417,329248.957,5.171600922,0,-5.171600922
LOC112054167,alpha-tocopherol transfer protein-like,CG3823,3815.188222,10.14934481,0,-10.14934481
LOC112054416,protein PF14_0175-like,tacc,2031.719462,-5.162798898,0,5.162798898
LOC112054561,apolipoprotein D-like,GLaz,1169714.495,-11.05269256,0,11.05269256
LOC112054991,protein regulator of cytokinesis 1-like,feo,4160.322405,-4.510795387,0,4.510795387
LOC112055327,protein obstructor-E isoform X2,Gasp,111148.9138,5.783797999,0,-5.783797999
LOC112055330,protein obstructor-E,Cpap3-d1,5500.598476,11.11916216,0,-11.11916216
LOC112055423,alpha-tocopherol transfer protein-like,CG3823,2977.315387,5.469226425,0,-5.469226425
LOC112055730,mediator of DNA damage checkpoint protein 1-like isoform X3,zye,62133.50761,9.383874775,0,-9.383874775
LOC112055826,uncharacterized protein LOC112055826 isoform X3,nw,56558.25243,-9.084855043,0,9.084855043
LOC112056099,glycine-rich protein 3-like,LOC112056099,26477.60273,12.385869,0,-12.385869
LOC112056414,tubulin alpha chain,alphaTub84B,605679.3965,3.205084407,0,-3.205084407
LOC112058174,cuticle protein 8-like,CG34461,455902.8209,13.84073246,0,-13.84073246
