Wr60,PP50,P15,P50
LOC112042868,LOC112043077,LOC112042899,LOC112043005
LOC112042909,LOC112043084,LOC112042928,LOC112043291
LOC112042958,LOC112043315,LOC112043153,LOC112043503
LOC112043030,LOC112043321,LOC112043172,LOC112043775
LOC112043155,LOC112043668,LOC112043179,LOC112044212
LOC112043172,LOC112043731,LOC112043215,LOC112044309
LOC112043179,LOC112043754,LOC112043226,LOC112044436
LOC112043199,LOC112043778,LOC112043236,LOC112044442
LOC112043281,LOC112043865,LOC112043400,LOC112044891
LOC112043301,LOC112043899,LOC112043416,LOC112044953
LOC112043316,LOC112043989,LOC112043429,LOC112045096
LOC112043327,LOC112044000,LOC112043476,LOC112045291
LOC112043330,LOC112044033,LOC112043492,LOC112045800
LOC112043348,LOC112044047,LOC112043503,LOC112045883
LOC112043376,LOC112044323,LOC112043567,LOC112045951
LOC112043411,LOC112044363,LOC112043780,LOC112046118
LOC112043412,LOC112044395,LOC112043873,LOC112046256
LOC112043414,LOC112044443,LOC112043929,LOC112046738
LOC112043634,LOC112044452,LOC112044088,LOC112046973
LOC112043719,LOC112044534,LOC112044305,LOC112047371
LOC112043830,LOC112044836,LOC112044353,LOC112048090
LOC112043860,LOC112044854,LOC112044372,LOC112048368
LOC112043998,LOC112044887,LOC112044590,LOC112048412
LOC112044083,LOC112045183,LOC112044609,LOC112048788
LOC112044305,LOC112045794,LOC112044635,LOC112048884
LOC112044323,LOC112045807,LOC112044637,LOC112049096
LOC112044358,LOC112045815,LOC112044701,LOC112049708
LOC112044372,LOC112045934,LOC112044836,LOC112049860
LOC112044401,LOC112045949,LOC112044939,LOC112049962
LOC112044461,LOC112046068,LOC112045004,LOC112050144
LOC112044474,LOC112046102,LOC112045007,LOC112050526
LOC112044520,LOC112046149,LOC112045108,LOC112050692
LOC112044532,LOC112046272,LOC112045183,LOC112050923
LOC112044596,LOC112046382,LOC112045251,LOC112051018
LOC112044661,LOC112046502,LOC112045455,LOC112051225
LOC112044663,LOC112046531,LOC112045508,LOC112051460
LOC112044723,LOC112046572,LOC112045593,LOC112052563
LOC112044745,LOC112046787,LOC112045634,LOC112052615
LOC112044769,LOC112046814,LOC112045663,LOC112052647
LOC112044825,LOC112046868,LOC112045691,LOC112052881
LOC112044826,LOC112046980,LOC112045697,LOC112053066
LOC112044835,LOC112047001,LOC112045902,LOC112053280
LOC112044841,LOC112047091,LOC112045975,LOC112053285
LOC112044919,LOC112047254,LOC112046015,LOC112053466
LOC112044961,LOC112047285,LOC112046025,LOC112054096
LOC112045069,LOC112047329,LOC112046056,LOC112054157
LOC112045095,LOC112047365,LOC112046065,LOC112054543
LOC112045161,LOC112047510,LOC112046119,LOC112054623
LOC112045313,LOC112047638,LOC112046164,LOC112054820
LOC112045324,LOC112047876,LOC112046216,LOC112054950
LOC112045338,LOC112047932,LOC112046431,LOC112055014
LOC112045368,LOC112048035,LOC112046474,LOC112055525
LOC112045369,LOC112048084,LOC112046488,LOC112055679
LOC112045394,LOC112048087,LOC112046819,LOC112056029
LOC112045452,LOC112048147,LOC112046876,LOC112056197
LOC112045494,LOC112048165,LOC112046889,LOC112056233
LOC112045586,LOC112048603,LOC112046947,LOC112056349
LOC112045716,LOC112048757,LOC112047070,LOC112056907
LOC112045775,LOC112049117,LOC112047118,LOC112057018
LOC112045800,LOC112049313,LOC112047119,LOC112058021
LOC112045812,LOC112049403,LOC112047138,LOC112058141
LOC112045815,LOC112049538,LOC112047183,LOC112058386
LOC112045825,LOC112049547,LOC112047220,LOC112058430
LOC112045924,LOC112049660,LOC112047327,LOC112058511
LOC112045970,LOC112049721,LOC112047365,LOC112058619
LOC112045994,LOC112049958,LOC112047640,
LOC112046025,LOC112049962,LOC112047714,
LOC112046041,LOC112050114,LOC112047762,
LOC112046066,LOC112050193,LOC112047852,
LOC112046139,LOC112050289,LOC112047935,
LOC112046146,LOC112050299,LOC112047974,
LOC112046202,LOC112050370,LOC112047997,
LOC112046222,LOC112050593,LOC112048015,
LOC112046256,LOC112050721,LOC112048218,
LOC112046430,LOC112050835,LOC112048225,
LOC112046460,LOC112050906,LOC112048397,
LOC112046504,LOC112051054,LOC112048699,
LOC112046572,LOC112051068,LOC112048710,
LOC112046623,LOC112051196,LOC112048882,
LOC112046664,LOC112051232,LOC112048962,
LOC112046685,LOC112051237,LOC112049053,
LOC112046697,LOC112051307,LOC112049064,
LOC112046722,LOC112051331,LOC112049356,
LOC112046723,LOC112051366,LOC112049366,
LOC112046814,LOC112051462,LOC112049403,
LOC112046817,LOC112051526,LOC112049480,
LOC112046822,LOC112051579,LOC112049632,
LOC112046868,LOC112052112,LOC112049958,
LOC112046878,LOC112052201,LOC112049996,
LOC112046904,LOC112052271,LOC112050076,
LOC112046931,LOC112052374,LOC112050082,
LOC112046947,LOC112052397,LOC112050123,
LOC112047056,LOC112052404,LOC112050143,
LOC112047091,LOC112052442,LOC112050179,
LOC112047152,LOC112052563,LOC112050193,
LOC112047161,LOC112052798,LOC112050284,
LOC112047223,LOC112053153,LOC112050297,
LOC112047328,LOC112053208,LOC112050299,
LOC112047355,LOC112053453,LOC112050363,
LOC112047371,LOC112053740,LOC112050396,
LOC112047433,LOC112053741,LOC112050485,
LOC112047440,LOC112053783,LOC112050513,
LOC112047492,LOC112053859,LOC112050559,
LOC112047579,LOC112053992,LOC112050692,
LOC112047611,LOC112054182,LOC112050732,
LOC112047612,LOC112054183,LOC112050757,
LOC112047634,LOC112054185,LOC112050835,
LOC112047678,LOC112054291,LOC112050845,
LOC112047751,LOC112054325,LOC112050847,
LOC112047767,LOC112054334,LOC112050881,
LOC112047784,LOC112054357,LOC112050942,
LOC112047932,LOC112054510,LOC112050948,
LOC112047981,LOC112054862,LOC112050954,
LOC112048134,LOC112054893,LOC112051014,
LOC112048135,LOC112055153,LOC112051034,
LOC112048165,LOC112055340,LOC112051067,
LOC112048173,LOC112055574,LOC112051108,
LOC112048215,LOC112055631,LOC112051174,
LOC112048606,LOC112055705,LOC112051225,
LOC112048672,LOC112055706,LOC112051355,
LOC112048695,LOC112056190,LOC112051419,
LOC112048797,LOC112056215,LOC112051439,
LOC112048818,LOC112056257,LOC112051448,
LOC112048884,LOC112056416,LOC112051721,
LOC112049107,LOC112056457,LOC112051748,
LOC112049144,LOC112056603,LOC112051815,
LOC112049145,LOC112057883,LOC112051817,
LOC112049176,LOC112058067,LOC112051880,
LOC112049278,LOC112058430,LOC112052039,
LOC112049294,LOC112058446,LOC112052079,
LOC112049304,,LOC112052236,
LOC112049355,,LOC112052397,
LOC112049406,,LOC112052483,
LOC112049508,,LOC112052563,
LOC112049520,,LOC112052655,
LOC112049547,,LOC112052787,
LOC112049558,,LOC112052921,
LOC112049566,,LOC112053008,
LOC112049618,,LOC112053080,
LOC112049637,,LOC112053106,
LOC112049701,,LOC112053200,
LOC112049717,,LOC112053365,
LOC112049927,,LOC112053393,
LOC112049993,,LOC112053597,
LOC112050009,,LOC112053664,
LOC112050028,,LOC112053840,
LOC112050044,,LOC112053871,
LOC112050049,,LOC112053876,
LOC112050151,,LOC112054027,
LOC112050217,,LOC112054063,
LOC112050384,,LOC112054174,
LOC112050534,,LOC112054219,
LOC112050575,,LOC112054236,
LOC112050597,,LOC112054363,
LOC112050695,,LOC112054432,
LOC112050704,,LOC112054696,
LOC112050723,,LOC112054868,
LOC112050735,,LOC112054930,
LOC112050739,,LOC112054936,
LOC112050798,,LOC112054949,
LOC112050840,,LOC112055004,
LOC112050847,,LOC112055014,
LOC112050879,,LOC112055175,
LOC112050886,,LOC112055316,
LOC112050902,,LOC112055340,
LOC112050906,,LOC112055438,
LOC112050999,,LOC112055668,
LOC112051119,,LOC112055972,
LOC112051191,,LOC112055981,
LOC112051221,,LOC112056507,
LOC112051230,,LOC112056583,
LOC112051272,,LOC112056742,
LOC112051279,,LOC112056836,
LOC112051354,,LOC112056837,
LOC112051427,,LOC112056937,
LOC112051496,,LOC112057694,
LOC112051526,,LOC112057709,
LOC112051683,,LOC112057881,
LOC112051710,,LOC112058007,
LOC112051735,,LOC112058058,
LOC112051868,,LOC112058093,
LOC112052029,,LOC112058156,
LOC112052090,,LOC112058170,
LOC112052124,,LOC112058236,
LOC112052189,,LOC112058255,
