Chr	start	end	width	meanMeth1	meanMeth2	diffMeth	areaStat	annotation	geneId	transcriptId	distanceToTSS	Sample
NW_019863520.1	21818	22041	224	0.286039685	0.616737651	-0.330697966	-15.58429797	3'UTR	LOC112055417	XM_024095510.1	1704	W60_vs_D60_5mC_DMR
NW_019862848.1	316287	316512	226	0.458337337	0.779680339	-0.321343002	-55.28837169	3'UTR	LOC112046109	XM_024082610.1	872	W60_vs_D60_5mC_DMR
NW_019863039.1	117204	117677	474	0.471225029	0.781678008	-0.310452979	-18.30735654	3'UTR	LOC112050704	XM_024089030.1	1427	W60_vs_D60_5mC_DMR
NW_019862884.1	329898	330022	125	0.367392197	0.670287991	-0.302895794	-39.54175655	3'UTR	LOC112047206	XM_024084233.1	1919	W60_vs_D60_5mC_DMR
NW_019862768.1	1839591	1840054	464	0.287145534	0.588945789	-0.301800254	-41.15234239	3'UTR	LOC112057906	XM_024098515.1	16156	W60_vs_D60_5mC_DMR
NW_019862841.1	693883	694030	148	0.449981521	0.72408598	-0.274104459	-17.00372453	3'UTR	LOC112045806	XM_024082150.1	5326	W60_vs_D60_5mC_DMR
NW_019862795.1	309234	309447	214	0.45964975	0.733535465	-0.273885715	-17.59064585	3'UTR	LOC112043706	XM_024079228.1	1778	W60_vs_D60_5mC_DMR
NW_019862753.1	1326525	1326739	215	0.525083532	0.795701026	-0.270617494	-11.65612998	3'UTR	LOC112047046	XM_024083959.1	2048	W60_vs_D60_5mC_DMR
NW_019863087.1	74293	75115	823	0.509240144	0.778532239	-0.269292095	-72.28791824	3'UTR	LOC112051524	XM_024090210.1	1122	W60_vs_D60_5mC_DMR
NW_019863264.1	133697	133784	88	0.334818287	0.600996265	-0.266177978	-9.343944123	3'UTR	LOC112053634	XM_024093113.1	8970	W60_vs_D60_5mC_DMR
NW_019863963.1	32061	32103	43	0.439933539	0.697943108	-0.25800957	-11.12252754	3'UTR	LOC112056735	XM_024097212.1	2398	W60_vs_D60_5mC_DMR
NW_019863299.1	84421	84539	119	0.365716942	0.613427071	-0.247710129	-19.82697185	3'UTR	LOC112053966	XM_024093599.1	1991	W60_vs_D60_5mC_DMR
