GeneID,chr,strand,SplicingType,FDR,delta_PSI,start,end,SID
LOC112050976,NW_019863054.1,-,SE,0.024923142,-0.035,55060,55308,NW_019863054.1_55060_55308
LOC112052201,NW_019863133.1,-,SE,7.37E-05,-0.075,164445,164721,NW_019863133.1_164445_164721
LOC112046662,NW_019862866.1,+,SE,0.000551631,-0.234,273820,274116,NW_019862866.1_273820_274116
LOC112051285,NW_019863072.1,+,SE,0.034806836,-0.159,142440,142900,NW_019863072.1_142440_142900
LOC112051285,NW_019863072.1,+,SE,0.015499432,0.017,191663,191950,NW_019863072.1_191663_191950
LOC112043606,NW_019862793.1,-,SE,5.11E-05,0.158,89271,89642,NW_019862793.1_89271_89642
LOC112043605,NW_019862793.1,+,SE,2.72E-06,-0.139,72653,72943,NW_019862793.1_72653_72943
LOC112051279,NW_019863071.1,-,SE,0.029915383,-0.034,177081,177376,NW_019863071.1_177081_177376
LOC112053753,NW_019863278.1,+,SE,2.84E-12,-0.113,114739,115020,NW_019863278.1_114739_115020
LOC112051879,NW_019863109.1,-,SE,0.000185015,0.261,251682,251990,NW_019863109.1_251682_251990
LOC112051879,NW_019863109.1,-,SE,2.81E-05,0.355,251682,252002,NW_019863109.1_251682_252002
LOC112051879,NW_019863109.1,-,SE,0.019554552,-0.018,273788,274135,NW_019863109.1_273788_274135
LOC112048194,NW_019862920.1,+,SE,0,0.171,586667,587074,NW_019862920.1_586667_587074
LOC112048194,NW_019862920.1,+,SE,1.02E-09,0.222,586667,587074,NW_019862920.1_586667_587074
LOC112048194,NW_019862920.1,+,SE,0,-0.106,587385,589589,NW_019862920.1_587385_589589
LOC112043601,NW_019862793.1,+,SE,0.012189155,0.127,1193710,1194106,NW_019862793.1_1193710_1194106
LOC112046464,NW_019862858.1,+,SE,0.000804202,-0.297,802215,802487,NW_019862858.1_802215_802487
LOC112046292,NW_019862853.1,+,SE,3.02E-08,0.092,828820,829242,NW_019862853.1_828820_829242
LOC112050825,NW_019863045.1,+,SE,0.003859283,0.039,380356,380638,NW_019863045.1_380356_380638
LOC112056185,NW_019863730.1,+,SE,0,0.045,48740,49144,NW_019863730.1_48740_49144
LOC112058428,NW_019862776.1,-,SE,2.50E-08,0.526,1067666,1067908,NW_019862776.1_1067666_1067908
LOC112058428,NW_019862776.1,-,SE,3.31E-05,0.081,1076732,1077049,NW_019862776.1_1076732_1077049
LOC112058428,NW_019862776.1,-,SE,2.49E-05,0.054,1076732,1077049,NW_019862776.1_1076732_1077049
LOC112058428,NW_019862776.1,-,SE,1.23E-05,0.093,1076741,1077049,NW_019862776.1_1076741_1077049
LOC112058428,NW_019862776.1,-,SE,2.03E-05,0.056,1076741,1077049,NW_019862776.1_1076741_1077049
LOC112054078,NW_019863315.1,-,SE,7.49E-06,-0.206,144195,144467,NW_019863315.1_144195_144467
LOC112050367,NW_019862748.1,+,SE,2.21E-07,0.04,3442758,3443092,NW_019862748.1_3442758_3443092
LOC112050002,NW_019862748.1,+,SE,6.42E-06,-0.397,3393206,3393511,NW_019862748.1_3393206_3393511
LOC112046720,NW_019862748.1,+,SE,0,0.325,1902478,1902753,NW_019862748.1_1902478_1902753
LOC112046053,NW_019862748.1,-,SE,0.00025646,-0.025,1643072,1643379,NW_019862748.1_1643072_1643379
LOC112046466,NW_019862858.1,+,SE,0.049029304,0.069,691635,691922,NW_019862858.1_691635_691922
LOC112054469,NW_019863361.1,-,SE,4.98E-06,0.173,135325,135602,NW_019863361.1_135325_135602
LOC112052145,NW_019863130.1,-,SE,4.76E-13,0.154,131052,131393,NW_019863130.1_131052_131393
LOC112042896,NW_019862749.1,-,SE,9.27E-12,-0.039,2199971,2200196,NW_019862749.1_2199971_2200196
LOC112051118,NW_019862757.1,-,SE,0.002409701,0.083,1541784,1542041,NW_019862757.1_1541784_1542041
LOC112045704,NW_019862838.1,+,SE,0.035476953,-0.039,612889,613280,NW_019862838.1_612889_613280
LOC112051020,NW_019863057.1,-,SE,1.08E-06,0.619,141037,141289,NW_019863057.1_141037_141289
LOC112044806,NW_019862817.1,-,SE,0.041098889,0.033,148618,148915,NW_019862817.1_148618_148915
LOC112051535,NW_019863088.1,+,SE,0.001523767,0.011,360374,361283,NW_019863088.1_360374_361283
LOC112046844,NW_019862873.1,+,SE,2.68E-05,-0.069,181144,181540,NW_019862873.1_181144_181540
LOC112052394,NW_019863145.1,+,SE,0.041271287,-0.076,15070,15372,NW_019863145.1_15070_15372
LOC112058377,NW_019862775.1,-,SE,0.00083011,0.051,1671328,1671623,NW_019862775.1_1671328_1671623
LOC112051948,NW_019863114.1,-,SE,0,0.196,182507,182752,NW_019863114.1_182507_182752
LOC112046415,NW_019862857.1,-,SE,1.02E-08,0.099,568310,568645,NW_019862857.1_568310_568645
LOC112046415,NW_019862857.1,-,SE,1.54E-07,0.137,568310,568654,NW_019862857.1_568310_568654
LOC112045305,NW_019862828.1,+,SE,6.40E-10,0.048,718383,718667,NW_019862828.1_718383_718667
LOC112045305,NW_019862828.1,+,SE,0,-0.024,795846,796079,NW_019862828.1_795846_796079
LOC112045305,NW_019862828.1,+,SE,0.001504354,-0.339,795846,796079,NW_019862828.1_795846_796079
