Chr	start	end	width	meanMeth1	meanMeth2	diffMeth	areaStat	annotation	geneId	transcriptId	distanceToTSS	Sample
NW_019863090.1	92326	92816	491	0.31880567	0.660715737	-0.341910067	-61.94916629	3'UTR	LOC112051621	XR_002887246.1	-5029	WP_vs_DP_5mC_DMR
NW_019863290.1	193161	193740	580	0.251764061	0.584629917	-0.332865856	-12.42197874	3'UTR	LOC112053861	XM_024093449.1	3285	WP_vs_DP_5mC_DMR
NW_019862880.1	317313	317351	39	0.071098678	0.373903667	-0.302804989	-9.959883808	3'UTR	LOC112047001	XM_024083884.1	-8254	WP_vs_DP_5mC_DMR
NW_019863068.1	292630	293106	477	0.184108782	0.466505447	-0.282396665	-17.10619018	3'UTR	LOC112051205	XM_024089744.1	-2698	WP_vs_DP_5mC_DMR
NW_019863835.1	26156	26595	440	0.238511346	0.497354908	-0.258843561	-100.2149132	3'UTR	LOC112056474	XM_024096910.1	2759	WP_vs_DP_5mC_DMR
NW_019862904.1	1285632	1285960	329	0.309814291	0.567222475	-0.257408184	-32.73888009	3'UTR	LOC112047798	XM_024085041.1	3394	WP_vs_DP_5mC_DMR
NW_019862778.1	1254237	1254510	274	0.131798368	0.387261117	-0.255462749	-28.37361424	3'UTR	LOC112058562	XM_024099468.1	2835	WP_vs_DP_5mC_DMR
NW_019862757.1	498531	500565	2035	0.029379869	0.273957817	-0.244577949	-9.573722809	3'UTR	LOC112051017	XM_024089480.1	13694	WP_vs_DP_5mC_DMR
NW_019862762.1	1047924	1048215	292	0.098778319	0.329522016	-0.230743697	-21.57135072	3'UTR	LOC112055577	XM_024095760.1	6884	WP_vs_DP_5mC_DMR
NW_019862806.1	35822	35857	36	0.375490095	0.604976736	-0.22948664	-20.02425545	3'UTR	LOC112044282	XM_024080082.1	1590	WP_vs_DP_5mC_DMR
NW_019863172.1	217537	217789	253	0.20752514	0.429483516	-0.221958377	-47.56778542	3'UTR	LOC112052744	XM_024091936.1	4271	WP_vs_DP_5mC_DMR
NW_019863094.1	240270	240405	136	0.098989216	0.305912059	-0.206922843	-10.04357089	3'UTR	LOC112051654	XM_024090381.1	10574	WP_vs_DP_5mC_DMR
NW_019863155.1	70385	70558	174	0.124382165	0.307838171	-0.183456007	-10.71287034	3'UTR	LOC112052539	XM_024091663.1	2486	WP_vs_DP_5mC_DMR
NW_019862874.1	169819	169840	22	0.257290926	0.437928264	-0.180637338	-10.15370759	3'UTR	LOC112046878	XM_024083706.1	4721	WP_vs_DP_5mC_DMR
NW_019863088.1	150511	150583	73	0.244581462	0.386625103	-0.142043641	-15.59388283	3'UTR	LOC112051540	XM_024090229.1	15278	WP_vs_DP_5mC_DMR
NW_019863249.1	129651	130378	728	0.367964362	0.222514842	0.14544952	9.854464207	3'UTR	LOC112053519	XM_024092958.1	2788	WP_vs_DP_5mC_DMR
NW_019863964.1	14531	14596	66	0.358573288	0.202785086	0.155788203	26.6177518	3'UTR	LOC112056743	XM_024097219.1	5843	WP_vs_DP_5mC_DMR
NW_019863352.1	130427	130494	68	0.63439004	0.46395036	0.17043968	31.85920503	3'UTR	LOC112054375	XM_024094146.1	4566	WP_vs_DP_5mC_DMR
NW_019862768.1	1258304	1258526	223	0.756920285	0.581852592	0.175067694	78.16608757	3'UTR	LOC112057890	XM_024098479.1	19492	WP_vs_DP_5mC_DMR
NW_019862843.1	953388	953428	41	0.633655734	0.45813898	0.175516755	20.65344897	3'UTR	LOC112045899	XM_024082281.1	2811	WP_vs_DP_5mC_DMR
NW_019862760.1	516651	516724	74	0.6997332	0.521313877	0.178419323	30.17767251	3'UTR	LOC112053738	XM_024093273.1	4083	WP_vs_DP_5mC_DMR
NW_019862862.1	818691	818873	183	0.438866363	0.255964452	0.182901911	17.61121992	3'UTR	LOC112046572	XM_024083257.1	-3561	WP_vs_DP_5mC_DMR
NW_019863088.1	130573	130935	363	0.683638472	0.491891268	0.191747204	51.4795937	3'UTR	LOC112051543	XM_024090232.1	1989	WP_vs_DP_5mC_DMR
NW_019862998.1	297606	297695	90	0.544837276	0.347801261	0.197036015	11.15414145	3'UTR	LOC112049924	XM_024087986.1	3766	WP_vs_DP_5mC_DMR
NW_019862776.1	574864	574925	62	0.813020132	0.615369718	0.197650414	17.52672515	3'UTR	LOC112058411	XM_024099218.1	1740	WP_vs_DP_5mC_DMR
NW_019862866.1	304863	304884	22	0.772494786	0.564984946	0.20750984	8.617872663	3'UTR	LOC112046666	XM_024083379.1	1747	WP_vs_DP_5mC_DMR
NW_019863467.1	91112	91200	89	0.662653876	0.452519294	0.210134582	12.10279849	3'UTR	LOC112055153	XM_024095156.1	1129	WP_vs_DP_5mC_DMR
