Chr	start	end	width	meanMeth1	meanMeth2	diffMeth	areaStat	annotation	geneId	transcriptId	distanceToTSS	Sample
NW_019862785.1	619416	619485	70	0.271083881	0.651279464	-0.380195583	-8.738365755	3'UTR	LOC112043088	XM_024078354.1	598	P50_vs_D50_5mC_DMR
NW_019862987.1	294707	294835	129	0.189740287	0.559579157	-0.36983887	-28.82607583	3'UTR	LOC112049730	XM_024087745.1	1527	P50_vs_D50_5mC_DMR
NW_019862871.1	108302	108561	260	0.225722818	0.582868604	-0.357145786	-14.2525149	3'UTR	LOC112046786	XM_024083581.1	1311	P50_vs_D50_5mC_DMR
NW_019862941.1	580959	581168	210	0.416836678	0.749862327	-0.333025649	-38.07840498	3'UTR	LOC112048722	XM_024086372.1	1616	P50_vs_D50_5mC_DMR
NW_019863001.1	167723	167972	250	0.154177353	0.436552414	-0.28237506	-9.850335387	3'UTR	LOC112049991	XM_024088094.1	3546	P50_vs_D50_5mC_DMR
NW_019862806.1	36401	36815	415	0.338527755	0.61073971	-0.272211955	-134.9426732	3'UTR	LOC112044282	XM_024080082.1	632	P50_vs_D50_5mC_DMR
NW_019862856.1	794438	795914	1477	0.27996086	0.548492099	-0.268531239	-19.84584749	3'UTR	LOC112046363	XM_024082993.1	1770	P50_vs_D50_5mC_DMR
NW_019862777.1	815913	816152	240	0.157150527	0.424672746	-0.267522219	-25.17206518	3'UTR	LOC112058511	XM_024099393.1	2277	P50_vs_D50_5mC_DMR
NW_019862820.1	54082	54104	23	0.147006061	0.409032188	-0.262026127	-8.180684202	3'UTR	LOC112044924	XM_024080936.1	1754	P50_vs_D50_5mC_DMR
NW_019862916.1	612038	612331	294	0.405037046	0.663576202	-0.258539156	-52.6937631	3'UTR	LOC112048100	XM_024085481.1	1499	P50_vs_D50_5mC_DMR
NW_019863112.1	229215	229258	44	0.523333145	0.770752272	-0.247419127	-11.40915234	3'UTR	LOC112051922	XM_024090776.1	1137	P50_vs_D50_5mC_DMR
NW_019862837.1	85333	85965	633	0.381938271	0.628817606	-0.246879335	-9.396368458	3'UTR	LOC112045642	XM_024081912.1	1606	P50_vs_D50_5mC_DMR
NW_019862823.1	464004	464246	243	0.310104519	0.551673037	-0.241568517	-74.59614996	3'UTR	LOC112045096	XM_024081166.1	6147	P50_vs_D50_5mC_DMR
NW_019862790.1	664054	664156	103	0.31695836	0.557894815	-0.240936454	-16.99405828	3'UTR	LOC112043428	XM_024078834.1	2905	P50_vs_D50_5mC_DMR
NW_019862945.1	257033	257171	139	0.352793223	0.58345773	-0.230664507	-37.53032712	3'UTR	LOC112048795	XM_024086458.1	1186	P50_vs_D50_5mC_DMR
NW_019863249.1	151190	151479	290	0.51722238	0.745299038	-0.228076658	-114.3601486	3'UTR	LOC112053522	XM_024092961.1	2480	P50_vs_D50_5mC_DMR
NW_019862755.1	259042	259630	589	0.274932852	0.501454533	-0.226521682	-114.8595239	3'UTR	LOC112048605	XM_024086216.1	13577	P50_vs_D50_5mC_DMR
NW_019862790.1	663901	663973	73	0.405252048	0.627288541	-0.222036493	-11.26443632	3'UTR	LOC112043428	XM_024078834.1	2752	P50_vs_D50_5mC_DMR
NW_019863634.1	13133	13304	172	0.37567135	0.585484468	-0.209813118	-38.01751609	3'UTR	LOC112055843	XM_024096115.1	2433	P50_vs_D50_5mC_DMR
NW_019862847.1	402916	402993	78	0.436054267	0.637926869	-0.201872602	-33.4108392	3'UTR	LOC112046092	XM_024082587.1	2559	P50_vs_D50_5mC_DMR
NW_019862800.1	213912	215038	1127	0.233483909	0.431594972	-0.198111063	-11.08307752	3'UTR	LOC112043906	XM_024079570.1	-2604	P50_vs_D50_5mC_DMR
NW_019863453.1	94872	94930	59	0.288794534	0.484940208	-0.196145674	-10.38716688	3'UTR	LOC112055061	XM_024095048.1	10437	P50_vs_D50_5mC_DMR
NW_019863634.1	23107	23199	93	0.352594497	0.54089078	-0.188296283	-29.99502485	3'UTR	LOC112055847	XM_024096118.1	-6760	P50_vs_D50_5mC_DMR
NW_019862945.1	256839	256859	21	0.321407238	0.498008453	-0.176601214	-18.22289826	3'UTR	LOC112048795	XM_024086458.1	1498	P50_vs_D50_5mC_DMR
NW_019862917.1	502639	502667	29	0.335822696	0.073909748	0.261912948	11.47204935	3'UTR	LOC112048123	XM_024085509.1	23846	P50_vs_D50_5mC_DMR
NW_019863447.1	64048	64577	530	0.309122406	0.702697363	-0.393574956	-66.29108194	5'UTR	LOC112055014	XM_024094980.1	5275	P50_vs_D50_5mC_DMR
NW_019862805.1	988184	988412	229	0.426568018	0.756659391	-0.330091373	-25.00221439	5'UTR	LOC112044233	XM_024079999.1	959	P50_vs_D50_5mC_DMR
NW_019862806.1	645707	646806	1100	0.31594117	0.617897502	-0.301956332	-22.42868532	5'UTR	LOC112044298	XR_002886737.1	673	P50_vs_D50_5mC_DMR
NW_019863049.1	17146	17331	186	0.398297176	0.628514016	-0.230216841	-57.16380774	5'UTR	LOC112050893	XM_024089296.1	1323	P50_vs_D50_5mC_DMR
NW_019863146.1	146410	146539	130	0.219115554	0.633213811	-0.414098257	-13.00915143	Intergenic	LOC112052413	XM_024091469.1	1065	P50_vs_D50_5mC_DMR
NW_019862892.1	16722	16756	35	0.177058091	0.486970246	-0.309912155	-24.29056	Intergenic	LOC112047413	XR_002886946.1	2547	P50_vs_D50_5mC_DMR
NW_019862777.1	917059	917250	192	0.147459554	0.439470773	-0.292011218	-16.98550725	Intergenic	LOC112058480	XM_024099344.1	3572	P50_vs_D50_5mC_DMR
NW_019862832.1	226630	226685	56	0.404156323	0.678659248	-0.274502925	-10.39732332	Intergenic	LOC112045440	XM_024081609.1	-7409	P50_vs_D50_5mC_DMR
NW_019862794.1	1340756	1341017	262	0.283819507	0.552337797	-0.26851829	-39.89785364	Intergenic	LOC112043680	XM_024079198.1	9123	P50_vs_D50_5mC_DMR
NW_019863408.1	74857	75350	494	0.251205926	0.50783472	-0.256628794	-18.21570326	Intergenic	LOC112054768	XM_024094661.1	-8459	P50_vs_D50_5mC_DMR
