GeneID,chr,strand,SplicingType,FDR,delta_PSI,start,end,SID
LOC112050976,NW_019863054.1,-,SE,0.001118112,0.128,55060,55308,NW_019863054.1_55060_55308
LOC112050976,NW_019863054.1,-,SE,0.030643385,0.118,56017,56238,NW_019863054.1_56017_56238
LOC112050976,NW_019863054.1,-,SE,3.54E-05,-0.075,58002,58235,NW_019863054.1_58002_58235
LOC112050976,NW_019863054.1,-,SE,0.000903244,-0.09,58002,58265,NW_019863054.1_58002_58265
LOC112050976,NW_019863054.1,-,SE,0.000740032,-0.026,58002,58265,NW_019863054.1_58002_58265
LOC112044457,NW_019862809.1,-,SE,0.000154954,0.045,1220212,1220448,NW_019862809.1_1220212_1220448
LOC112044457,NW_019862809.1,-,SE,0.000258839,0.198,1220212,1220448,NW_019862809.1_1220212_1220448
LOC112044457,NW_019862809.1,-,SE,7.68E-08,0.187,1220736,1221056,NW_019862809.1_1220736_1221056
LOC112044457,NW_019862809.1,-,SE,1.05E-07,0.107,1220736,1221056,NW_019862809.1_1220736_1221056
LOC112044451,NW_019862809.1,+,SE,0.000413911,0.043,972800,973083,NW_019862809.1_972800_973083
LOC112052209,NW_019863133.1,+,SE,0.019920649,-0.076,264948,265238,NW_019863133.1_264948_265238
LOC112052201,NW_019863133.1,-,SE,0.001093302,-0.05,164445,164721,NW_019863133.1_164445_164721
LOC112046662,NW_019862866.1,+,SE,0.000863738,-0.176,273820,274116,NW_019862866.1_273820_274116
LOC112043636,NW_019862793.1,-,SE,0.00507256,-0.035,1219804,1220149,NW_019862793.1_1219804_1220149
LOC112043609,NW_019862793.1,+,SE,5.66E-09,-0.197,199648,199968,NW_019862793.1_199648_199968
LOC112043605,NW_019862793.1,+,SE,0.014405181,-0.059,72653,72943,NW_019862793.1_72653_72943
LOC112048799,NW_019862945.1,+,SE,0.002295737,-0.034,424378,424745,NW_019862945.1_424378_424745
LOC112053753,NW_019863278.1,+,SE,0,-0.219,114739,115020,NW_019863278.1_114739_115020
LOC112052131,NW_019863129.1,-,SE,2.60E-09,0.208,212470,212745,NW_019863129.1_212470_212745
LOC112049271,NW_019862966.1,+,SE,0.029521989,0.101,256816,257093,NW_019862966.1_256816_257093
LOC112051879,NW_019863109.1,-,SE,8.18E-05,0.09,261884,262135,NW_019863109.1_261884_262135
LOC112051879,NW_019863109.1,-,SE,0.007682709,-0.037,273788,274135,NW_019863109.1_273788_274135
LOC112043577,NW_019862792.1,+,SE,6.53E-09,-0.052,1092975,1093286,NW_019862792.1_1092975_1093286
LOC112051215,NW_019863068.1,-,SE,0,-0.11,214952,215307,NW_019863068.1_214952_215307
LOC112048194,NW_019862920.1,+,SE,8.51E-05,0.128,586667,587074,NW_019862920.1_586667_587074
