GeneID,chr,strand,SplicingType,FDR,delta_PSI,start,end,SID
LOC112050976,NW_019863054.1,-,SE,1.36E-09,-0.191,55060,55308,NW_019863054.1_55060_55308
LOC112050976,NW_019863054.1,-,SE,6.33E-05,0.252,56017,56238,NW_019863054.1_56017_56238
LOC112050976,NW_019863054.1,-,SE,0.000779008,0.289,58002,58235,NW_019863054.1_58002_58235
LOC112050976,NW_019863054.1,-,SE,0.000318248,0.1,58002,58265,NW_019863054.1_58002_58265
LOC112044457,NW_019862809.1,-,SE,0.011834269,-0.051,1220736,1221056,NW_019862809.1_1220736_1221056
LOC112056812,NW_019863996.1,+,SE,0.025918771,-0.125,6923,7159,NW_019863996.1_6923_7159
LOC112049178,NW_019862962.1,-,SE,9.55E-09,0.358,194916,195170,NW_019862962.1_194916_195170
LOC112049170,NW_019862962.1,+,SE,6.30E-11,0.33,83165,84061,NW_019862962.1_83165_84061
LOC112052209,NW_019863133.1,+,SE,0.024249223,-0.099,264948,265238,NW_019863133.1_264948_265238
LOC112052201,NW_019863133.1,-,SE,0.021014668,0.125,164445,164721,NW_019863133.1_164445_164721
LOC112046662,NW_019862866.1,+,SE,3.50E-13,-0.197,265119,265505,NW_019862866.1_265119_265505
LOC112046662,NW_019862866.1,+,SE,0.044770093,-0.107,273820,274116,NW_019862866.1_273820_274116
LOC112043486,NW_019862791.1,-,SE,3.98E-08,-0.177,1190508,1190774,NW_019862791.1_1190508_1190774
LOC112043481,NW_019862791.1,+,SE,0.023652294,-0.033,800251,800558,NW_019862791.1_800251_800558
LOC112043469,NW_019862791.1,+,SE,7.67E-07,-0.067,306384,306747,NW_019862791.1_306384_306747
LOC112054984,NW_019863443.1,+,SE,5.03E-05,0.02,104413,104658,NW_019863443.1_104413_104658
LOC112054984,NW_019863443.1,+,SE,0,-0.531,110869,111177,NW_019863443.1_110869_111177
LOC112054984,NW_019863443.1,+,SE,1.86E-06,-0.027,110869,111177,NW_019863443.1_110869_111177
LOC112054984,NW_019863443.1,+,SE,0.018207272,-0.035,111542,111847,NW_019863443.1_111542_111847
LOC112054984,NW_019863443.1,+,SE,0,0.206,111542,111847,NW_019863443.1_111542_111847
LOC112056691,NW_019863945.1,-,SE,0.004375953,-0.055,11618,11937,NW_019863945.1_11618_11937
LOC112056691,NW_019863945.1,-,SE,0.001293674,-0.062,11647,11937,NW_019863945.1_11647_11937
LOC112051285,NW_019863072.1,+,SE,0,0.219,142440,142900,NW_019863072.1_142440_142900
LOC112051127,NW_019863064.1,-,SE,5.10E-05,-0.076,312224,312604,NW_019863064.1_312224_312604
LOC112051127,NW_019863064.1,-,SE,4.79E-05,-0.077,312224,312615,NW_019863064.1_312224_312615
LOC112051127,NW_019863064.1,-,SE,5.39E-05,-0.076,312224,312622,NW_019863064.1_312224_312622
LOC112043624,NW_019862793.1,+,SE,0.042044059,-0.053,1086064,1086362,NW_019862793.1_1086064_1086362
LOC112043620,NW_019862793.1,-,SE,0.00017049,-0.125,572313,572590,NW_019862793.1_572313_572590
LOC112043612,NW_019862793.1,+,SE,4.52E-05,0.331,231220,231513,NW_019862793.1_231220_231513
LOC112043606,NW_019862793.1,-,SE,0,-0.327,89271,89642,NW_019862793.1_89271_89642
LOC112043605,NW_019862793.1,+,SE,0,-0.143,55162,55506,NW_019862793.1_55162_55506
LOC112043605,NW_019862793.1,+,SE,0.000734408,-0.147,72653,72943,NW_019862793.1_72653_72943
LOC112053695,NW_019863272.1,+,SE,0,0.087,179394,179705,NW_019863272.1_179394_179705
LOC112048480,NW_019862932.1,-,SE,2.41E-14,-0.782,510060,510602,NW_019862932.1_510060_510602
LOC112052460,NW_019863150.1,+,SE,0.002884401,-0.021,247246,247573,NW_019863150.1_247246_247573
LOC112052460,NW_019863150.1,+,SE,0.008389199,-0.015,247246,247588,NW_019863150.1_247246_247588
LOC112046070,NW_019862847.1,+,SE,0,-0.15,338090,338351,NW_019862847.1_338090_338351
LOC112046070,NW_019862847.1,+,SE,0,-0.203,338090,338356,NW_019862847.1_338090_338356
LOC112051879,NW_019863109.1,-,SE,2.35E-06,-0.233,251682,251990,NW_019863109.1_251682_251990
LOC112051879,NW_019863109.1,-,SE,1.05E-06,-0.276,251682,252002,NW_019863109.1_251682_252002
LOC112051879,NW_019863109.1,-,SE,1.10E-05,0.039,258523,258981,NW_019863109.1_258523_258981
LOC112051879,NW_019863109.1,-,SE,0.002822381,-0.041,273788,274135,NW_019863109.1_273788_274135
LOC112057302,NW_019864796.1,+,SE,0.000458504,-0.216,953,1341,NW_019864796.1_953_1341
LOC112051425,NW_019863082.1,+,SE,1.53E-13,0.103,304944,305299,NW_019863082.1_304944_305299
LOC112048194,NW_019862920.1,+,SE,1.75E-05,-0.217,581818,584709,NW_019862920.1_581818_584709
LOC112048194,NW_019862920.1,+,SE,0,0.799,586667,587074,NW_019862920.1_586667_587074
LOC112048194,NW_019862920.1,+,SE,0,0.827,586667,587074,NW_019862920.1_586667_587074
LOC112048194,NW_019862920.1,+,SE,1.82E-05,0.312,587385,589589,NW_019862920.1_587385_589589
LOC112048194,NW_019862920.1,+,SE,0,-0.506,587385,589589,NW_019862920.1_587385_589589
LOC112043441,NW_019862791.1,+,SE,0.000123857,0.15,335693,336079,NW_019862791.1_335693_336079
LOC112046911,NW_019862874.1,+,SE,0.006538574,-0.051,429479,429799,NW_019862874.1_429479_429799
LOC112050193,NW_019862748.1,+,SE,4.71E-06,-0.071,329003,329389,NW_019862748.1_329003_329389
LOC112051765,NW_019863101.1,+,SE,0,0.045,226347,226688,NW_019863101.1_226347_226688
