GeneID,chr,strand,SplicingType,FDR,delta_PSI,start,end,SID
LOC112050976,NW_019863054.1,-,SE,0.001161563,0.032,55060,55308,NW_019863054.1_55060_55308
LOC112044451,NW_019862809.1,+,SE,2.70E-08,0.077,972800,973083,NW_019862809.1_972800_973083
LOC112056812,NW_019863996.1,+,SE,0.011261557,-0.136,6923,7159,NW_019863996.1_6923_7159
LOC112049170,NW_019862962.1,+,SE,0.000202022,0.222,83165,84061,NW_019862962.1_83165_84061
LOC112054984,NW_019863443.1,+,SE,0.000197143,-0.02,110869,111177,NW_019863443.1_110869_111177
LOC112054984,NW_019863443.1,+,SE,0.002208764,-0.024,111542,111847,NW_019863443.1_111542_111847
LOC112054984,NW_019863443.1,+,SE,0.003433312,0.062,111542,111847,NW_019863443.1_111542_111847
LOC112056691,NW_019863945.1,-,SE,2.38E-05,-0.047,11618,11937,NW_019863945.1_11618_11937
LOC112056691,NW_019863945.1,-,SE,1.54E-06,-0.057,11647,11937,NW_019863945.1_11647_11937
LOC112051285,NW_019863072.1,+,SE,0.036066315,-0.101,142440,142900,NW_019863072.1_142440_142900
LOC112051285,NW_019863072.1,+,SE,0.010806069,-0.016,191663,191950,NW_019863072.1_191663_191950
LOC112051133,NW_019863064.1,-,SE,7.68E-08,0.378,318541,318885,NW_019863064.1_318541_318885
LOC112043606,NW_019862793.1,-,SE,0.009417127,0.289,89271,89642,NW_019862793.1_89271_89642
LOC112048805,NW_019862945.1,+,SE,0.007320003,0.309,529820,530195,NW_019862945.1_529820_530195
LOC112048804,NW_019862945.1,+,SE,0.010627267,0.047,504198,504473,NW_019862945.1_504198_504473
LOC112053753,NW_019863278.1,+,SE,0.009034426,-0.049,114739,115020,NW_019863278.1_114739_115020
LOC112052460,NW_019863150.1,+,SE,3.11E-05,-0.042,247246,247573,NW_019863150.1_247246_247573
LOC112052460,NW_019863150.1,+,SE,0.002237314,-0.027,247246,247588,NW_019863150.1_247246_247588
LOC112051879,NW_019863109.1,-,SE,0.011999479,0.13,261884,262135,NW_019863109.1_261884_262135
LOC112051425,NW_019863082.1,+,SE,1.63E-10,-0.106,320430,320719,NW_019863082.1_320430_320719
LOC112043577,NW_019862792.1,+,SE,1.06E-07,-0.06,1092975,1093286,NW_019862792.1_1092975_1093286
LOC112051215,NW_019863068.1,-,SE,1.67E-07,-0.099,214952,215307,NW_019863068.1_214952_215307
LOC112048194,NW_019862920.1,+,SE,0.005403714,0.061,586667,587074,NW_019862920.1_586667_587074
LOC112048194,NW_019862920.1,+,SE,0.038198539,0.121,587385,589589,NW_019862920.1_587385_589589
LOC112044454,NW_019862751.1,-,SE,8.92E-09,0.521,334270,334494,NW_019862751.1_334270_334494
LOC112052128,NW_019863128.1,+,SE,2.40E-05,0.122,21416,21660,NW_019863128.1_21416_21660
LOC112053903,NW_019862760.1,-,SE,0.033082019,0.033,1778855,1780225,NW_019862760.1_1778855_1780225
LOC112043601,NW_019862793.1,+,SE,0.000772702,0.062,1193710,1194106,NW_019862793.1_1193710_1194106
LOC112051862,NW_019862748.1,-,SE,0.001134569,-0.06,385522,385890,NW_019862748.1_385522_385890
LOC112046459,NW_019862858.1,+,SE,1.69E-09,-0.065,118726,119131,NW_019862858.1_118726_119131
LOC112046339,NW_019862855.1,-,SE,3.35E-05,0.369,669691,670012,NW_019862855.1_669691_670012
