Chr	start	end	width	meanMeth1	meanMeth2	diffMeth	areaStat	annotation	geneId	transcriptId	distanceToTSS	Sample
NW_019862777.1	815913	816152	240	0.130352901	0.415692527	-0.285339626	-31.36832343	3'UTR	LOC112058511	XM_024099393.1	2277	D15_vs_D50_5mC_DMR
NW_019863062.1	277422	277443	22	0.137707455	0.397750642	-0.260043187	-20.37662664	3'UTR	LOC112051082	XM_024089560.1	10798	D15_vs_D50_5mC_DMR
NW_019862790.1	680056	680265	210	0.08664264	0.320970751	-0.23432811	-9.878192671	3'UTR	LOC112043429	XM_024078836.1	4975	D15_vs_D50_5mC_DMR
NW_019863299.1	84421	84540	120	0.381864911	0.597871762	-0.216006851	-22.54329683	3'UTR	LOC112053966	XM_024093599.1	1991	D15_vs_D50_5mC_DMR
NW_019862830.1	15232	15368	137	0.060148606	0.259865055	-0.199716449	-12.69753049	3'UTR	LOC112045367	XM_024081521.1	5632	D15_vs_D50_5mC_DMR
NW_019863051.1	404387	404500	114	0.201545222	0.398505897	-0.196960675	-23.34604696	3'UTR	LOC112050917	XM_024089331.1	5693	D15_vs_D50_5mC_DMR
NW_019863070.1	68738	68902	165	0.068526508	0.2489301	-0.180403592	-26.57913086	3'UTR	LOC112051257	XM_024089829.1	-2892	D15_vs_D50_5mC_DMR
NW_019862792.1	1094145	1094334	190	0.163365599	0.325779204	-0.162413605	-16.1397895	3'UTR	LOC112043577	XM_024079059.1	3329	D15_vs_D50_5mC_DMR
NW_019862818.1	156556	156606	51	0.385364026	0.546352385	-0.160988358	-23.57967359	3'UTR	LOC112044834	XM_024080811.1	921	D15_vs_D50_5mC_DMR
NW_019863330.1	84127	84157	31	0.268961268	0.427930315	-0.158969047	-9.416537449	3'UTR	LOC112054231	XM_024093936.1	5270	D15_vs_D50_5mC_DMR
NW_019863039.1	122624	123183	560	0.454356317	0.555552153	-0.101195836	-17.73074098	3'UTR	LOC112050714	XM_024089050.1	2221	D15_vs_D50_5mC_DMR
NW_019862976.1	189801	190103	303	0.291391857	0.155987257	0.135404599	70.74417658	3'UTR	LOC112049479	XM_024087356.1	2263	D15_vs_D50_5mC_DMR
NW_019862753.1	1896139	1896213	75	0.709717172	0.573587739	0.136129433	16.56326303	3'UTR	LOC112047261	XM_024084330.1	1010	D15_vs_D50_5mC_DMR
NW_019862824.1	533499	533621	123	0.304546741	0.16554843	0.138998311	41.89552186	3'UTR	LOC112045108	XM_024081186.1	3014	D15_vs_D50_5mC_DMR
NW_019862841.1	810841	811133	293	0.621559486	0.474184116	0.14737537	89.34162832	3'UTR	LOC112045809	XM_024082157.1	1976	D15_vs_D50_5mC_DMR
NW_019862768.1	1397256	1397566	311	0.733864724	0.584285193	0.149579531	129.4865796	3'UTR	LOC112057917	XM_024098530.1	13705	D15_vs_D50_5mC_DMR
NW_019863088.1	150451	151043	593	0.379663484	0.22877588	0.150887604	220.7914368	3'UTR	LOC112051540	XM_024090229.1	15218	D15_vs_D50_5mC_DMR
NW_019862872.1	331271	331294	24	0.644605332	0.492462511	0.152142821	17.66913482	3'UTR	LOC112046822	XM_024083631.1	11438	D15_vs_D50_5mC_DMR
NW_019862928.1	95794	95889	96	0.682566495	0.5257528	0.156813695	34.164347	3'UTR	LOC112048383	XM_024085894.1	1581	D15_vs_D50_5mC_DMR
NW_019862800.1	610662	610735	74	0.779182396	0.620978728	0.158203668	20.64471045	3'UTR	LOC112043929	XM_024079607.1	2409	D15_vs_D50_5mC_DMR
NW_019863113.1	281687	282028	342	0.873111518	0.707648926	0.165462593	54.59636246	3'UTR	LOC112051947	XM_024090800.1	1390	D15_vs_D50_5mC_DMR
NW_019862921.1	572741	573011	271	0.744139683	0.576732611	0.167407072	56.23849887	3'UTR	LOC112048210	XM_024085663.1	13466	D15_vs_D50_5mC_DMR
NW_019862772.1	269523	270065	543	0.541689579	0.372069757	0.169619822	105.592506	3'UTR	LOC112058143	XM_024098829.1	3121	D15_vs_D50_5mC_DMR
NW_019863146.1	46647	46717	71	0.648848673	0.476909814	0.171938859	23.74111458	3'UTR	LOC112052415	XM_024091472.1	2579	D15_vs_D50_5mC_DMR
NW_019863634.1	12293	13687	1395	0.630299916	0.454135077	0.176164838	414.4122933	3'UTR	LOC112055843	XM_024096115.1	1593	D15_vs_D50_5mC_DMR
NW_019862886.1	149446	149985	540	0.866258555	0.688826088	0.177432467	83.14589351	3'UTR	LOC112047257	XM_024084312.1	1605	D15_vs_D50_5mC_DMR
NW_019862760.1	661484	661541	58	0.664637666	0.486856489	0.177781176	19.15149983	3'UTR	LOC112053770	XM_024093328.1	961	D15_vs_D50_5mC_DMR
NW_019862928.1	95703	95745	43	0.656926621	0.476458243	0.180468378	39.36158642	3'UTR	LOC112048383	XM_024085894.1	1490	D15_vs_D50_5mC_DMR
NW_019863155.1	23723	24145	423	0.695917605	0.514022145	0.18189546	82.49378231	3'UTR	LOC112052530	XM_024091650.1	1900	D15_vs_D50_5mC_DMR
NW_019862760.1	661398	661421	24	0.651917563	0.468453302	0.183464261	15.29128346	3'UTR	LOC112053770	XM_024093328.1	1081	D15_vs_D50_5mC_DMR
NW_019862760.1	661247	661268	22	0.6509891	0.466059899	0.184929201	13.0648149	3'UTR	LOC112053770	XM_024093328.1	1234	D15_vs_D50_5mC_DMR
NW_019862792.1	1225325	1225348	24	0.611080501	0.425171327	0.185909174	12.89822844	3'UTR	LOC112043587	XM_024079071.1	1850	D15_vs_D50_5mC_DMR
NW_019863229.1	128655	128823	169	0.477596626	0.290361499	0.187235127	25.33263058	3'UTR	LOC112053328	XM_024092721.1	6907	D15_vs_D50_5mC_DMR
