Chr	start	end	width	meanMeth1	meanMeth2	diffMeth	areaStat	annotation	geneId	transcriptId	distanceToTSS	Sample
NW_019862918.1	653843	654016	174	0.248359856	0.737693928	-0.489334072	-13.90709763	3'UTR	LOC112048143	XM_024085548.1	2359	D60_vs_DP_5mC_DMR
NW_019862777.1	895136	895216	81	0.406800687	0.738587082	-0.331786396	-15.52588111	3'UTR	LOC112058477	XM_024099341.1	2880	D60_vs_DP_5mC_DMR
NW_019863013.1	234247	234584	338	0.061671272	0.383650089	-0.321978817	-14.05741038	3'UTR	LOC112050223	XM_024088438.1	2963	D60_vs_DP_5mC_DMR
NW_019863243.1	223927	224097	171	0.113354658	0.432390642	-0.319035984	-11.56351462	3'UTR	LOC112053462	XR_002887387.1	1410	D60_vs_DP_5mC_DMR
NW_019862750.1	40071	40098	28	0.040999784	0.324003878	-0.283004094	-7.516349127	3'UTR	LOC112043388	XR_002886681.1	3095	D60_vs_DP_5mC_DMR
NW_019862859.1	20630	21051	422	0.197930956	0.476939035	-0.279008079	-20.70447727	3'UTR	LOC112046491	XM_024083124.1	2312	D60_vs_DP_5mC_DMR
NW_019862878.1	1069085	1069379	295	0.287523441	0.546108152	-0.258584711	-31.51954744	3'UTR	LOC112046955	XM_024083822.1	1946	D60_vs_DP_5mC_DMR
NW_019862753.1	207565	207616	52	0.239822696	0.484199517	-0.244376821	-8.093077142	3'UTR	LOC112046594	XM_024083286.1	5736	D60_vs_DP_5mC_DMR
NW_019862890.1	169071	169321	251	0.146655664	0.36805974	-0.221404076	-36.62489381	3'UTR	LOC112047360	XM_024084461.1	3404	D60_vs_DP_5mC_DMR
NW_019862749.1	529292	529315	24	0.178025347	0.389544043	-0.211518696	-10.12997449	3'UTR	LOC112058299	XM_024099023.1	5539	D60_vs_DP_5mC_DMR
NW_019862985.1	345748	345804	57	0.038523318	0.247369527	-0.208846209	-10.48741014	3'UTR	LOC112049708	XM_024087714.1	7141	D60_vs_DP_5mC_DMR
NW_019863074.1	181217	181463	247	0.086210683	0.266026002	-0.179815319	-20.21856764	3'UTR	LOC112051317	XR_002887228.1	55198	D60_vs_DP_5mC_DMR
NW_019862846.1	207007	207067	61	0.220583968	0.365453325	-0.144869357	-13.8798448	3'UTR	LOC112046049	XM_024082509.1	5423	D60_vs_DP_5mC_DMR
NW_019862786.1	239851	239898	48	0.357454221	0.217520123	0.139934098	13.41408876	3'UTR	LOC112043132	XM_024078412.1	-3094	D60_vs_DP_5mC_DMR
NW_019863107.1	407772	407880	109	0.701128089	0.55075317	0.150374919	28.02196069	3'UTR	LOC112051841	XM_024090654.1	13270	D60_vs_DP_5mC_DMR
NW_019862830.1	14198	14221	24	0.507147049	0.346893988	0.160253061	12.03146321	3'UTR	LOC112045367	XM_024081521.1	4598	D60_vs_DP_5mC_DMR
