Chr	start	end	width	meanMeth1	meanMeth2	diffMeth	areaStat	annotation	geneId	transcriptId	distanceToTSS	Sample
NW_019863164.1	101348	101381	34	0.330329666	0.699239679	-0.368910013	-11.49368349	3'UTR	LOC112052631	XM_024091788.1	-2948	DP_vs_D15_5mC_DMR
NW_019863069.1	164700	164958	259	0.433307337	0.754046254	-0.320738916	-52.35831682	3'UTR	LOC112051222	XM_024089771.1	1331	DP_vs_D15_5mC_DMR
NW_019862759.1	1740611	1741441	831	0.501544018	0.763034469	-0.261490451	-145.6969251	3'UTR	LOC112053106	XM_024092407.1	1803	DP_vs_D15_5mC_DMR
NW_019862758.1	2343556	2343798	243	0.536576813	0.796159412	-0.259582599	-39.19417652	3'UTR	LOC112052124	XM_024091071.1	1854	DP_vs_D15_5mC_DMR
NW_019862847.1	402690	403637	948	0.477041839	0.736494854	-0.259453015	-206.4953921	3'UTR	LOC112046092	XM_024082587.1	1915	DP_vs_D15_5mC_DMR
NW_019862921.1	572741	573253	513	0.47606294	0.732187499	-0.256124559	-102.898899	3'UTR	LOC112048210	XM_024085663.1	13466	DP_vs_D15_5mC_DMR
NW_019862759.1	216886	217060	175	0.463160225	0.713608914	-0.250448689	-32.93523508	3'UTR	LOC112052534	XM_024091658.1	2591	DP_vs_D15_5mC_DMR
NW_019862831.1	743489	743533	45	0.496130882	0.743490558	-0.247359676	-10.65764257	3'UTR	LOC112045395	XM_024081556.1	1268	DP_vs_D15_5mC_DMR
NW_019862866.1	304807	304884	78	0.566174878	0.794244403	-0.228069526	-12.99585644	3'UTR	LOC112046666	XM_024083379.1	1691	DP_vs_D15_5mC_DMR
NW_019863596.1	32551	32762	212	0.362997318	0.588200092	-0.225202774	-22.27391618	3'UTR	LOC112055726	XM_024095916.1	1303	DP_vs_D15_5mC_DMR
NW_019863853.1	37302	37336	35	0.387684529	0.610404844	-0.222720315	-14.6493372	3'UTR	LOC112056506	XM_024096946.1	1287	DP_vs_D15_5mC_DMR
NW_019862898.1	717033	717070	38	0.538307715	0.759212378	-0.220904664	-9.289652206	3'UTR	LOC112047605	XM_024084755.1	2233	DP_vs_D15_5mC_DMR
NW_019862928.1	95987	96021	35	0.481976981	0.698909611	-0.21693263	-33.3467393	3'UTR	LOC112048383	XM_024085894.1	1774	DP_vs_D15_5mC_DMR
NW_019862749.1	418022	418219	198	0.287642881	0.5015342	-0.213891319	-9.388142253	3'UTR	LOC112058205	XM_024098916.1	-2737	DP_vs_D15_5mC_DMR
NW_019862756.1	1806420	1806475	56	0.582129039	0.792619862	-0.210490822	-15.9048533	3'UTR	LOC112050396	XM_024088662.1	1917	DP_vs_D15_5mC_DMR
NW_019863080.1	364903	364984	82	0.46163537	0.67116633	-0.20953096	-20.05480666	3'UTR	LOC112051388	XM_024090001.1	2271	DP_vs_D15_5mC_DMR
NW_019863336.1	178235	178679	445	0.338878506	0.54768685	-0.208808344	-93.63461756	3'UTR	LOC112054277	XR_002887436.1	-5455	DP_vs_D15_5mC_DMR
NW_019863788.1	18535	18686	152	0.538915213	0.747507652	-0.208592438	-12.48780246	3'UTR	LOC112056357	XM_024096778.1	2225	DP_vs_D15_5mC_DMR
NW_019862977.1	109502	109680	179	0.444686225	0.646719012	-0.202032787	-28.92920769	3'UTR	LOC112049546	XM_024087478.1	1032	DP_vs_D15_5mC_DMR
NW_019862749.1	833844	833891	48	0.248914684	0.443051412	-0.194136729	-10.75683898	3'UTR	LOC112043269	XM_024078592.1	1642	DP_vs_D15_5mC_DMR
NW_019862921.1	572590	572630	41	0.498894428	0.687382549	-0.18848812	-17.99075192	3'UTR	LOC112048210	XM_024085663.1	13315	DP_vs_D15_5mC_DMR
NW_019862818.1	364040	364113	74	0.183883307	0.371668333	-0.187785026	-11.71491087	3'UTR	LOC112044825	XM_024080801.1	7285	DP_vs_D15_5mC_DMR
NW_019862776.1	574864	574924	61	0.616786883	0.800631447	-0.183844564	-14.34559293	3'UTR	LOC112058411	XM_024099218.1	1740	DP_vs_D15_5mC_DMR
NW_019863088.1	130573	130670	98	0.467475038	0.645477146	-0.178002108	-13.00865185	3'UTR	LOC112051543	XM_024090232.1	2254	DP_vs_D15_5mC_DMR
NW_019863352.1	130466	130532	67	0.455997021	0.629356502	-0.173359482	-21.73660844	3'UTR	LOC112054375	XM_024094146.1	4528	DP_vs_D15_5mC_DMR
NW_019862857.1	114204	114390	187	0.158418089	0.331248042	-0.172829953	-38.16303759	3'UTR	LOC112046411	XM_024083017.1	-4224	DP_vs_D15_5mC_DMR
NW_019862801.1	764440	764569	130	0.290885841	0.451936607	-0.161050766	-61.39073652	3'UTR	LOC112044001	XM_024079716.1	2526	DP_vs_D15_5mC_DMR
NW_019863352.1	130619	130661	43	0.480779361	0.637681351	-0.15690199	-13.12579283	3'UTR	LOC112054375	XM_024094146.1	4399	DP_vs_D15_5mC_DMR
NW_019862776.1	574752	574775	24	0.615511782	0.7713094	-0.155797618	-12.23324884	3'UTR	LOC112058411	XM_024099218.1	1628	DP_vs_D15_5mC_DMR
NW_019862928.1	95703	95744	42	0.522052091	0.656883605	-0.134831514	-29.793556	3'UTR	LOC112048383	XM_024085894.1	1490	DP_vs_D15_5mC_DMR
NW_019862753.1	1896203	1896278	76	0.583311641	0.71648482	-0.133173179	-36.46756492	3'UTR	LOC112047261	XM_024084330.1	1074	DP_vs_D15_5mC_DMR
NW_019862969.1	496341	496825	485	0.357492755	0.208020839	0.149471916	110.0247366	3'UTR	LOC112049366	XM_024087224.1	7154	DP_vs_D15_5mC_DMR
NW_019862985.1	188934	189067	134	0.494217302	0.318221896	0.175995406	17.52084159	3'UTR	LOC112049705	XM_024087709.1	2407	DP_vs_D15_5mC_DMR
NW_019862796.1	1253084	1253221	138	0.241274947	0.064966211	0.176308736	11.79611573	3'UTR	LOC112043755	XM_024079315.1	-3407	DP_vs_D15_5mC_DMR
NW_019863106.1	106726	106897	172	0.291759402	0.109651493	0.182107909	16.93058896	3'UTR	LOC112051827	XM_024090626.1	-7667	DP_vs_D15_5mC_DMR
NW_019862758.1	2332682	2332706	25	0.510424971	0.294172892	0.216252079	9.963960991	3'UTR	LOC112052116	XM_024091057.1	3567	DP_vs_D15_5mC_DMR
NW_019863069.1	296784	297090	307	0.31307811	0.09622249	0.21685562	22.73590742	3'UTR	LOC112051224	XM_024089773.1	3030	DP_vs_D15_5mC_DMR
NW_019862874.1	169819	169840	22	0.437925162	0.214663472	0.22326169	12.56174535	3'UTR	LOC112046878	XM_024083706.1	4721	DP_vs_D15_5mC_DMR
NW_019863086.1	209841	210015	175	0.528316183	0.303712612	0.224603571	10.92130907	3'UTR	LOC112051513	XM_024090185.1	2351	DP_vs_D15_5mC_DMR
NW_019863090.1	92326	93458	1133	0.493561809	0.259931924	0.233629885	82.87721248	3'UTR	LOC112051621	XR_002887246.1	-4387	DP_vs_D15_5mC_DMR
NW_019863277.1	29890	30071	182	0.356630435	0.109475104	0.247155332	9.382268224	3'UTR	LOC112053743	XM_024093279.1	1949	DP_vs_D15_5mC_DMR
NW_019862749.1	529185	529352	168	0.395036129	0.134433588	0.260602541	31.9708199	3'UTR	LOC112058299	XM_024099023.1	5432	DP_vs_D15_5mC_DMR
NW_019862880.1	317313	317351	39	0.373912717	0.107996743	0.265915974	8.646710019	3'UTR	LOC112047001	XM_024083884.1	-8254	DP_vs_D15_5mC_DMR
NW_019862773.1	311571	311742	172	0.531858751	0.258727441	0.27313131	9.694309929	3'UTR	LOC112058254	XM_024098961.1	1865	DP_vs_D15_5mC_DMR
NW_019863141.1	209031	211500	2470	0.433865032	0.077389874	0.356475158	8.662347623	3'UTR	LOC112052336	XM_024091366.1	9974	DP_vs_D15_5mC_DMR
NW_019862826.1	145739	145805	67	0.240245147	0.574515665	-0.334270519	-13.09517272	5'UTR	LOC112045208	XM_024081303.1	1987	DP_vs_D15_5mC_DMR
NW_019863404.1	72461	72666	206	0.512017244	0.834291192	-0.322273948	-30.88934492	5'UTR	LOC112054746	XM_024094636.1	2233	DP_vs_D15_5mC_DMR
NW_019862786.1	1314965	1315683	719	0.483410285	0.781829346	-0.298419061	-174.2890293	5'UTR	LOC112043172	XM_024078476.1	981	DP_vs_D15_5mC_DMR
NW_019862904.1	896374	896514	141	0.494290149	0.736488701	-0.242198552	-29.24458109	5'UTR	LOC112047813	XM_024085071.1	1057	DP_vs_D15_5mC_DMR
NW_019863068.1	215000	215274	275	0.603788519	0.843593755	-0.239805236	-68.87581014	5'UTR	LOC112051215	XM_024089761.1	1333	DP_vs_D15_5mC_DMR
NW_019862780.1	988198	988270	73	0.251670961	0.454104396	-0.202433435	-11.97658519	5'UTR	LOC112042860	XM_024078045.1	3122	DP_vs_D15_5mC_DMR
NW_019862753.1	1197045	1197144	100	0.609213971	0.803854232	-0.194640261	-26.54092973	5'UTR	LOC112046888	XM_024083735.1	997	DP_vs_D15_5mC_DMR
NW_019862786.1	1452738	1452971	234	0.579383591	0.720490064	-0.141106473	-65.58847194	5'UTR	LOC112043179	XM_024078483.1	774	DP_vs_D15_5mC_DMR
NW_019862776.1	205549	205641	93	0.264821846	0.773976861	-0.509155015	-40.68294036	Intergenic	LOC112058454	XM_024099308.1	5714	DP_vs_D15_5mC_DMR
NW_019862778.1	709383	709457	75	0.161299807	0.502490002	-0.341190195	-25.311226	Intergenic	LOC112058587	XR_002887777.1	5374	DP_vs_D15_5mC_DMR
NW_019863136.1	219663	219731	69	0.457303626	0.790394443	-0.333090817	-51.40571342	Intergenic	LOC112052250	XR_002887294.1	9573	DP_vs_D15_5mC_DMR
NW_019863674.1	1790	1834	45	0.411354769	0.739172463	-0.327817694	-16.48476541	Intergenic	LOC112055985	XM_024096302.1	36909	DP_vs_D15_5mC_DMR
NW_019863674.1	1855	1965	111	0.411354769	0.739172463	-0.327817694	-16.33723728	Intergenic	LOC112055985	XM_024096302.1	36778	DP_vs_D15_5mC_DMR
NW_019863293.1	170197	170413	217	0.474827575	0.791957777	-0.317130203	-24.60337016	Intergenic	LOC112053905	XM_024093512.1	8725	DP_vs_D15_5mC_DMR
NW_019863087.1	74163	74393	231	0.423964248	0.730549421	-0.306585173	-55.57790017	Intergenic	LOC112051524	XM_024090210.1	1844	DP_vs_D15_5mC_DMR
NW_019863730.1	81950	82021	72	0.3915008	0.694316019	-0.302815218	-19.43847685	Intergenic	LOC112056184	XM_024096557.1	19950	DP_vs_D15_5mC_DMR
NW_019863315.1	150771	150814	44	0.50933449	0.797983332	-0.288648842	-13.06484001	Intergenic	LOC112054080	XM_024093737.1	-4111	DP_vs_D15_5mC_DMR
NW_019862874.1	179406	179463	58	0.614337675	0.898961377	-0.284623702	-10.04553173	Intergenic	LOC112046879	XM_024083707.1	-3470	DP_vs_D15_5mC_DMR
NW_019862841.1	130267	130649	383	0.361875866	0.635007489	-0.273131622	-45.62407581	Intergenic	LOC112045821	XM_024082171.1	-8495	DP_vs_D15_5mC_DMR
NW_019863289.1	102328	102514	187	0.458220067	0.713885274	-0.255665207	-14.22700962	Intergenic	LOC112053852	XM_024093437.1	2227	DP_vs_D15_5mC_DMR
NW_019863076.1	302568	302646	79	0.577236414	0.831103389	-0.253866976	-16.23569428	Intergenic	LOC112051337	XM_024089936.1	2468	DP_vs_D15_5mC_DMR
NW_019862820.1	18905	19180	276	0.419800182	0.672594068	-0.252793887	-44.24655989	Intergenic	LOC112044979	XM_024081002.1	2329	DP_vs_D15_5mC_DMR
NW_019862847.1	357474	357765	292	0.498371473	0.74073444	-0.242362967	-11.31480081	Intergenic	LOC112046068	XM_024082541.1	-2006	DP_vs_D15_5mC_DMR
NW_019862853.1	761471	761984	514	0.509948589	0.744937659	-0.23498907	-80.64743436	Intergenic	LOC112046278	XR_002886855.1	-6047	DP_vs_D15_5mC_DMR
NW_019862749.1	417904	417991	88	0.201740533	0.436615317	-0.234874784	-11.35385396	Intergenic	LOC112058205	XM_024098916.1	-2619	DP_vs_D15_5mC_DMR
NW_019863136.1	219551	219581	31	0.396951249	0.631363431	-0.234412182	-13.36757308	Intergenic	LOC112052250	XR_002887294.1	9461	DP_vs_D15_5mC_DMR
NW_019862831.1	456603	456992	390	0.254725638	0.48683456	-0.232108921	-20.24885194	Intergenic	LOC112045394	XM_024081555.1	-2349	DP_vs_D15_5mC_DMR
NW_019862977.1	194774	194962	189	0.253273245	0.482645938	-0.229372693	-25.71550949	Intergenic	LOC112049533	XM_024087465.1	8348	DP_vs_D15_5mC_DMR
NW_019863040.1	285983	286091	109	0.435901406	0.655987381	-0.220085975	-11.48433904	Intergenic	LOC112050752	XM_024089097.1	3092	DP_vs_D15_5mC_DMR
NW_019862759.1	2391861	2392093	233	0.105274586	0.324272128	-0.218997542	-23.31992119	Intergenic	LOC112053232	XM_024092602.1	3626	DP_vs_D15_5mC_DMR
NW_019863135.1	299209	299490	282	0.495274572	0.709837284	-0.214562712	-14.77652128	Intergenic	LOC112052230	XM_024091231.1	1389	DP_vs_D15_5mC_DMR
NW_019863135.1	299542	299603	62	0.451710494	0.665617135	-0.213906641	-19.44892313	Intergenic	LOC112052230	XM_024091231.1	1722	DP_vs_D15_5mC_DMR
NW_019863046.1	50489	50554	66	0.44405314	0.650138242	-0.206085103	-26.42073737	Intergenic	LOC112050853	XM_024089220.1	2022	DP_vs_D15_5mC_DMR
NW_019863507.1	63669	63800	132	0.413492767	0.618241339	-0.204748571	-12.74542331	Intergenic	LOC112055364	XM_024095439.1	2781	DP_vs_D15_5mC_DMR
NW_019862933.1	334302	334337	36	0.420362823	0.619747847	-0.199385024	-33.64080476	Intergenic	LOC112048500	XR_002887025.1	2293	DP_vs_D15_5mC_DMR
NW_019863135.1	299715	299761	47	0.447300398	0.646313412	-0.199013014	-34.4639498	Intergenic	LOC112052230	XM_024091231.1	1895	DP_vs_D15_5mC_DMR
NW_019862786.1	1227273	1227358	86	0.621002675	0.816162268	-0.195159593	-14.76343841	Intergenic	LOC112043123	XM_024078404.1	-2426	DP_vs_D15_5mC_DMR
NW_019863198.1	253508	253638	131	0.594988355	0.782147164	-0.187158809	-44.56924139	Intergenic	LOC112053038	XM_024092306.1	1563	DP_vs_D15_5mC_DMR
NW_019863506.1	20922	20996	75	0.457515271	0.640253864	-0.182738593	-12.98395366	Intergenic	LOC112055358	XM_024095432.1	1364	DP_vs_D15_5mC_DMR
NW_019863506.1	21061	21083	23	0.457515271	0.640253864	-0.182738593	-12.02200491	Intergenic	LOC112055358	XM_024095432.1	1277	DP_vs_D15_5mC_DMR
NW_019863065.1	203870	203898	29	0.253654429	0.433554487	-0.179900057	-12.31368026	Intergenic	LOC112051141	XM_024089643.1	9938	DP_vs_D15_5mC_DMR
NW_019862759.1	1657959	1659123	1165	0.424654636	0.596744904	-0.172090267	-219.4705521	Intergenic	LOC112053081	XM_024092366.1	-49918	DP_vs_D15_5mC_DMR
NW_019863198.1	100184	100352	169	0.053145312	0.222745345	-0.169600033	-10.19502063	Intergenic	LOC112053032	XM_024092291.1	13090	DP_vs_D15_5mC_DMR
NW_019863198.1	253361	253429	69	0.614035889	0.780749391	-0.166713503	-25.31044486	Intergenic	LOC112053038	XM_024092306.1	1416	DP_vs_D15_5mC_DMR
