GeneID,chr,strand,SplicingType,FDR,delta_PSI,start,end,SID
LOC112050976,NW_019863054.1,-,SE,2.23E-06,-0.065,55060,55308,NW_019863054.1_55060_55308
LOC112050976,NW_019863054.1,-,SE,0.000932359,0.178,56017,56238,NW_019863054.1_56017_56238
LOC112050976,NW_019863054.1,-,SE,0.01926254,0.166,58002,58235,NW_019863054.1_58002_58235
LOC112044457,NW_019862809.1,-,SE,5.04E-05,0.124,1220212,1220448,NW_019862809.1_1220212_1220448
LOC112044451,NW_019862809.1,+,SE,6.02E-05,-0.079,972800,973083,NW_019862809.1_972800_973083
LOC112049178,NW_019862962.1,-,SE,0,0.369,194916,195170,NW_019862962.1_194916_195170
LOC112046662,NW_019862866.1,+,SE,0,-0.273,265119,265505,NW_019862866.1_265119_265505
LOC112046662,NW_019862866.1,+,SE,2.95E-07,-0.208,273820,274116,NW_019862866.1_273820_274116
LOC112043486,NW_019862791.1,-,SE,0.000490171,-0.09,1190508,1190774,NW_019862791.1_1190508_1190774
LOC112043469,NW_019862791.1,+,SE,0.000286505,-0.053,306384,306747,NW_019862791.1_306384_306747
LOC112050844,NW_019863046.1,-,SE,1.15E-09,-0.156,102519,102797,NW_019863046.1_102519_102797
LOC112054984,NW_019863443.1,+,SE,0.000770848,0.025,104413,104658,NW_019863443.1_104413_104658
LOC112054984,NW_019863443.1,+,SE,0,-0.49,110869,111177,NW_019863443.1_110869_111177
LOC112054984,NW_019863443.1,+,SE,0,0.162,111542,111847,NW_019863443.1_111542_111847
LOC112051285,NW_019863072.1,+,SE,0,0.362,142440,142900,NW_019863072.1_142440_142900
LOC112051133,NW_019863064.1,-,SE,9.00E-09,0.305,318541,318885,NW_019863064.1_318541_318885
LOC112051127,NW_019863064.1,-,SE,0.000175749,-0.131,312224,312604,NW_019863064.1_312224_312604
LOC112051127,NW_019863064.1,-,SE,0.000174653,-0.131,312224,312615,NW_019863064.1_312224_312615
LOC112051127,NW_019863064.1,-,SE,0.000196594,-0.129,312224,312622,NW_019863064.1_312224_312622
LOC112043612,NW_019862793.1,+,SE,7.43E-15,0.647,231220,231513,NW_019862793.1_231220_231513
LOC112043606,NW_019862793.1,-,SE,0,-0.617,89271,89642,NW_019862793.1_89271_89642
LOC112043605,NW_019862793.1,+,SE,0,-0.188,55162,55506,NW_019862793.1_55162_55506
LOC112043605,NW_019862793.1,+,SE,1.13E-08,-0.149,72653,72943,NW_019862793.1_72653_72943
LOC112053695,NW_019863272.1,+,SE,0,0.06,179394,179705,NW_019863272.1_179394_179705
LOC112048804,NW_019862945.1,+,SE,1.05E-05,-0.073,504198,504473,NW_019862945.1_504198_504473
LOC112053753,NW_019863278.1,+,SE,1.24E-07,-0.056,114739,115020,NW_019863278.1_114739_115020
LOC112052131,NW_019863129.1,-,SE,8.12E-05,0.107,212470,212745,NW_019863129.1_212470_212745
LOC112049233,NW_019862964.1,-,SE,0.006219115,0.036,495070,495394,NW_019862964.1_495070_495394
LOC112050405,NW_019863021.1,-,SE,0.001056356,-0.02,125939,126231,NW_019863021.1_125939_126231
LOC112046070,NW_019862847.1,+,SE,0,-0.112,338090,338351,NW_019862847.1_338090_338351
LOC112046070,NW_019862847.1,+,SE,0,-0.097,338090,338356,NW_019862847.1_338090_338356
