GeneID,chr,strand,SplicingType,FDR,delta_PSI,start,end,SID
LOC112050976,NW_019863054.1,-,SE,0.016911261,0.1,55060,55308,NW_019863054.1_55060_55308
LOC112050976,NW_019863054.1,-,SE,1.87E-14,-0.409,58002,58235,NW_019863054.1_58002_58235
LOC112050976,NW_019863054.1,-,SE,0,-0.239,58002,58235,NW_019863054.1_58002_58235
LOC112050976,NW_019863054.1,-,SE,0,-0.056,58002,58265,NW_019863054.1_58002_58265
LOC112044451,NW_019862809.1,+,SE,0.013892066,0.02,972800,973083,NW_019862809.1_972800_973083
LOC112056812,NW_019863996.1,+,SE,0,0.6,6923,7159,NW_019863996.1_6923_7159
LOC112049178,NW_019862962.1,-,SE,0.01679011,-0.143,194916,195170,NW_019862962.1_194916_195170
LOC112043469,NW_019862791.1,+,SE,6.85E-06,0.05,306384,306747,NW_019862791.1_306384_306747
LOC112050844,NW_019863046.1,-,SE,0,-0.124,102519,102797,NW_019863046.1_102519_102797
LOC112054984,NW_019863443.1,+,SE,0.00084617,0.025,110869,111177,NW_019863443.1_110869_111177
LOC112054984,NW_019863443.1,+,SE,3.11E-05,0.033,111542,111847,NW_019863443.1_111542_111847
LOC112056691,NW_019863945.1,-,SE,0.007656846,0.055,11618,11937,NW_019863945.1_11618_11937
LOC112056691,NW_019863945.1,-,SE,0.003212625,0.062,11647,11937,NW_019863945.1_11647_11937
LOC112051285,NW_019863072.1,+,SE,0.036533104,0.015,191663,191950,NW_019863072.1_191663_191950
LOC112043612,NW_019862793.1,+,SE,5.02E-06,0.188,231220,231513,NW_019862793.1_231220_231513
LOC112043606,NW_019862793.1,-,SE,4.56E-13,-0.422,89271,89642,NW_019862793.1_89271_89642
LOC112052131,NW_019863129.1,-,SE,0.021439141,-0.037,205492,205719,NW_019863129.1_205492_205719
LOC112051879,NW_019863109.1,-,SE,1.06E-10,0.328,251682,251990,NW_019863109.1_251682_251990
LOC112051879,NW_019863109.1,-,SE,2.82E-10,0.424,251682,252002,NW_019863109.1_251682_252002
