GeneID,chr,strand,SplicingType,FDR,delta_PSI,start,end,SID
LOC112051326,NW_019863075.1,-,SE,0.000138243,0.114,77003,77320,NW_019863075.1_77003_77320
LOC112050976,NW_019863054.1,-,SE,0.000384437,0.239,58002,58235,NW_019863054.1_58002_58235
LOC112050976,NW_019863054.1,-,SE,3.42E-10,0.075,58002,58235,NW_019863054.1_58002_58235
LOC112050976,NW_019863054.1,-,SE,0.021433653,0.014,58002,58265,NW_019863054.1_58002_58265
LOC112056812,NW_019863996.1,+,SE,0,-0.596,6923,7159,NW_019863996.1_6923_7159
LOC112050844,NW_019863046.1,-,SE,1.36E-12,0.095,102519,102797,NW_019863046.1_102519_102797
LOC112051285,NW_019863072.1,+,SE,0.005913537,-0.091,142440,142900,NW_019863072.1_142440_142900
LOC112051285,NW_019863072.1,+,SE,0.006913063,-0.02,191663,191950,NW_019863072.1_191663_191950
LOC112043636,NW_019862793.1,-,SE,0.017504843,-0.031,1219804,1220149,NW_019862793.1_1219804_1220149
LOC112043609,NW_019862793.1,+,SE,4.16E-06,-0.211,199648,199968,NW_019862793.1_199648_199968
LOC112043605,NW_019862793.1,+,SE,4.67E-13,-0.132,72653,72943,NW_019862793.1_72653_72943
LOC112053753,NW_019863278.1,+,SE,1.29E-05,-0.131,114739,115020,NW_019863278.1_114739_115020
LOC112051879,NW_019863109.1,-,SE,7.81E-07,-0.301,251682,251990,NW_019863109.1_251682_251990
LOC112051879,NW_019863109.1,-,SE,6.99E-06,-0.37,251682,252002,NW_019863109.1_251682_252002
LOC112051879,NW_019863109.1,-,SE,0.021433653,0.016,273788,274135,NW_019863109.1_273788_274135
LOC112051425,NW_019863082.1,+,SE,2.31E-12,-0.082,320430,320719,NW_019863082.1_320430_320719
LOC112043577,NW_019862792.1,+,SE,0.028789487,-0.031,1092975,1093286,NW_019862792.1_1092975_1093286
LOC112053613,NW_019863261.1,+,SE,0,0.212,196852,197436,NW_019863261.1_196852_197436
LOC112048194,NW_019862920.1,+,SE,0,0.162,586667,587074,NW_019862920.1_586667_587074
LOC112048194,NW_019862920.1,+,SE,1.18E-10,0.525,587385,589589,NW_019862920.1_587385_589589
LOC112044454,NW_019862751.1,-,SE,0.000319712,-0.224,334270,334494,NW_019862751.1_334270_334494
LOC112043601,NW_019862793.1,+,SE,0.000618181,0.1,1193710,1194106,NW_019862793.1_1193710_1194106
LOC112046459,NW_019862858.1,+,SE,0.001851139,-0.03,118726,119131,NW_019862858.1_118726_119131
LOC112046339,NW_019862855.1,-,SE,0,0.141,669691,670012,NW_019862855.1_669691_670012
LOC112046339,NW_019862855.1,-,SE,0,0.169,669691,670015,NW_019862855.1_669691_670015
LOC112043976,NW_019862750.1,-,SE,3.99E-09,0.473,2036804,2037130,NW_019862750.1_2036804_2037130
LOC112043976,NW_019862750.1,-,SE,1.59E-08,0.505,2036819,2037130,NW_019862750.1_2036819_2037130
LOC112043976,NW_019862750.1,-,SE,5.07E-08,0.507,2036831,2037130,NW_019862750.1_2036831_2037130
LOC112056185,NW_019863730.1,+,SE,0,-0.054,48740,49144,NW_019863730.1_48740_49144
LOC112058428,NW_019862776.1,-,SE,0.007248185,0.03,1076732,1077049,NW_019862776.1_1076732_1077049
LOC112058428,NW_019862776.1,-,SE,0.007320025,0.03,1076741,1077049,NW_019862776.1_1076741_1077049
LOC112049752,NW_019862987.1,-,SE,2.68E-05,0.101,691584,691817,NW_019862987.1_691584_691817
LOC112054078,NW_019863315.1,-,SE,5.04E-10,0.23,144195,144467,NW_019863315.1_144195_144467
LOC112046053,NW_019862748.1,-,SE,3.33E-05,0.036,1643072,1643379,NW_019862748.1_1643072_1643379
LOC112053531,NW_019863250.1,+,SE,0.000624236,0.246,168337,168741,NW_019863250.1_168337_168741
LOC112046832,NW_019862872.1,+,SE,0,-0.486,395048,395422,NW_019862872.1_395048_395422
LOC112054660,NW_019863391.1,-,SE,0.001934097,-0.401,184703,184939,NW_019863391.1_184703_184939
LOC112054469,NW_019863361.1,-,SE,0,0.155,135325,135602,NW_019863361.1_135325_135602
LOC112042896,NW_019862749.1,-,SE,1.62E-07,-0.052,2199971,2200196,NW_019862749.1_2199971_2200196
LOC112051118,NW_019862757.1,-,SE,0,-0.631,1541784,1542041,NW_019862757.1_1541784_1542041
LOC112045704,NW_019862838.1,+,SE,1.17E-05,0.06,612889,613280,NW_019862838.1_612889_613280
LOC112051535,NW_019863088.1,+,SE,0,0.407,360374,361283,NW_019863088.1_360374_361283
LOC112046844,NW_019862873.1,+,SE,0.010593545,0.049,181144,181540,NW_019862873.1_181144_181540
LOC112052394,NW_019863145.1,+,SE,1.63E-05,0.099,15070,15372,NW_019863145.1_15070_15372
LOC112042922,NW_019862782.1,+,SE,0.017686448,-0.107,312611,312877,NW_019862782.1_312611_312877
