Chr	start	end	width	meanMeth1	meanMeth2	diffMeth	areaStat	annotation	geneId	transcriptId	distanceToTSS	Sample
NW_019862963.1	398922	399015	94	0.102490607	0.36984445	-0.267353843	-9.594865118	3'UTR	LOC112049201	XM_024087000.1	5750	P15_vs_P50_5mC_DMR
NW_019863634.1	23168	23193	26	0.510524012	0.342849182	0.167674831	13.97950107	3'UTR	LOC112055847	XM_024096118.1	-6766	P15_vs_P50_5mC_DMR
NW_019862827.1	787952	788042	91	0.415163862	0.234711634	0.180452228	25.34392672	3'UTR	LOC112045249	XM_024081361.1	10586	P15_vs_P50_5mC_DMR
NW_019862841.1	810841	811008	168	0.598337417	0.41343633	0.184901087	38.09087432	3'UTR	LOC112045809	XM_024082157.1	1976	P15_vs_P50_5mC_DMR
NW_019863090.1	283573	283611	39	0.631611408	0.434066376	0.197545033	14.08844306	3'UTR	LOC112051598	XM_024090314.1	2440	P15_vs_P50_5mC_DMR
NW_019863090.1	283752	283772	21	0.627835954	0.426230547	0.201605408	9.856289662	3'UTR	LOC112051598	XM_024090314.1	2279	P15_vs_P50_5mC_DMR
NW_019862782.1	345805	345842	38	0.548332717	0.340201169	0.208131547	8.919535875	3'UTR	LOC112042924	XM_024078130.1	1844	P15_vs_P50_5mC_DMR
NW_019863206.1	58256	58367	112	0.471951818	0.254002612	0.217949206	11.94710809	3'UTR	LOC112053105	XM_024092404.1	2555	P15_vs_P50_5mC_DMR
NW_019863453.1	94706	94824	119	0.484037941	0.262334002	0.221703938	13.82960156	3'UTR	LOC112055061	XM_024095048.1	10543	P15_vs_P50_5mC_DMR
NW_019863453.1	94861	95111	251	0.521799588	0.299926534	0.221873055	29.82838048	3'UTR	LOC112055061	XM_024095048.1	10256	P15_vs_P50_5mC_DMR
NW_019862827.1	788192	788245	54	0.443877625	0.214923044	0.228954581	9.704509133	3'UTR	LOC112045249	XM_024081361.1	10826	P15_vs_P50_5mC_DMR
NW_019863090.1	74736	74865	130	0.441727747	0.202204113	0.239523634	11.06797466	3'UTR	LOC112051579	XM_024090294.1	3665	P15_vs_P50_5mC_DMR
NW_019862846.1	298019	298523	505	0.439673614	0.198892797	0.240780817	52.04871738	3'UTR	LOC112046063	XM_024082531.1	1593	P15_vs_P50_5mC_DMR
NW_019863104.1	84483	84732	250	0.502151464	0.25770678	0.244444683	30.67449783	3'UTR	LOC112051796	XM_024090589.1	3053	P15_vs_P50_5mC_DMR
NW_019863634.1	13133	13169	37	0.611188242	0.357436765	0.253751477	28.01454167	3'UTR	LOC112055843	XM_024096115.1	2433	P15_vs_P50_5mC_DMR
NW_019862901.1	366821	368293	1473	0.679235542	0.423406907	0.255828635	344.586164	3'UTR	LOC112047685	XM_024084887.1	1116	P15_vs_P50_5mC_DMR
NW_019862755.1	259183	259631	449	0.550221699	0.282926404	0.267295296	121.5688648	3'UTR	LOC112048605	XM_024086216.1	13576	P15_vs_P50_5mC_DMR
NW_019862916.1	612038	612331	294	0.67829837	0.406715976	0.271582394	53.6020467	3'UTR	LOC112048100	XM_024085481.1	1499	P15_vs_P50_5mC_DMR
NW_019862788.1	651879	652395	517	0.603852424	0.331687003	0.272165421	45.79962835	3'UTR	LOC112043304	XM_024078640.1	2882	P15_vs_P50_5mC_DMR
NW_019862845.1	206630	207020	391	0.495634664	0.212455171	0.283179493	12.99477702	3'UTR	LOC112046003	XM_024082445.1	11755	P15_vs_P50_5mC_DMR
NW_019862759.1	599134	599333	200	0.721608378	0.437618367	0.283990011	36.87158243	3'UTR	LOC112052704	XM_024091887.1	2212	P15_vs_P50_5mC_DMR
NW_019863137.1	245020	245711	692	0.745687531	0.461262277	0.284425254	75.40629114	3'UTR	LOC112052266	XM_024091276.1	1067	P15_vs_P50_5mC_DMR
NW_019863130.1	71520	71594	75	0.433434844	0.136346824	0.29708802	8.555049335	3'UTR	LOC112052140	XM_024091090.1	2728	P15_vs_P50_5mC_DMR
NW_019862941.1	580959	581168	210	0.735960539	0.418553443	0.317407096	33.74212172	3'UTR	LOC112048722	XM_024086372.1	1616	P15_vs_P50_5mC_DMR
NW_019862806.1	36401	36848	448	0.66377089	0.333363925	0.330406964	189.8734881	3'UTR	LOC112044282	XM_024080082.1	599	P15_vs_P50_5mC_DMR
NW_019862800.1	213558	215397	1840	0.56905896	0.226751046	0.342307914	164.1135519	3'UTR	LOC112043906	XM_024079570.1	-2245	P15_vs_P50_5mC_DMR
NW_019862859.1	20582	20855	274	0.533441731	0.171907512	0.361534218	22.15550395	3'UTR	LOC112046491	XM_024083124.1	2508	P15_vs_P50_5mC_DMR
NW_019862987.1	294707	294835	129	0.57985766	0.190677432	0.389180228	42.80285689	3'UTR	LOC112049730	XM_024087745.1	1527	P15_vs_P50_5mC_DMR
NW_019862915.1	471674	472098	425	0.677451206	0.449951329	0.227499877	23.16323344	5'UTR	LOC112048084	XM_024085458.1	2275	P15_vs_P50_5mC_DMR
NW_019863447.1	64363	64577	215	0.541151922	0.298306051	0.242845871	13.48979807	5'UTR	LOC112055014	XM_024094980.1	5275	P15_vs_P50_5mC_DMR
NW_019863049.1	17146	17375	230	0.675366326	0.399431827	0.275934499	88.48167759	5'UTR	LOC112050893	XM_024089296.1	1323	P15_vs_P50_5mC_DMR
NW_019862805.1	988185	988412	228	0.704948613	0.428562916	0.276385697	18.46860929	5'UTR	LOC112044233	XM_024079999.1	959	P15_vs_P50_5mC_DMR
NW_019862786.1	1315046	1315131	86	0.665296073	0.38746542	0.277830653	46.90996108	5'UTR	LOC112043172	XM_024078476.1	1533	P15_vs_P50_5mC_DMR
NW_019862756.1	185088	185463	376	0.59103103	0.304412282	0.286618748	21.48237594	5'UTR	LOC112049660	XM_024087659.1	831	P15_vs_P50_5mC_DMR
NW_019862809.1	497870	497922	53	0.657836931	0.185168627	0.472668304	13.26622565	5'UTR	LOC112044439	XM_024080285.1	799	P15_vs_P50_5mC_DMR
NW_019863523.1	70749	70825	77	0.12152883	0.380782323	-0.259253493	-10.32897087	Intergenic	LOC112055432	XM_024095549.1	-3074	P15_vs_P50_5mC_DMR
NW_019863390.1	40361	40429	69	0.168767273	0.317862977	-0.149095704	-24.81549346	Intergenic	LOC112054645	XR_002887457.1	1398	P15_vs_P50_5mC_DMR
NW_019862771.1	1269522	1269544	23	0.186236573	0.330939733	-0.14470316	-11.91406157	Intergenic	nbis-pseudo174	gene-LOC112058132	1474	P15_vs_P50_5mC_DMR
NW_019862950.1	373443	373484	42	0.176487349	0.28741931	-0.110931961	-13.3761729	Intergenic	LOC112048892	XM_024086594.1	-48309	P15_vs_P50_5mC_DMR
NW_019862950.1	372450	372496	47	0.159914336	0.270535952	-0.110621616	-13.65468989	Intergenic	LOC112048892	XM_024086594.1	-47316	P15_vs_P50_5mC_DMR
NW_019863106.1	75575	75673	99	0.148359013	0.078287901	0.070071113	53.40972572	Intergenic	LOC112051825	XR_002887266.1	2412	P15_vs_P50_5mC_DMR
NW_019862749.1	2842943	2843101	159	0.289006109	0.158874277	0.130131832	15.70412578	Intergenic	LOC112043135	XM_024078422.1	-2149	P15_vs_P50_5mC_DMR
