GeneID,chr,strand,SplicingType,FDR,delta_PSI,start,end,SID
LOC112051326,NW_019863075.1,-,SE,0.00257565,0.065,77003,77320,NW_019863075.1_77003_77320
LOC112050976,NW_019863054.1,-,SE,3.49E-07,-0.171,55060,55308,NW_019863054.1_55060_55308
LOC112050976,NW_019863054.1,-,SE,8.52E-07,-0.054,55060,55308,NW_019863054.1_55060_55308
LOC112050976,NW_019863054.1,-,SE,9.19E-05,-0.353,56017,56238,NW_019863054.1_56017_56238
LOC112050976,NW_019863054.1,-,SE,1.34E-13,0.314,58002,58235,NW_019863054.1_58002_58235
LOC112050976,NW_019863054.1,-,SE,0,0.142,58002,58235,NW_019863054.1_58002_58235
LOC112050976,NW_019863054.1,-,SE,2.34E-07,0.11,58002,58265,NW_019863054.1_58002_58265
LOC112050976,NW_019863054.1,-,SE,1.21E-10,0.04,58002,58265,NW_019863054.1_58002_58265
LOC112044451,NW_019862809.1,+,SE,0.004260824,-0.033,972800,973083,NW_019862809.1_972800_973083
LOC112056812,NW_019863996.1,+,SE,5.85E-13,-0.52,6923,7159,NW_019863996.1_6923_7159
LOC112043486,NW_019862791.1,-,SE,1.44E-06,0.486,1196961,1197230,NW_019862791.1_1196961_1197230
LOC112050844,NW_019863046.1,-,SE,1.74E-07,0.068,102519,102797,NW_019863046.1_102519_102797
LOC112054984,NW_019863443.1,+,SE,0.016099394,0.072,110869,111177,NW_019863443.1_110869_111177
LOC112051285,NW_019863072.1,+,SE,9.95E-07,-0.237,142440,142900,NW_019863072.1_142440_142900
LOC112043606,NW_019862793.1,-,SE,0.003516068,0.15,89271,89642,NW_019862793.1_89271_89642
LOC112043605,NW_019862793.1,+,SE,5.65E-14,-0.212,72653,72943,NW_019862793.1_72653_72943
LOC112053753,NW_019863278.1,+,SE,0.013388575,-0.025,114739,115020,NW_019863278.1_114739_115020
LOC112051879,NW_019863109.1,-,SE,0.007359983,-0.078,261884,262135,NW_019863109.1_261884_262135
LOC112051879,NW_019863109.1,-,SE,0.010901665,0.036,273788,274135,NW_019863109.1_273788_274135
