Chr	start	end	width	meanMeth1	meanMeth2	diffMeth	areaStat	annotation	geneId	transcriptId	distanceToTSS	Sample
NW_019862810.1	1162606	1162626	21	0.145675291	0.45335774	-0.307682448	-11.82400297	3'UTR	LOC112044504	XM_024080382.1	5717	WP_vs_P15_5mC_DMR
NW_019863082.1	64020	64051	32	0.273234983	0.577177592	-0.303942609	-10.23991685	3'UTR	LOC112051432	XM_024090065.1	2677	WP_vs_P15_5mC_DMR
NW_019862785.1	983315	983664	350	0.144510979	0.394715662	-0.250204684	-12.75092675	3'UTR	LOC112043099	XM_024078374.1	2463	WP_vs_P15_5mC_DMR
NW_019862845.1	206856	207099	244	0.235871567	0.484235315	-0.248363748	-16.09971218	3'UTR	LOC112046003	XM_024082445.1	11981	WP_vs_P15_5mC_DMR
NW_019862999.1	105006	105093	88	0.109394097	0.322291894	-0.212897797	-15.97428631	3'UTR	LOC112049961	XM_024088035.1	5442	WP_vs_P15_5mC_DMR
NW_019862962.1	252015	252260	246	0.102087272	0.313019401	-0.210932129	-40.48436276	3'UTR	LOC112049174	XM_024086971.1	-5482	WP_vs_P15_5mC_DMR
NW_019863835.1	26156	26595	440	0.238812305	0.449034779	-0.210222474	-71.70008129	3'UTR	LOC112056474	XM_024096910.1	2759	WP_vs_P15_5mC_DMR
NW_019863062.1	278913	279064	152	0.320499935	0.494432067	-0.173932132	-17.60295969	3'UTR	LOC112051082	XM_024089560.1	9177	WP_vs_P15_5mC_DMR
NW_019863088.1	150497	150583	87	0.244388657	0.406026663	-0.161638005	-21.45735978	3'UTR	LOC112051540	XM_024090229.1	15264	WP_vs_P15_5mC_DMR
NW_019862775.1	571368	571827	460	0.526537642	0.566611409	-0.040073767	1.302079742	3'UTR	LOC112058360	XM_024099130.1	1251	WP_vs_P15_5mC_DMR
NW_019862848.1	160244	160368	125	0.817027276	0.674151042	0.142876234	43.64753129	3'UTR	LOC112046120	XM_024082620.1	1040	WP_vs_P15_5mC_DMR
NW_019863450.1	124769	125079	311	0.607608302	0.448247965	0.159360337	110.8854292	3'UTR	LOC112055034	XM_024095012.1	1400	WP_vs_P15_5mC_DMR
NW_019863352.1	130347	130494	148	0.633866093	0.472377816	0.161488278	41.32188216	3'UTR	LOC112054375	XM_024094146.1	4566	WP_vs_P15_5mC_DMR
NW_019862891.1	475271	475295	25	0.526134638	0.363890904	0.162243734	14.32322911	3'UTR	LOC112047404	XM_024084521.1	3075	WP_vs_P15_5mC_DMR
NW_019863053.1	355749	356176	428	0.357659478	0.188106029	0.169553449	67.46261901	3'UTR	LOC112050968	XM_024089388.1	4977	WP_vs_P15_5mC_DMR
NW_019862768.1	1258521	1258568	48	0.775424763	0.604787899	0.170636864	19.9985494	3'UTR	LOC112057890	XM_024098479.1	19709	WP_vs_P15_5mC_DMR
