Chr	start	end	width	meanMeth1	meanMeth2	diffMeth	areaStat	annotation	geneId	transcriptId	distanceToTSS	Sample
NW_019862835.1	552296	552578	283	0.231937869	0.642461621	-0.410523752	-20.87087911	3'UTR	LOC112045556	XM_024081783.1	2418	W60_vs_WP_5mC_DMR
NW_019863151.1	87241	87282	42	0.239992527	0.587844634	-0.347852106	-13.82878309	3'UTR	LOC112052481	XM_024091580.1	5930	W60_vs_WP_5mC_DMR
NW_019862848.1	316287	316512	226	0.458589361	0.804901245	-0.346311884	-59.87738781	3'UTR	LOC112046109	XM_024082610.1	872	W60_vs_WP_5mC_DMR
NW_019863916.1	63182	64131	950	0.262145893	0.605355438	-0.343209545	-23.48903265	3'UTR	LOC112056630	XM_024097082.1	1217	W60_vs_WP_5mC_DMR
NW_019863233.1	221187	221265	79	0.430490025	0.764360146	-0.333870121	-13.50846485	3'UTR	LOC112053348	XM_024092740.1	3828	W60_vs_WP_5mC_DMR
NW_019862760.1	513552	516841	3290	0.370474565	0.699236866	-0.328762301	-95.93830441	3'UTR	LOC112053738	XM_024093273.1	984	W60_vs_WP_5mC_DMR
NW_019862850.1	282541	283035	495	0.575622683	0.901305002	-0.325682319	-25.9777092	3'UTR	LOC112046221	XM_024082792.1	1593	W60_vs_WP_5mC_DMR
NW_019862822.1	1064634	1064740	107	0.492052158	0.816590106	-0.324537948	-37.58767244	3'UTR	LOC112045024	XM_024081060.1	2679	W60_vs_WP_5mC_DMR
NW_019862795.1	308319	308983	665	0.436948434	0.75943722	-0.322488786	-88.35898994	3'UTR	LOC112043706	XM_024079228.1	863	W60_vs_WP_5mC_DMR
NW_019863467.1	91091	91248	158	0.360363529	0.678949012	-0.318585483	-33.96719076	3'UTR	LOC112055153	XM_024095156.1	1108	W60_vs_WP_5mC_DMR
NW_019863185.1	294419	294498	80	0.281064169	0.59769435	-0.316630181	-21.54845166	3'UTR	LOC112052898	XM_024092140.1	4220	W60_vs_WP_5mC_DMR
NW_019862753.1	1326524	1326739	216	0.496458935	0.811161002	-0.314702066	-15.14282224	3'UTR	LOC112047046	XM_024083959.1	2048	W60_vs_WP_5mC_DMR
NW_019863039.1	117638	118386	749	0.47751743	0.787628001	-0.31011057	-16.3233946	3'UTR	LOC112050712	XM_024089048.1	1848	W60_vs_WP_5mC_DMR
NW_019862778.1	55516	55538	23	0.377862277	0.684443911	-0.306581635	-9.216365438	3'UTR	LOC112058586	XM_024099493.1	2691	W60_vs_WP_5mC_DMR
NW_019863241.1	222839	223259	421	0.330336402	0.636542805	-0.306206403	-150.3568504	3'UTR	LOC112053445	XM_024092849.1	4401	W60_vs_WP_5mC_DMR
NW_019863289.1	92721	95669	2949	0.481902993	0.785575287	-0.303672294	-30.86290305	3'UTR	LOC112053854	XM_024093440.1	1574	W60_vs_WP_5mC_DMR
NW_019862805.1	1025094	1025271	178	0.513741942	0.817041174	-0.303299232	-23.36895767	3'UTR	LOC112044239	XM_024080007.1	1713	W60_vs_WP_5mC_DMR
NW_019862768.1	1839591	1839919	329	0.28251195	0.585431202	-0.302919252	-40.2723028	3'UTR	LOC112057906	XM_024098515.1	16291	W60_vs_WP_5mC_DMR
NW_019862778.1	54985	55494	510	0.3819394	0.67921972	-0.29728032	-11.21788836	3'UTR	LOC112058586	XM_024099493.1	2160	W60_vs_WP_5mC_DMR
NW_019862817.1	8662	8863	202	0.39554583	0.68616576	-0.290619931	-38.44771546	3'UTR	LOC112044808	XM_024080775.1	6977	W60_vs_WP_5mC_DMR
NW_019862916.1	105491	105896	406	0.467802642	0.749618896	-0.281816254	-31.94744032	3'UTR	LOC112048090	XM_024085468.1	2936	W60_vs_WP_5mC_DMR
NW_019863086.1	211411	211629	219	0.360689709	0.641192069	-0.28050236	-13.67309672	3'UTR	LOC112051513	XM_024090185.1	737	W60_vs_WP_5mC_DMR
NW_019862880.1	108176	108372	197	0.439297672	0.718117485	-0.278819813	-9.613672288	3'UTR	LOC112047006	XM_024083895.1	3257	W60_vs_WP_5mC_DMR
NW_019862748.1	1577461	1578216	756	0.429560278	0.703333783	-0.273773505	-79.76570656	3'UTR	LOC112045586	XM_024081879.1	1073	W60_vs_WP_5mC_DMR
NW_019862853.1	842992	843151	160	0.383552058	0.653848223	-0.270296165	-33.1011703	3'UTR	LOC112046272	XM_024082873.1	3312	W60_vs_WP_5mC_DMR
NW_019862790.1	663588	663973	386	0.471463059	0.741409123	-0.269946063	-76.93907218	3'UTR	LOC112043428	XM_024078834.1	2439	W60_vs_WP_5mC_DMR
NW_019863350.1	35940	36137	198	0.50637092	0.768990589	-0.262619669	-13.52305686	3'UTR	LOC112054361	XM_024094132.1	1325	W60_vs_WP_5mC_DMR
NW_019862759.1	599620	600120	501	0.52498837	0.785577906	-0.260589536	-178.7139409	3'UTR	LOC112052704	XM_024091887.1	1425	W60_vs_WP_5mC_DMR
NW_019862763.1	2083004	2083309	306	0.567316533	0.824251719	-0.256935186	-26.85239176	3'UTR	LOC112056557	XM_024096998.1	2376	W60_vs_WP_5mC_DMR
NW_019862777.1	901788	902613	826	0.563400588	0.817858248	-0.25445766	-90.87629434	3'UTR	LOC112058478	XM_024099342.1	817	W60_vs_WP_5mC_DMR
NW_019862748.1	1868269	1868426	158	0.523240733	0.776290311	-0.253049578	-24.25647904	3'UTR	LOC112057681	XM_024098188.1	1316	W60_vs_WP_5mC_DMR
NW_019863338.1	126472	127028	557	0.493537999	0.745510228	-0.251972229	-188.1252552	3'UTR	LOC112054291	XM_024094000.1	1588	W60_vs_WP_5mC_DMR
NW_019862817.1	151226	151521	296	0.4441959	0.688765308	-0.244569409	-54.29069962	3'UTR	LOC112044807	XM_024080774.1	724	W60_vs_WP_5mC_DMR
NW_019862893.1	660125	660446	322	0.554836932	0.798705755	-0.243868823	-118.1086811	3'UTR	LOC112047435	XM_024084560.1	1049	W60_vs_WP_5mC_DMR
NW_019863088.1	130573	130978	406	0.441164431	0.683594151	-0.24242972	-61.50291721	3'UTR	LOC112051543	XM_024090232.1	1946	W60_vs_WP_5mC_DMR
NW_019863216.1	42983	43264	282	0.184129835	0.425140617	-0.241010782	-27.93585889	3'UTR	LOC112053191	XM_024092518.1	3839	W60_vs_WP_5mC_DMR
NW_019862760.1	336512	336836	325	0.44793444	0.680536742	-0.232602302	-114.9635801	3'UTR	LOC112053628	XM_024093108.1	1270	W60_vs_WP_5mC_DMR
NW_019862853.1	842940	842960	21	0.375487061	0.607635436	-0.232148375	-12.56298851	3'UTR	LOC112046272	XM_024082873.1	3260	W60_vs_WP_5mC_DMR
NW_019862882.1	263626	264147	522	0.456161031	0.687492908	-0.231331877	-181.8343916	3'UTR	LOC112047118	XM_024084041.1	-2106	W60_vs_WP_5mC_DMR
NW_019862753.1	208247	208333	87	0.308676676	0.537410361	-0.228733685	-11.59393243	3'UTR	LOC112046594	XM_024083286.1	6418	W60_vs_WP_5mC_DMR
NW_019862799.1	687528	687627	100	0.303268513	0.531589957	-0.228321443	-24.90876894	3'UTR	LOC112043846	XM_024079467.1	2266	W60_vs_WP_5mC_DMR
NW_019862768.1	1258226	1258527	302	0.529398975	0.756057719	-0.226658744	-89.49398298	3'UTR	LOC112057890	XM_024098479.1	19414	W60_vs_WP_5mC_DMR
NW_019862758.1	2343275	2343905	631	0.606360483	0.831823815	-0.225463332	-110.3354144	3'UTR	LOC112052124	XM_024091071.1	1573	W60_vs_WP_5mC_DMR
NW_019863526.1	96341	96762	422	0.225702032	0.446384759	-0.220682727	-52.34643503	3'UTR	LOC112055456	XM_024095579.1	3670	W60_vs_WP_5mC_DMR
NW_019862884.1	329927	329953	27	0.367504469	0.586730857	-0.219226387	-16.68367667	3'UTR	LOC112047206	XM_024084233.1	1988	W60_vs_WP_5mC_DMR
NW_019863108.1	208970	209211	242	0.06626513	0.284887375	-0.218622245	-14.56740773	3'UTR	LOC112051871	XM_024090685.1	4920	W60_vs_WP_5mC_DMR
NW_019862841.1	693883	694030	148	0.450199047	0.66804413	-0.217845084	-13.73154339	3'UTR	LOC112045806	XM_024082150.1	5326	W60_vs_WP_5mC_DMR
NW_019863624.1	68732	68800	69	0.455938073	0.672735578	-0.216797505	-8.811213602	3'UTR	LOC112055823	XM_024096069.1	2937	W60_vs_WP_5mC_DMR
NW_019862753.1	1190270	1190360	91	0.437655605	0.65387131	-0.216215705	-9.260206669	3'UTR	LOC112046875	XM_024083704.1	4914	W60_vs_WP_5mC_DMR
NW_019862872.1	331088	331173	86	0.467813895	0.67939015	-0.211576255	-48.60297549	3'UTR	LOC112046822	XM_024083631.1	11559	W60_vs_WP_5mC_DMR
NW_019862884.1	230838	230869	32	0.344932083	0.555136942	-0.210204859	-15.52617449	3'UTR	LOC112047191	XM_024084210.1	2655	W60_vs_WP_5mC_DMR
NW_019862750.1	1518154	1518186	33	0.365134686	0.574348832	-0.209214146	-14.63214332	3'UTR	LOC112043810	XM_024079411.1	1515	W60_vs_WP_5mC_DMR
NW_019862820.1	583838	584077	240	0.184277474	0.393126886	-0.208849413	-18.17290999	3'UTR	LOC112044921	XR_002886777.1	-4384	W60_vs_WP_5mC_DMR
NW_019863145.1	116163	116575	413	0.550673549	0.758929542	-0.208255993	-18.29551755	3'UTR	LOC112052396	XM_024091447.1	1125	W60_vs_WP_5mC_DMR
NW_019862749.1	1785966	1786324	359	0.367815933	0.570158093	-0.20234216	-64.64703755	3'UTR	LOC112043301	XM_024078639.1	2046	W60_vs_WP_5mC_DMR
NW_019862973.1	346298	346654	357	0.510697175	0.710328854	-0.19963168	-111.435721	3'UTR	LOC112049440	XM_024087315.1	887	W60_vs_WP_5mC_DMR
NW_019863062.1	277422	277443	22	0.088101254	0.28612246	-0.198021207	-19.1154885	3'UTR	LOC112051082	XM_024089560.1	10798	W60_vs_WP_5mC_DMR
NW_019863107.1	156083	157118	1036	0.231322967	0.429075656	-0.197752689	-98.53551044	3'UTR	LOC112051842	XM_024090655.1	3863	W60_vs_WP_5mC_DMR
NW_019863325.1	39774	39975	202	0.130363357	0.327526539	-0.197163182	-38.16341426	3'UTR	LOC112054157	XM_024093838.1	4327	W60_vs_WP_5mC_DMR
NW_019862756.1	1806100	1806473	374	0.489410199	0.685459619	-0.19604942	-27.35789341	3'UTR	LOC112050396	XM_024088662.1	1919	W60_vs_WP_5mC_DMR
NW_019862928.1	95634	95801	168	0.466136522	0.661659648	-0.195523126	-78.9871222	3'UTR	LOC112048383	XM_024085894.1	1421	W60_vs_WP_5mC_DMR
NW_019862843.1	953424	953467	44	0.43274094	0.625071796	-0.192330857	-11.90390772	3'UTR	LOC112045899	XM_024082281.1	2772	W60_vs_WP_5mC_DMR
NW_019862804.1	527274	527304	31	0.576114552	0.763684492	-0.18756994	-18.4593131	3'UTR	LOC112044153	XM_024079897.1	988	W60_vs_WP_5mC_DMR
NW_019862983.1	383713	383778	66	0.423707625	0.609838399	-0.186130774	-18.40060896	3'UTR	LOC112049663	XM_024087646.1	6521	W60_vs_WP_5mC_DMR
NW_019862872.1	331272	331294	23	0.490340368	0.675013814	-0.184673447	-21.50811359	3'UTR	LOC112046822	XM_024083631.1	11438	W60_vs_WP_5mC_DMR
NW_019863015.1	490208	490270	63	0.091760805	0.267207826	-0.17544702	-19.24395386	3'UTR	LOC112050275	XM_024088504.1	-5096	W60_vs_WP_5mC_DMR
NW_019863068.1	366319	366643	325	0.317183564	0.490136558	-0.172952995	-73.37884298	3'UTR	LOC112051202	XM_024089739.1	5066	W60_vs_WP_5mC_DMR
NW_019862918.1	641855	641875	21	0.287526403	0.459570529	-0.172044126	-18.12388976	3'UTR	LOC112048142	XM_024085545.1	7946	W60_vs_WP_5mC_DMR
NW_019863048.1	327776	328156	381	0.17899156	0.350004624	-0.171013064	-59.78918206	3'UTR	LOC112050884	XM_024089285.1	4481	W60_vs_WP_5mC_DMR
NW_019862759.1	948453	948744	292	0.121009126	0.290029087	-0.169019961	-30.31015156	3'UTR	LOC112052855	XM_024092097.1	10524	W60_vs_WP_5mC_DMR
NW_019863280.1	140581	140626	46	0.615924279	0.783847828	-0.167923549	-17.68349891	3'UTR	LOC112053768	XM_024093322.1	1220	W60_vs_WP_5mC_DMR
NW_019862918.1	642041	642067	27	0.311307148	0.472681941	-0.161374794	-14.37713783	3'UTR	LOC112048142	XM_024085545.1	7754	W60_vs_WP_5mC_DMR
NW_019862776.1	1153943	1153992	50	0.256252018	0.41718457	-0.160932552	-14.31500942	3'UTR	LOC112058431	XM_024099273.1	-4232	W60_vs_WP_5mC_DMR
NW_019862759.1	599134	599172	39	0.687627311	0.847433729	-0.159806418	-22.43856785	3'UTR	LOC112052704	XM_024091887.1	2373	W60_vs_WP_5mC_DMR
NW_019862768.1	1484182	1484355	174	0.084452453	0.238493013	-0.15404056	-31.89766726	3'UTR	LOC112057918	XM_024098531.1	-2152	W60_vs_WP_5mC_DMR
NW_019863107.1	407157	407245	89	0.447565832	0.598612041	-0.151046209	-20.7717717	3'UTR	LOC112051841	XM_024090654.1	12655	W60_vs_WP_5mC_DMR
NW_019863352.1	130427	130476	50	0.492976016	0.63730375	-0.144327734	-24.87384916	3'UTR	LOC112054375	XM_024094146.1	4584	W60_vs_WP_5mC_DMR
NW_019862848.1	160272	160368	97	0.681894807	0.824649468	-0.142754661	-24.04531758	3'UTR	LOC112046120	XM_024082620.1	1068	W60_vs_WP_5mC_DMR
NW_019863450.1	124950	124998	49	0.464600086	0.605667555	-0.141067468	-24.65469817	3'UTR	LOC112055034	XM_024095012.1	1481	W60_vs_WP_5mC_DMR
NW_019862803.1	360157	360297	141	0.364934444	0.256556879	0.108377565	37.74344661	3'UTR	LOC112044087	XM_024079824.1	1774	W60_vs_WP_5mC_DMR
NW_019863634.1	15328	15439	112	0.335391878	0.189071205	0.146320672	15.01261156	3'UTR	LOC112055843	XM_024096115.1	4628	W60_vs_WP_5mC_DMR
NW_019863088.1	150511	150583	73	0.395994238	0.244255403	0.151738835	24.17895604	3'UTR	LOC112051540	XM_024090229.1	15278	W60_vs_WP_5mC_DMR
NW_019862809.1	1152132	1152178	47	0.350528926	0.174262761	0.176266165	28.31488027	3'UTR	LOC112044434	XM_024080274.1	2955	W60_vs_WP_5mC_DMR
NW_019863061.1	93628	94553	926	0.335586955	0.142576038	0.193010917	33.65176196	3'UTR	LOC112051067	XM_024089539.1	5578	W60_vs_WP_5mC_DMR
NW_019863155.1	40949	40973	25	0.38086931	0.18779956	0.193069751	9.967222997	3'UTR	LOC112052535	XM_024091655.1	4097	W60_vs_WP_5mC_DMR
NW_019862818.1	979324	979563	240	0.529622955	0.329627056	0.199995899	56.57119697	3'UTR	LOC112044814	XM_024080784.1	4515	W60_vs_WP_5mC_DMR
NW_019862767.1	1707859	1707988	130	0.340287181	0.1232705	0.217016681	23.75464325	3'UTR	LOC112057848	XM_024098408.1	-8558	W60_vs_WP_5mC_DMR
NW_019862799.1	636360	636590	231	0.34382317	0.106724233	0.237098937	14.17807296	3'UTR	LOC112043843	XM_024079462.1	-2909	W60_vs_WP_5mC_DMR
NW_019863157.1	191771	191794	24	0.435346029	0.190590725	0.244755304	11.10784597	3'UTR	LOC112052548	XM_024091674.1	3267	W60_vs_WP_5mC_DMR
NW_019862793.1	246746	247098	353	0.437268839	0.191008878	0.24625996	30.44850059	3'UTR	LOC112043614	XM_024079109.1	-4315	W60_vs_WP_5mC_DMR
NW_019862813.1	41965	42053	89	0.390761521	0.133131592	0.257629929	26.49512145	3'UTR	LOC112044612	XM_024080497.1	1732	W60_vs_WP_5mC_DMR
NW_019862782.1	335581	335779	199	0.394266945	0.102416346	0.2918506	15.66624271	3'UTR	LOC112042923	XM_024078129.1	7680	W60_vs_WP_5mC_DMR
NW_019863326.1	112406	112625	220	0.48815477	0.185848979	0.302305792	42.47966451	3'UTR	LOC112054180	XM_024093869.1	4975	W60_vs_WP_5mC_DMR
NW_019862776.1	1717196	1717771	576	0.663300763	0.284526966	0.378773797	11.55105913	3'UTR	LOC112058451	XM_024099305.1	6534	W60_vs_WP_5mC_DMR
NW_019863090.1	66344	66389	46	0.338399453	0.674469316	-0.336069863	-20.9789398	5'UTR	LOC112051573	XM_024090284.1	739	W60_vs_WP_5mC_DMR
NW_019864036.1	21132	21528	397	0.503306391	0.806620239	-0.303313848	-65.72254812	5'UTR	LOC112056860	XM_024097345.1	1098	W60_vs_WP_5mC_DMR
NW_019862878.1	922844	922892	49	0.483065708	0.76289538	-0.279829671	-22.76548327	5'UTR	LOC112046950	XM_024083815.1	684	W60_vs_WP_5mC_DMR
NW_019862758.1	1776578	1777134	557	0.295042201	0.546390117	-0.251347916	-26.85512759	5'UTR	LOC112051866	XM_024090690.1	673	W60_vs_WP_5mC_DMR
NW_019863714.1	36548	37440	893	0.23545824	0.477717511	-0.242259271	-53.15996993	5'UTR	LOC112056125	XM_024096477.1	622	W60_vs_WP_5mC_DMR
NW_019862767.1	251516	251721	206	0.636045333	0.8745192	-0.238473867	-26.5357945	5'UTR	LOC112057819	XM_024098364.1	957	W60_vs_WP_5mC_DMR
NW_019862753.1	1196994	1197144	151	0.635716942	0.859929966	-0.224213024	-61.10806148	5'UTR	LOC112046888	XM_024083735.1	997	W60_vs_WP_5mC_DMR
NW_019862849.1	730331	730517	187	0.522140826	0.745103355	-0.222962528	-8.243806156	5'UTR	LOC112046139	XM_024082647.1	978	W60_vs_WP_5mC_DMR
NW_019863155.1	177232	177468	237	0.438796481	0.660947206	-0.222150726	-49.76527104	5'UTR	LOC112052522	XM_024091636.1	692	W60_vs_WP_5mC_DMR
NW_019863001.1	473426	473753	328	0.545638286	0.758417652	-0.212779366	-29.28168327	5'UTR	LOC112050009	XM_024088120.1	2955	W60_vs_WP_5mC_DMR
NW_019862767.1	1099576	1100169	594	0.4218723	0.628807952	-0.206935652	-85.48528353	5'UTR	LOC112057843	XM_024098399.1	701	W60_vs_WP_5mC_DMR
NW_019862968.1	196191	196374	184	0.183197801	0.385133152	-0.201935351	-31.35505069	5'UTR	LOC112049326	XM_024087176.1	3611	W60_vs_WP_5mC_DMR
