GeneID,chr,strand,SplicingType,FDR,delta_PSI,start,end,SID
LOC112051326,NW_019863075.1,-,SE,0.048122295,-0.03,77003,77320,NW_019863075.1_77003_77320
LOC112050976,NW_019863054.1,-,SE,3.20E-08,0.062,55060,55308,NW_019863054.1_55060_55308
LOC112050976,NW_019863054.1,-,SE,0.006528792,0.242,56017,56238,NW_019863054.1_56017_56238
LOC112050976,NW_019863054.1,-,SE,0,-0.462,58002,58235,NW_019863054.1_58002_58235
LOC112050976,NW_019863054.1,-,SE,0,-0.211,58002,58235,NW_019863054.1_58002_58235
LOC112050976,NW_019863054.1,-,SE,6.16E-07,-0.126,58002,58265,NW_019863054.1_58002_58265
LOC112050976,NW_019863054.1,-,SE,1.23E-08,-0.038,58002,58265,NW_019863054.1_58002_58265
LOC112044451,NW_019862809.1,+,SE,7.20E-06,0.088,972800,973083,NW_019862809.1_972800_973083
LOC112056812,NW_019863996.1,+,SE,2.52E-06,0.385,6923,7159,NW_019863996.1_6923_7159
LOC112049178,NW_019862962.1,-,SE,0,-0.287,194916,195170,NW_019862962.1_194916_195170
LOC112043486,NW_019862791.1,-,SE,1.39E-05,-0.531,1196961,1197230,NW_019862791.1_1196961_1197230
LOC112043469,NW_019862791.1,+,SE,0.03864867,0.039,306384,306747,NW_019862791.1_306384_306747
LOC112050844,NW_019863046.1,-,SE,0,-0.148,102519,102797,NW_019863046.1_102519_102797
LOC112054984,NW_019863443.1,+,SE,0.016095127,0.029,104413,104658,NW_019863443.1_104413_104658
LOC112054984,NW_019863443.1,+,SE,1.39E-10,-0.159,110869,111177,NW_019863443.1_110869_111177
LOC112054984,NW_019863443.1,+,SE,0,0.178,111542,111847,NW_019863443.1_111542_111847
LOC112051285,NW_019863072.1,+,SE,0.002131539,-0.018,191663,191950,NW_019863072.1_191663_191950
LOC112051133,NW_019863064.1,-,SE,0.002222878,0.314,318541,318885,NW_019863064.1_318541_318885
LOC112051127,NW_019863064.1,-,SE,1.21E-06,0.158,312224,312604,NW_019863064.1_312224_312604
LOC112051127,NW_019863064.1,-,SE,1.23E-06,0.159,312224,312615,NW_019863064.1_312224_312615
LOC112051127,NW_019863064.1,-,SE,1.35E-06,0.156,312224,312622,NW_019863064.1_312224_312622
LOC112043624,NW_019862793.1,+,SE,0.006275899,0.107,1086064,1086362,NW_019862793.1_1086064_1086362
LOC112043606,NW_019862793.1,-,SE,1.33E-06,-0.291,89271,89642,NW_019862793.1_89271_89642
LOC112043605,NW_019862793.1,+,SE,4.49E-13,0.201,72653,72943,NW_019862793.1_72653_72943
LOC112048804,NW_019862945.1,+,SE,0.015751959,0.041,504198,504473,NW_019862945.1_504198_504473
LOC112051279,NW_019863071.1,-,SE,4.36E-06,0.056,177081,177376,NW_019863071.1_177081_177376
LOC112053753,NW_019863278.1,+,SE,3.32E-05,0.048,114739,115020,NW_019863278.1_114739_115020
LOC112052131,NW_019863129.1,-,SE,0.004623565,-0.05,205492,205719,NW_019863129.1_205492_205719
LOC112052131,NW_019863129.1,-,SE,0.003961703,-0.072,212470,212745,NW_019863129.1_212470_212745
LOC112045392,NW_019862831.1,+,SE,0.002767054,-0.1,664228,664610,NW_019862831.1_664228_664610
LOC112049271,NW_019862966.1,+,SE,0.024101588,-0.089,256816,257093,NW_019862966.1_256816_257093
LOC112051879,NW_019863109.1,-,SE,0,0.333,261884,262135,NW_019863109.1_261884_262135
LOC112051879,NW_019863109.1,-,SE,0.010559856,-0.034,273788,274135,NW_019863109.1_273788_274135
LOC112057302,NW_019864796.1,+,SE,0.002509587,0.248,953,1341,NW_019864796.1_953_1341
LOC112053613,NW_019863261.1,+,SE,0,-0.431,196852,197436,NW_019863261.1_196852_197436
LOC112051215,NW_019863068.1,-,SE,9.49E-09,-0.111,214952,215307,NW_019863068.1_214952_215307
LOC112048194,NW_019862920.1,+,SE,0.000296343,-0.172,586667,587074,NW_019862920.1_586667_587074
LOC112048194,NW_019862920.1,+,SE,2.39E-08,-0.325,586667,587074,NW_019862920.1_586667_587074
LOC112048194,NW_019862920.1,+,SE,1.32E-06,-0.508,587385,589589,NW_019862920.1_587385_589589
LOC112050193,NW_019862748.1,+,SE,0.001468853,0.069,329003,329389,NW_019862748.1_329003_329389
LOC112053903,NW_019862760.1,-,SE,0.000140337,0.308,1778855,1780225,NW_019862760.1_1778855_1780225
LOC112043601,NW_019862793.1,+,SE,9.54E-06,-0.179,1193710,1194106,NW_019862793.1_1193710_1194106
LOC112050059,NW_019863003.1,-,SE,1.61E-10,-0.231,102124,102525,NW_019863003.1_102124_102525
LOC112051862,NW_019862748.1,-,SE,0.000870508,0.033,385522,385890,NW_019862748.1_385522_385890
LOC112046339,NW_019862855.1,-,SE,0,-0.073,669691,670012,NW_019862855.1_669691_670012
LOC112046339,NW_019862855.1,-,SE,0,-0.103,669691,670015,NW_019862855.1_669691_670015
LOC112051433,NW_019863082.1,+,SE,0.000430549,-0.045,349195,349490,NW_019863082.1_349195_349490
LOC112055140,NW_019863466.1,+,SE,0.047557679,-0.038,124957,125214,NW_019863466.1_124957_125214
LOC112043976,NW_019862750.1,-,SE,0,-0.524,2036804,2037130,NW_019862750.1_2036804_2037130
LOC112043976,NW_019862750.1,-,SE,0,-0.531,2036819,2037130,NW_019862750.1_2036819_2037130
LOC112043976,NW_019862750.1,-,SE,0,-0.558,2036831,2037130,NW_019862750.1_2036831_2037130
LOC112058428,NW_019862776.1,-,SE,3.29E-11,-0.306,1072468,1072698,NW_019862776.1_1072468_1072698
LOC112058428,NW_019862776.1,-,SE,0.038312109,-0.05,1076732,1077049,NW_019862776.1_1076732_1077049
LOC112058428,NW_019862776.1,-,SE,2.38E-05,-0.053,1076732,1077049,NW_019862776.1_1076732_1077049
LOC112058428,NW_019862776.1,-,SE,0.007900445,-0.064,1076741,1077049,NW_019862776.1_1076741_1077049
LOC112058428,NW_019862776.1,-,SE,1.88E-05,-0.055,1076741,1077049,NW_019862776.1_1076741_1077049
LOC112046720,NW_019862748.1,+,SE,0.023364156,0.089,1902478,1902753,NW_019862748.1_1902478_1902753
LOC112047276,NW_019862886.1,+,SE,0.00032724,-0.311,559943,560172,NW_019862886.1_559943_560172
LOC112046466,NW_019862858.1,+,SE,1.27E-09,0.238,691635,691922,NW_019862858.1_691635_691922
LOC112053531,NW_019863250.1,+,SE,0.00081483,-0.371,168337,168741,NW_019863250.1_168337_168741
LOC112046832,NW_019862872.1,+,SE,0,0.75,395048,395422,NW_019862872.1_395048_395422
LOC112049108,NW_019862958.1,+,SE,2.11E-05,0.12,522927,523189,NW_019862958.1_522927_523189
LOC112054660,NW_019863391.1,-,SE,0.00060709,0.526,184703,184939,NW_019863391.1_184703_184939
LOC112051118,NW_019862757.1,-,SE,0,0.746,1541784,1542041,NW_019862757.1_1541784_1542041
LOC112051020,NW_019863057.1,-,SE,0.015034856,-0.308,141037,141289,NW_019863057.1_141037_141289
LOC112048693,NW_019862748.1,-,SE,0.000176483,0.084,2728521,2728820,NW_019862748.1_2728521_2728820
LOC112048437,NW_019862930.1,-,SE,2.11E-05,-0.096,404421,404659,NW_019862930.1_404421_404659
LOC112051535,NW_019863088.1,+,SE,2.09E-08,-0.138,360374,361283,NW_019863088.1_360374_361283
LOC112052394,NW_019863145.1,+,SE,0.00507218,-0.045,15070,15372,NW_019863145.1_15070_15372
LOC112058377,NW_019862775.1,-,SE,7.49E-11,-0.071,1671328,1671623,NW_019862775.1_1671328_1671623
LOC112058377,NW_019862775.1,-,SE,0.018589816,0.021,1673071,1673366,NW_019862775.1_1673071_1673366
LOC112058377,NW_019862775.1,-,SE,0.01880867,0.019,1682479,1682760,NW_019862775.1_1682479_1682760
LOC112042922,NW_019862782.1,+,SE,0.030342846,0.084,312611,312877,NW_019862782.1_312611_312877
LOC112058145,NW_019862749.1,+,SE,0.000710882,0.079,354642,354892,NW_019862749.1_354642_354892
LOC112044288,NW_019862806.1,+,SE,9.52E-07,0.06,536320,537334,NW_019862806.1_536320_537334
LOC112052388,NW_019863145.1,-,SE,0,-0.853,22725,23018,NW_019863145.1_22725_23018
LOC112045305,NW_019862828.1,+,SE,0.000137469,-0.071,718383,718667,NW_019862828.1_718383_718667
LOC112045305,NW_019862828.1,+,SE,0,-0.634,795846,796079,NW_019862828.1_795846_796079
LOC112045305,NW_019862828.1,+,SE,9.72E-12,0.063,798024,798299,NW_019862828.1_798024_798299
LOC112045305,NW_019862828.1,+,SE,2.90E-06,0.038,798024,798299,NW_019862828.1_798024_798299
LOC112045305,NW_019862828.1,+,SE,0,0.547,808765,809102,NW_019862828.1_808765_809102
LOC112045305,NW_019862828.1,+,SE,0,-0.316,809483,809895,NW_019862828.1_809483_809895
LOC112045305,NW_019862828.1,+,SE,0.000140064,-0.14,811571,811840,NW_019862828.1_811571_811840
LOC112045305,NW_019862828.1,+,SE,0,-0.842,811571,811840,NW_019862828.1_811571_811840
LOC112045305,NW_019862828.1,+,SE,1.35E-06,-0.59,812137,812691,NW_019862828.1_812137_812691
LOC112045305,NW_019862828.1,+,SE,0,0.126,813181,813465,NW_019862828.1_813181_813465
LOC112058008,NW_019862770.1,+,SE,0.005023272,0.015,1631797,1632041,NW_019862770.1_1631797_1632041
